TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2026-07-13,Nifty 50,24211.0,24039.4,24259.8,24000.2,4.1,.02
2026-07-13,Nifty Next 50,72111.4,71819.15,72209.05,71429.6,-280.4,-.39
2026-07-13,Nifty 100,25240.8,25075.8,25283.2,25021,-14.3,-.06
2026-07-13,Nifty 200,14003.1,13914.25,14023.55,13881.3,-6.15,-.04
2026-07-13,Nifty 500,23347.05,23194.8,23379.35,23135.3,-1.35,-.01
2026-07-13,Nifty Midcap 50,18089.55,17953.85,18106.85,17910.6,30.05,.17
2026-07-13,NIFTY Midcap 100,63040.95,62688.65,63101.5,62476.7,4.15,.01
2026-07-13,NIFTY Smallcap 100,19422.95,19295.25,19449.1,19213,6.45,.03
2026-07-13,Nifty50 Dividend Points,134.61,-,-,-,0.0,-
2026-07-13,Nifty Auto,26981.5,26631.6,27033.85,26490,120.75,.45
2026-07-13,Nifty Bank,58131.45,57616.7,58219.9,57492.05,85.55,.15
2026-07-13,Nifty Energy,39220.35,39079.45,39249.25,38903.15,-21.7,-.06
2026-07-13,Nifty Financial Services,26836.15,26602.95,26882.5,26550.3,5.1,.02
2026-07-13,Nifty FMCG,48809.9,49156.45,49156.45,48723.65,-500.7,-1.02
2026-07-13,Nifty IT,29015.85,27880.55,29272.65,27856.1,1005.5,3.59
2026-07-13,Nifty Media,1515.3,1482.4,1521.15,1475.9,31.0,2.09
2026-07-13,Nifty Metal,12601.45,12584.7,12615.15,12510.55,-87.45,-.69
2026-07-13,Nifty MNC,32448.3,32495,32555.5,32298.7,-239.7,-.73
2026-07-13,Nifty Pharma,25643.35,25613.8,25737.65,25468.85,-30.75,-.12
2026-07-13,Nifty PSU Bank,8460.6,8374.55,8497.8,8346.85,9.0,.11
2026-07-13,Nifty Realty,937.15,931.2,938.85,923.3,-1.45,-.15
2026-07-13,Nifty India Consumption,11667.2,11654,11690.5,11600.05,-70.55,-.6
2026-07-13,Nifty Commodities,9842.1,9835.75,9858.25,9793.3,-49.35,-.5
2026-07-13,Nifty Dividend Opportunities 50,5838.05,5749.35,5844.9,5738.5,50.95,.88
2026-07-13,Nifty Infrastructure,9381.15,9366.55,9401.3,9345.05,-48.3,-.51
2026-07-13,Nifty PSE,9958.35,9868.1,9971.8,9829.9,47.1,.48
2026-07-13,Nifty Services Sector,31271.2,30934.25,31334.95,30889.7,102.85,.33
2026-07-13,Nifty50 Shariah,4242.15,4179.55,4262.2,4172.85,45.1,1.07
2026-07-13,Nifty500 Shariah,6933.3,6867.1,6945.25,6843,27.65,.4
2026-07-13,Nifty Low Volatility 50,24602.6,24469.3,24627.7,24401.65,-4.0,-.02
2026-07-13,Nifty Alpha 50,54090.85,53947.05,54211.8,53733.75,-174.25,-.32
2026-07-13,Nifty High Beta 50,4479.9,4424.5,4485.4,4410.2,17.35,.39
2026-07-13,Nifty100 Equal Weight,34548.55,34354.15,34592.15,34226.5,-52.85,-.15
2026-07-13,Nifty100 Liquid 15,7448.05,7406.75,7462.15,7391,-22.4,-.3
2026-07-13,Nifty CPSE,6685.75,6634.2,6696,6616.25,40.6,.61
2026-07-13,Nifty50 Value 20,12075.85,11955.55,12099.25,11940.1,54.85,.46
2026-07-13,Nifty Midcap Liquid 15,16900.1,16731.65,16922.9,16703.9,47.25,.28
2026-07-13,Nifty Shariah 25,7861.4,7783.85,7887.05,7754.25,48.15,.62
2026-07-13,India VIX,13.28,12.2525,13.5225,9.475,1.03,8.39
2026-07-13,Nifty Growth Sectors 15,11028.05,10854.1,11061.65,10830.85,112.35,1.03
2026-07-13,Nifty50 TR 1x Inverse,177.75,179,179.3,177.4,0.05,.03
2026-07-13,Nifty50 TR 2x Leverage,18367.15,18106.7,18440.9,18048.15,-1.7,-.01
2026-07-13,Nifty50 PR 1x Inverse,218.55,220.1,220.45,218.1,0.05,.02
2026-07-13,Nifty50 PR 2x Leverage,12108.55,11936.85,12157.15,11898.25,-1.1,-.01
2026-07-13,NIFTY100 Quality 30,5512.65,5467.95,5524.2,5446.1,19.0,.35
2026-07-13,Nifty India Corporate Group Index - Mahindra Group,35136.01,-,-,-,493.4,1.42
