TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2026-04-28,Nifty 50,23995.7,24049.9,24181.8,23957.05,-97.0,-.4
2026-04-28,Nifty Next 50,70568.2,70763,71028.05,70470.65,-230.45,-.33
2026-04-28,Nifty 100,24955.0,25013.65,25131.15,24922.35,-97.25,-.39
2026-04-28,Nifty 200,13759.85,13781.4,13843.35,13740.4,-35.65,-.26
2026-04-28,Nifty 500,22765.6,22808.15,22904,22733.9,-55.8,-.24
2026-04-28,Nifty Midcap 50,17039.85,17017.25,17093.55,16981.6,43.65,.26
2026-04-28,NIFTY Midcap 100,60419.4,60317.9,60611.15,60233.4,171.05,.28
2026-04-28,NIFTY Smallcap 100,17976.1,17960.1,18072.65,17935.8,75.45,.42
2026-04-28,Nifty50 Dividend Points,5.53,-,-,-,0.0,-
2026-04-28,Nifty Auto,25790.35,26076.45,26219.25,25762.05,-262.8,-1.01
2026-04-28,Nifty Bank,55400.35,55862.5,56138.05,55263.75,-863.95,-1.54
2026-04-28,Nifty Energy,40990.7,40594.8,41097.95,40570.35,494.0,1.22
2026-04-28,Nifty Financial Services,25937.5,26056.2,26255.55,25887.3,-227.15,-.87
2026-04-28,Nifty FMCG,50882.75,51047.1,51182.3,50817.35,-163.75,-.32
2026-04-28,Nifty IT,28959.9,29098.55,29270.05,28891.1,-199.25,-.68
2026-04-28,Nifty Media,1470.85,1473.25,1485.35,1467.05,-0.9,-.06
2026-04-28,Nifty Metal,13046.45,13002.7,13164.3,12978.55,65.6,.51
2026-04-28,Nifty MNC,31890.85,32057.5,32142.35,31863.45,-94.65,-.3
2026-04-28,Nifty Pharma,23158.15,23155.65,23287.65,23090.75,-13.7,-.06
2026-04-28,Nifty PSU Bank,8663.05,8720.25,8778.6,8651,-190.65,-2.15
2026-04-28,Nifty Realty,793.85,799.05,802.3,791.75,-3.3,-.41
2026-04-28,Nifty India Consumption,11403.95,11447.9,11471.6,11377.75,-41.55,-.36
2026-04-28,Nifty Commodities,10345.3,10304.2,10378.35,10278.55,72.2,.7
2026-04-28,Nifty Dividend Opportunities 50,6070.85,6091.65,6119.7,6060.9,-33.1,-.54
2026-04-28,Nifty Infrastructure,9418.6,9393.25,9439.5,9358.45,41.65,.44
2026-04-28,Nifty PSE,10766.3,10710.95,10802.9,10685.1,77.3,.72
2026-04-28,Nifty Services Sector,30398.45,30567.65,30698.25,30321.5,-244.2,-.8
2026-04-28,Nifty50 Shariah,4328.9,4337.65,4351.6,4318.9,-12.25,-.28
2026-04-28,Nifty500 Shariah,6848.05,6857.85,6879.5,6835.15,-6.85,-.1
2026-04-28,Nifty Low Volatility 50,24203.9,24316.45,24383.35,24183.3,-144.5,-.59
2026-04-28,Nifty Alpha 50,51173.25,51286.4,51507.3,51055.2,-119.6,-.23
2026-04-28,Nifty High Beta 50,4115.9,4115.3,4136.05,4102.05,4.6,.11
2026-04-28,Nifty100 Equal Weight,33846.2,33940.2,34048.15,33801.25,-115.35,-.34
2026-04-28,Nifty100 Liquid 15,7223.7,7215,7264.45,7196.9,-11.4,-.16
2026-04-28,Nifty CPSE,7489.4,7432.85,7509.25,7413.45,91.55,1.24
2026-04-28,Nifty50 Value 20,12251.4,12326.05,12392.05,12233.7,-105.4,-.85
2026-04-28,Nifty Midcap Liquid 15,16037.15,16007.3,16094.7,15965.95,85.6,.54
2026-04-28,Nifty Shariah 25,7831.15,7844.4,7866.4,7810.35,-6.8,-.09
2026-04-28,India VIX,18.05,18.3775,18.4075,17.2675,-0.33,-1.8
2026-04-28,Nifty Growth Sectors 15,10828.95,10889.6,10948.65,10819.15,-77.85,-.71
2026-04-28,Nifty50 TR 1x Inverse,178.95,178.55,179.2,177.55,0.75,.42
2026-04-28,Nifty50 TR 2x Leverage,18100.85,18182.9,18382.65,18043.75,-149.45,-.82
2026-04-28,Nifty50 PR 1x Inverse,218.95,218.45,219.3,217.25,0.9,.41
