TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2026-07-24,Nifty 50,23767.45,23666.35,23823.6,23606.3,-102.15,-.43
2026-07-24,Nifty Next 50,71766.0,71285.15,71979.75,71063.2,-74.45,-.1
2026-07-24,Nifty 100,24840.75,24723.85,24901.8,24659.8,-91.75,-.37
2026-07-24,Nifty 200,13762.4,13696,13791.3,13651,-43.45,-.31
2026-07-24,Nifty 500,22913.3,22805.55,22956.95,22713.5,-69.1,-.3
2026-07-24,Nifty Midcap 50,17709.45,17581.3,17732.35,17478.3,18.95,.11
2026-07-24,NIFTY Midcap 100,61622.35,61295.45,61689.85,60898.6,-62.65,-.1
2026-07-24,NIFTY Smallcap 100,18874.95,18824.8,18896.1,18648.5,-61.4,-.32
2026-07-24,Nifty50 Dividend Points,157.04,-,-,-,0.0,-
2026-07-24,Nifty Auto,27217.95,27350.75,27353.2,27032,-302.85,-1.1
2026-07-24,Nifty Bank,56693.5,56169.4,56831.45,56023.6,101.5,.18
2026-07-24,Nifty Energy,38821.8,38837.05,38967.05,38635.55,-223.45,-.57
2026-07-24,Nifty Financial Services,25909.9,25784.65,26025.75,25672.75,-82.15,-.32
2026-07-24,Nifty FMCG,49053.3,48739.2,49244.55,48692.1,20.1,.04
2026-07-24,Nifty IT,28767.95,28204.85,28812.3,28141,234.4,.82
2026-07-24,Nifty Media,1527.45,1493.85,1535.1,1484.75,27.95,1.86
2026-07-24,Nifty Metal,12401.55,12392.2,12431.75,12295.1,-68.15,-.55
2026-07-24,Nifty MNC,32360.75,32276.6,32490.1,32181.95,-83.55,-.26
2026-07-24,Nifty Pharma,25548.15,25464.2,25686.65,25458.15,-105.4,-.41
2026-07-24,Nifty PSU Bank,8345.65,8243.25,8367.25,8202.3,48.0,.58
2026-07-24,Nifty Realty,881.8,879.15,889.65,868.4,-4.9,-.55
2026-07-24,Nifty India Consumption,11700.15,11683.55,11720.3,11632.1,-87.55,-.74
2026-07-24,Nifty Commodities,9764.75,9740.75,9789.95,9689.8,-30.2,-.31
2026-07-24,Nifty Dividend Opportunities 50,5797.0,5761.7,5805.95,5741.25,-10.1,-.17
2026-07-24,Nifty Infrastructure,9240.85,9195.45,9257.3,9155.85,-38.9,-.42
2026-07-24,Nifty PSE,9952.3,9921.7,9976.1,9866.35,-26.15,-.26
2026-07-24,Nifty Services Sector,30442.3,30307.5,30514.1,30193,-153.05,-.5
2026-07-24,Nifty50 Shariah,4215.6,4185.35,4229.4,4183,-14.2,-.34
2026-07-24,Nifty500 Shariah,6836.3,6799.3,6844.1,6778.7,-19.9,-.29
2026-07-24,Nifty Low Volatility 50,24512.45,24367.6,24554.5,24367.6,-43.05,-.18
2026-07-24,Nifty Alpha 50,53021.4,52936.75,53081.4,52538.85,-325.85,-.61
2026-07-24,Nifty High Beta 50,4317.25,4305.8,4333.5,4253.4,-14.45,-.33
2026-07-24,Nifty100 Equal Weight,34264.1,34084.6,34356.45,33986.5,-78.9,-.23
2026-07-24,Nifty100 Liquid 15,7332.5,7310.85,7353.35,7260.1,-46.25,-.63
2026-07-24,Nifty CPSE,6648.1,6654.7,6681.55,6616.8,-32.65,-.49
2026-07-24,Nifty50 Value 20,11785.5,11702.75,11808.75,11694.1,-7.75,-.07
2026-07-24,Nifty Midcap Liquid 15,16380.9,16255.55,16401.2,16129.4,20.9,.13
2026-07-24,Nifty Shariah 25,7896.15,7829.35,7913.25,7829.35,-3.45,-.04
2026-07-24,India VIX,14.03,13.475,14.7675,13.18,0.56,4.12
2026-07-24,Nifty Growth Sectors 15,11066.6,11012.25,11104.7,10981.3,-51.75,-.47
2026-07-24,Nifty50 TR 1x Inverse,181.15,181.9,182.35,180.7,0.7,.39
2026-07-24,Nifty50 TR 2x Leverage,17701.4,17550.3,17785.3,17460.85,-131.25,-.74
2026-07-24,Nifty50 PR 1x Inverse,222.9,223.85,224.4,222.4,1.0,.45
2026-07-24,Nifty50 PR 2x Leverage,11647.75,11548.2,11703.05,11489.25,-102.2,-.87
2026-07-24,NIFTY100 Quality 30,5537.45,5501.95,5543.75,5499.35,-3.2,-.06
2026-07-24,Nifty India Corporate Group Index - Mahindra Group,35592.81,-,-,-,-568.82,-1.57
2026-07-24,Nifty India Corporate Group Index - Aditya Birla Group,9593.52,-,-,-,-51.27,-.53
2026-07-24,Nifty India Corporate Group Index - Tata Group,14201.24,-,-,-,-0.13,0
2026-07-24,Nifty India Corporate Group Index - Tata Group 25% Cap,14085.95,13938.1,14117.8,13937.5,-24.1,-.17
2026-07-24,Nifty Private Bank,27277.55,27068.6,27369.75,27014.6,-3.75,-.01
2026-07-24,Nifty Smallcap 250,17601.2,17535.7,17619.95,17379.65,-50.05,-.28
2026-07-24,Nifty Smallcap 50,9362.65,9329.25,9374.55,9246.65,-21.75,-.23
2026-07-24,Nifty Midcap 150,22685.25,22567.35,22709.25,22409.55,-20.0,-.09
2026-07-24,Nifty Midcap Select,14436.05,14335.25,14451.1,14232.9,7.7,.05
2026-07-24,NIFTY LargeMidcap 250,16419.45,16338.15,16446.15,16262.25,-37.55,-.23
2026-07-24,NIFTY SME EMERGE,13928.15,13970.4,13972.5,13848.85,-40.1,-.29
2026-07-24,Nifty Oil & Gas,11077.0,11071.1,11105,10986.65,-51.5,-.46
2026-07-24,Nifty Financial Services 25/50,28351.4,28196.35,28479.25,28077.95,-56.25,-.2
2026-07-24,Nifty Healthcare Index,16236.25,16176.75,16308.85,16173.5,-59.4,-.36
2026-07-24,Nifty500 Multicap 50:25:25,16213.3,16139,16238.95,16056.7,-45.1,-.28
2026-07-24,Nifty Microcap 250,24926.65,24704.95,24953.8,24458.25,104.15,.42
2026-07-24,Nifty Total Market,12929.2,12866,12951.95,12811.2,-34.9,-.27
2026-07-24,Nifty India Digital,8087.7,8010.15,8096.95,7943.1,7.45,.09
2026-07-24,Nifty Mobility,22307.65,22369.15,22370.75,22122.95,-225.4,-1
2026-07-24,Nifty India Defence,9354.45,9317.9,9383.75,9251,-31.8,-.34
2026-07-24,Nifty Financial Services Ex-Bank,31286.45,31192.15,31452.9,30899.3,-128.95,-.41
2026-07-24,Nifty Housing,11822.05,11760.3,11859,11706.1,-30.0,-.25
2026-07-24,Nifty Transportation & Logistics,24847.75,24951.9,24952.5,24644.7,-284.05,-1.13
2026-07-24,Nifty MidSmall Financial Services,21883.7,21683.05,21920.95,21568.5,63.25,.29
2026-07-24,Nifty MidSmall Healthcare,50340.6,49986.85,50420.55,49878.8,-20.35,-.04
2026-07-24,Nifty MidSmall IT & Telecom,9324.65,9167.35,9335.05,9125,102.5,1.11
2026-07-24,Nifty MidSmall India Consumption,18598.8,18569,18625.85,18375.05,-102.8,-.55
2026-07-24,Nifty REITs & InvITs,1400.34,-,-,-,-2.89,-.21
2026-07-24,Nifty Core Housing,15590.45,15520.3,15647.7,15425.65,-66.2,-.42
2026-07-24,Nifty500 Multicap Infrastructure 50:30:20,14416.65,14369.35,14437.25,14273,-65.6,-.45
2026-07-24,Nifty Rural,15282.35,15259.8,15311.8,15158.95,-98.75,-.64
2026-07-24,Nifty Capital Markets,5243.85,5228.95,5263.5,5184.1,-13.25,-.25
2026-07-24,Nifty India New Age Consumption,11575.0,11552.35,11598.65,11443.1,-73.9,-.63
2026-07-24,Nifty India Select 5 Corporate Groups (MAATR),38317.65,38162,38359.95,38031.65,-136.2,-.35
2026-07-24,Nifty India Railways PSU,2815.75,2798.95,2823.25,2781.25,0.75,.03
2026-07-24,Nifty Consumer Durables,38948.4,38599.1,39062.15,38507.7,-55.9,-.14
2026-07-24,Nifty Non-Cyclical Consumer,15164.25,15101.05,15191.2,15061.25,-86.7,-.57
2026-07-24,Nifty500 Multicap India Manufacturing 50:30:20,16264.9,16224.8,16291.5,16142,-59.1,-.36
2026-07-24,Nifty EV & New Age Automotive,3150.0,3133.8,3156.9,3113.05,-5.9,-.19
2026-07-24,Nifty500 LargeMidSmall Equal-Cap Weighted,18109.4,18027.15,18132.85,17918.35,-44.8,-.25
2026-07-24,Nifty India Tourism,7753.15,7686.2,7767.45,7622.05,-1.5,-.02
2026-07-24,Nifty MidSmallcap 400,20831.3,20733.5,20853.2,20575.35,-32.25,-.15
2026-07-24,Nifty IPO,2280.2,2272.85,2282.4,2247.3,-8.4,-.37
2026-07-24,Nifty India Internet,1298.3,1302.6,1303.85,1276.7,-13.35,-1.02
2026-07-24,Nifty Chemicals,30040.95,29977.4,30101.9,29788.95,-29.4,-.1
2026-07-24,Nifty Conglomerate 50,14713.7,14671.8,14749.45,14597.55,-96.25,-.65
2026-07-24,Nifty Commercial & Transport Services,13202.55,-,-,-,-58.66,-.44
2026-07-24,Nifty India Infrastructure & Logistics,12030.2,11991.15,12054.85,11920.2,-60.25,-.5
2026-07-24,Nifty India FPI 150,1538.85,1531.3,1541.35,1526.65,-5.05,-.33
2026-07-24,Nifty NBFC,56503.63,-,-,-,-731.39,-1.28
2026-07-24,Nifty Small Finance Banks & Microfinance Institutions,1491.93,-,-,-,4.36,.29
2026-07-24,Nifty Waves,1919.75,1892.35,1927.05,1875.7,23.55,1.24
2026-07-24,Nifty Smallcap 500,20022.95,19918.35,20043.65,19736.4,-14.75,-.07
2026-07-24,Nifty Cement,15262.95,15220.35,15327.45,15105.75,-73.2,-.48
2026-07-24,Nifty REITs & Realty,1920.65,1920.5,1929.75,1906.9,-7.15,-.37
2026-07-24,Nifty Construction,12056.76,-,-,-,13.95,.12
2026-07-24,Nifty Hospitals,4577.44,-,-,-,2.02,.04
2026-07-24,Nifty Housing Finance,752.31,-,-,-,-4.82,-.64
2026-07-24,Nifty Insurance,1895.16,-,-,-,8.58,.45
2026-07-24,Nifty Power,9051.56,-,-,-,-5.3,-.06
2026-07-24,Nifty Retail,2962.0,-,-,-,-32.88,-1.1
2026-07-24,Nifty500 Healthcare,20961.9,20876.4,21040.6,20870.05,-70.2,-.33
2026-07-24,Nifty MidSmallcap400 50:50,20275.1,20184.65,20296.35,20024.7,-37.7,-.19
2026-07-24,Nifty Consumer Services,3436.36,-,-,-,-31.75,-.92
2026-07-24,Nifty Capital Goods,16603.48,-,-,-,-66.14,-.4
2026-07-24,Nifty Telecommunications,3601.75,-,-,-,-26.77,-.74
2026-07-24,Nifty Sugar & Ethanol,2538.69,-,-,-,16.41,.65
2026-07-24,Nifty500 Ahimsa,3667.18,-,-,-,-13.02,-.35
2026-07-24,Nifty500 Multicap Momentum Quality 50,40417.7,40368.6,40566.85,40181.05,-228.4,-.56
2026-07-24,Nifty100 Low Volatility 30,20046.3,19922.55,20085.1,19922.55,-42.55,-.21
2026-07-24,NIFTY Quality Low-Volatility 30,16535.1,16438.85,16567.85,16436.3,-23.7,-.14
2026-07-24,NIFTY Alpha Quality Low-Volatility 30,22817.0,22759.9,22866.2,22725.1,-85.1,-.37
2026-07-24,NIFTY Alpha Quality Value Low-Volatility 30,20198.25,20147.6,20228.85,20107.2,-72.1,-.36
2026-07-24,NIFTY200 Quality 30,20156.2,19985,20170.95,19979.5,24.95,.12
2026-07-24,NIFTY Midcap150 Quality 50,23869.8,23657.5,23897.75,23514.75,75.1,.32
2026-07-24,Nifty200 Momentum 30,30058.4,30037.4,30139.1,29862.95,-171.85,-.57
2026-07-24,Nifty India Manufacturing,15844.95,15819.65,15876.8,15740.65,-77.85,-.49
2026-07-24,Nifty100 ESG Sector Leaders,3999.95,3984.85,4009.8,3971.05,-18.9,-.47
2026-07-24,Nifty200 Alpha 30,25650.85,25559.05,25695.05,25373.45,-66.9,-.26
2026-07-24,Nifty Midcap150 Momentum 50,61469.8,61233.1,61557.7,60760.75,-117.1,-.19
2026-07-24,Nifty Smallcap250 Quality 50,24941.4,24710.45,24986.45,24525.8,97.1,.39
2026-07-24,Nifty Smallcap250 Momentum Quality 100,46541.2,46402.45,46616.3,46028.1,-236.25,-.51
2026-07-24,Nifty MidSmallcap400 Momentum Quality 100,49855.95,49607.8,49908.35,49347,-73.85,-.15
2026-07-24,Nifty500 Momentum 50,52432.8,52462.7,52613.55,52129.2,-404.55,-.77
2026-07-24,Nifty200 Value 30,14971.75,14907.75,15006.5,14828.1,-31.75,-.21
2026-07-24,Nifty Top 10 Equal Weight,8444.4,8359.6,8455.6,8358.05,-7.25,-.09
2026-07-24,Nifty Top 15 Equal Weight,9615.0,9562.55,9627.5,9534.9,-39.3,-.41
2026-07-24,Nifty Top 20 Equal Weight,8657.05,8612.25,8671.8,8587.95,-34.45,-.4
2026-07-24,Nifty500 Quality 50,19456.35,19337.25,19489.7,19263.15,-7.65,-.04
2026-07-24,Nifty500 Low Volatility 50,22244.5,22149.6,22277.25,22125.4,-70.35,-.32
2026-07-24,NIFTY100 ESG,4921.0,4899.2,4930.9,4881.15,-19.55,-.4
2026-07-24,NIFTY100 Enhanced ESG,4954.5,4932.55,4964.4,4914.35,-19.65,-.4
2026-07-24,NIFTY500 Value 50,15898.65,15835.85,15925.45,15734.05,-28.0,-.18
2026-07-24,NIFTY100 Alpha 30,17846.2,17787.75,17911.25,17706.5,-71.0,-.4
2026-07-24,Nifty500 Multifactor MQVLv 50,30731.85,30588.7,30802.7,30472.7,-35.55,-.12
2026-07-24,NIFTY Alpha Low-Volatility 30,26883.0,26846.95,26918.8,26770.5,-144.3,-.53
2026-07-24,Nifty500 Flexicap Quality 30,9836.6,9757.2,9848.85,9733.45,8.95,.09
2026-07-24,Nifty Total Market Momentum Quality 50,42848.55,42942.45,43077.65,42745.15,-340.65,-.79
2026-07-24,Nifty500 Equal Weight,14649.8,14575.9,14669.45,14468.5,-20.65,-.14
2026-07-24,NIFTY50 Equal Weight,32501.1,32387.35,32574.35,32304.45,-136.15,-.42
2026-07-24,Nifty 50 Futures Index,5866.81,-,-,-,-15.78,-.27
2026-07-24,Nifty 50 Arbitrage,2709.1,-,-,-,-1.28,-.05
2026-07-24,Nifty 50 Futures TR Index,25516.91,-,-,-,-64.35,-.25
2026-07-24,Nifty 8-13 yr G-Sec,3043.08,3040.68,3045.94,3036.9,2.95,.1
2026-07-24,Nifty 4-8 yr G-Sec Index,3324.18,3322.61,3325.47,3320.02,2.16,.07
2026-07-24,Nifty 11-15 yr G-Sec Index,3362.7,3362.04,3366.56,3358.15,1.3,.04
2026-07-24,Nifty 15 yr and above G-Sec Index,3546.45,3541.39,3552.66,3538.82,5.77,.16
2026-07-24,Nifty Composite G-sec Index,3131.77,3129.19,3135.04,3126.29,3.15,.1
2026-07-24,Nifty 10 yr Benchmark G-Sec,2665.73,2664.15,2668.76,2658.98,2.08,.08
2026-07-24,Nifty 10 yr Benchmark G-Sec (Clean Price),875.43,874.89,876.43,873.17,0.53,.06
2026-07-24,Nifty BHARAT Bond Index - April 2030,1604.12,1604.69,1604.69,1604.04,-0.25,-.02
2026-07-24,Nifty BHARAT Bond Index - April 2031,1459.89,1461.1,1461.1,1459.89,-0.94,-.06
2026-07-24,Nifty BHARAT Bond Index - April 2032,1328.21,1328.05,1328.21,1327.72,0.41,.03
2026-07-24,Nifty BHARAT Bond Index - April 2033,1287.95,1288.01,1288.01,1287.74,0.19,.01
2026-07-24,Nifty 1D Rate Index,2583.71,-,-,-,0.35,.01
2026-07-24,Nifty50 USD,8528.15,8564.35,8569.75,8346.85,-36.2,-.42
