TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2026-06-24,Nifty 50,24021.65,23795.8,24090.05,23789.25,197.55,.83
2026-06-24,Nifty Next 50,72060.5,72021.75,72339.05,71693.65,-8.25,-.01
2026-06-24,Nifty 100,25075.95,24880.7,25148.35,24872.7,168.15,.68
2026-06-24,Nifty 200,13889.45,13799.1,13930.05,13777.6,77.45,.56
2026-06-24,Nifty 500,23126.3,22992.9,23183.6,22941.05,115.35,.5
2026-06-24,Nifty Midcap 50,17690.3,17637.25,17749.9,17552.15,50.5,.29
2026-06-24,NIFTY Midcap 100,62135.25,62049.95,62336.4,61646.8,64.9,.1
2026-06-24,NIFTY Smallcap 100,18879.3,18792.6,18894.8,18665.1,73.4,.39
2026-06-24,Nifty50 Dividend Points,113.99,-,-,-,0.0,-
2026-06-24,Nifty Auto,26384.35,26438.15,26558.45,26241.6,-112.15,-.42
2026-06-24,Nifty Bank,58150.35,57074.9,58256.35,57074.9,966.6,1.69
2026-06-24,Nifty Energy,39908.4,40215.95,40298.05,39828.9,-360.3,-.89
2026-06-24,Nifty Financial Services,26736.0,26277.55,26785.4,26277.55,406.7,1.54
2026-06-24,Nifty FMCG,49085.1,49102.2,49238.5,48901,26.05,.05
2026-06-24,Nifty IT,27566.7,27046.4,27705.95,27036.1,554.65,2.05
2026-06-24,Nifty Media,1519.3,1515.05,1521.85,1498.95,4.9,.32
2026-06-24,Nifty Metal,12618.75,12611.95,12712.45,12497.2,-50.35,-.4
2026-06-24,Nifty MNC,32247.1,32483.5,32520.05,32174.35,-232.25,-.72
2026-06-24,Nifty Pharma,25018.95,25052.75,25222.9,24999.5,29.0,.12
2026-06-24,Nifty PSU Bank,8628.2,8577.7,8676.8,8552.8,37.2,.43
2026-06-24,Nifty Realty,823.55,804.95,824.8,801.3,17.5,2.17
2026-06-24,Nifty India Consumption,11509.2,11498.8,11551.85,11448.4,-0.75,-.01
2026-06-24,Nifty Commodities,9944.7,9937.7,9984.7,9879.7,-13.1,-.13
2026-06-24,Nifty Dividend Opportunities 50,5798.8,5767.8,5823.15,5757.75,26.7,.46
2026-06-24,Nifty Infrastructure,9463.1,9446.95,9497.7,9410.9,2.7,.03
2026-06-24,Nifty PSE,10089.3,10129.65,10168.2,10070.55,-48.35,-.48
2026-06-24,Nifty Services Sector,30720.2,30286.6,30789.85,30286.5,402.75,1.33
2026-06-24,Nifty50 Shariah,4185.25,4153,4200.35,4153,38.05,.92
2026-06-24,Nifty500 Shariah,6877.3,6867.8,6895.3,6841.8,11.45,.17
2026-06-24,Nifty Low Volatility 50,24326.05,24227.85,24382.65,24184.45,99.85,.41
2026-06-24,Nifty Alpha 50,53922.25,54062.9,54150.15,53500.85,-256.3,-.47
2026-06-24,Nifty High Beta 50,4313.55,4298.75,4326.35,4266.5,10.0,.23
2026-06-24,Nifty100 Equal Weight,34322.0,34218.95,34422.15,34095.95,69.05,.2
