TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2025-09-26,Nifty 50,24654.7,24818.55,24868.6,24629.45,-236.15,-.95
2025-09-26,Nifty Next 50,67144.95,68248.35,68298,67073.45,-1148.7,-1.68
2025-09-26,Nifty 100,25287.1,25497.65,25537.2,25261.35,-274.9,-1.08
2025-09-26,Nifty 200,13730.05,13869,13888.2,13716.7,-172.3,-1.24
2025-09-26,Nifty 500,22713.15,22965.9,22994.15,22692.7,-309.25,-1.34
2025-09-26,Nifty Midcap 50,15902.3,16175.5,16198.35,15889.4,-303.05,-1.87
2025-09-26,NIFTY Midcap 100,56378.55,57450.6,57505.05,56327.4,-1177.35,-2.05
2025-09-26,NIFTY Smallcap 100,17560.9,17930.65,17946.2,17540.55,-405.9,-2.26
2025-09-26,Nifty50 Dividend Points,210.91,-,-,-,0.0,-
2025-09-26,Nifty Auto,26484.55,26694.7,26861.45,26463.7,-273.95,-1.02
2025-09-26,Nifty Bank,54389.35,54797.9,54897,54310.95,-586.85,-1.07
2025-09-26,Nifty Energy,34830.0,35272.15,35285.55,34775.15,-425.55,-1.21
2025-09-26,Nifty Financial Services,25985.25,26152.4,26197.15,25945.45,-262.15,-1
2025-09-26,Nifty FMCG,54847.55,55031.55,55199.55,54776.95,-260.45,-.47
2025-09-26,Nifty IT,33702.0,34399.2,34477.3,33636.55,-846.3,-2.45
2025-09-26,Nifty Media,1575.45,1601.6,1606.25,1570.3,-17.4,-1.09
2025-09-26,Nifty Metal,9888.25,10087.15,10124.65,9871.8,-194.3,-1.93
2025-09-26,Nifty MNC,29822.1,30138.4,30201.6,29806.8,-374.4,-1.24
2025-09-26,Nifty Pharma,21507.2,21623.95,21695.55,21390.25,-470.5,-2.14
2025-09-26,Nifty PSU Bank,7261.45,7390.7,7398.4,7241.5,-131.9,-1.78
2025-09-26,Nifty Realty,867.15,875.95,879.7,866.15,-8.75,-1
2025-09-26,Nifty India Consumption,12080.15,12223.85,12252.95,12073.15,-163.15,-1.33
2025-09-26,Nifty Commodities,8890.35,9012.7,9029.05,8875.7,-117.6,-1.31
2025-09-26,Nifty Dividend Opportunities 50,5866.5,5932.3,5941.85,5854.8,-76.05,-1.28
2025-09-26,Nifty Infrastructure,9039.9,9075.75,9099.45,9026.7,-38.65,-.43
2025-09-26,Nifty PSE,9659.75,9780.1,9786.7,9634.8,-120.05,-1.23
2025-09-26,Nifty Services Sector,31884.7,32194.25,32261.95,31852.4,-426.9,-1.32
2025-09-26,Nifty50 Shariah,4509.5,4555.35,4565.4,4500.75,-71.15,-1.55
2025-09-26,Nifty500 Shariah,6928.65,7024.1,7033.2,6922.5,-123.0,-1.74
2025-09-26,Nifty Low Volatility 50,24608.45,24827.1,24874.65,24593.85,-295.7,-1.19
2025-09-26,Nifty Alpha 50,49302.9,50363.7,50380.5,49259.95,-1142.95,-2.27
2025-09-26,Nifty High Beta 50,3667.95,3752.75,3755.25,3657.75,-84.4,-2.25
2025-09-26,Nifty100 Equal Weight,32662.0,33082.25,33127.35,32635.45,-479.7,-1.45
2025-09-26,Nifty100 Liquid 15,7109.8,7173.15,7188.3,7104.7,-74.6,-1.04
2025-09-26,Nifty CPSE,6418.4,6492.95,6500.25,6398.7,-75.9,-1.17
2025-09-26,Nifty50 Value 20,12488.55,12570.8,12594.95,12467.8,-120.75,-.96
2025-09-26,Nifty Midcap Liquid 15,14750.8,15012.95,15059.85,14721.3,-302.2,-2.01
2025-09-26,Nifty Shariah 25,8025.4,8127.85,8153,8017.2,-133.7,-1.64
2025-09-26,India VIX,11.43,10.7825,11.6775,10.17,0.64,5.96
2025-09-26,Nifty Growth Sectors 15,11590.6,11759.2,11788.7,11573.8,-246.75,-2.08
2025-09-26,Nifty50 TR 1x Inverse,171.55,170.4,171.7,170.15,1.65,.97
2025-09-26,Nifty50 TR 2x Leverage,19830.55,20096.65,20156.65,19789.8,-386.7,-1.91
2025-09-26,Nifty50 PR 1x Inverse,209.35,208,209.6,207.7,2.0,.96
2025-09-26,Nifty50 PR 2x Leverage,13291.8,13470.2,13510.4,13264.5,-259.2,-1.91
2025-09-26,NIFTY100 Quality 30,5566.15,5621.8,5633.1,5562.6,-72.1,-1.28
2025-09-26,Nifty India Corporate Group Index - Mahindra Group,35630.4,-,-,-,-1191.24,-3.24
2025-09-26,Nifty India Corporate Group Index - Tata Group,15141.31,-,-,-,-234.01,-1.52
2025-09-26,Nifty India Corporate Group Index - Aditya Birla Group,8357.5,-,-,-,-138.49,-1.63
2025-09-26,Nifty Conglomerate 50,14156.2,-,-,-,-180.13,-1.26
2025-09-26,Nifty India Infrastructure & Logistics,11266.44,-,-,-,-156.44,-1.37
2025-09-26,Nifty India FPI 150,1522.5,-,-,-,-20.87,-1.35
2025-09-26,Nifty Waves,2144.44,-,-,-,-34.5,-1.58
2025-09-26,Nifty500 Healthcare,18430.04,-,-,-,-382.36,-2.03
2025-09-26,Nifty India Corporate Group Index - Tata Group 25% Cap,14309.5,14506.15,14520.1,14290,-215.95,-1.49
2025-09-26,Nifty Private Bank,26488.45,26685.05,26742.85,26458,-299.05,-1.12
2025-09-26,Nifty Smallcap 250,16683.1,17006.95,17023.05,16660.1,-365.5,-2.14
2025-09-26,Nifty Smallcap 50,8434.8,8635.55,8644.4,8424.75,-228.35,-2.64
2025-09-26,Nifty Midcap 150,20967.75,21334.15,21353.3,20951.45,-413.75,-1.94
2025-09-26,Nifty Midcap Select,12563.35,12792.1,12817.7,12545.65,-258.95,-2.02
2025-09-26,NIFTY LargeMidcap 250,15917.15,16122.05,16139.4,15907,-243.15,-1.5
2025-09-26,NIFTY SME EMERGE,15236.48,-,-,-,-205.55,-1.33
2025-09-26,Nifty Oil & Gas,11132.5,11211.65,11213.95,11104.05,-80.4,-.72
2025-09-26,Nifty Financial Services 25/50,28073.25,28308.4,28355.7,28034.3,-315.45,-1.11
2025-09-26,Nifty Healthcare Index,14155.55,14256.35,14292.35,14100.1,-297.2,-2.06
2025-09-26,Nifty500 Multicap 50:25:25,15798.9,16009.75,16025.35,15784.85,-249.75,-1.56
2025-09-26,Nifty Microcap 250,23169.6,23631.5,23631.85,23149.4,-503.75,-2.13
2025-09-26,Nifty Total Market,12780.55,12927,12942.1,12769.1,-177.95,-1.37
2025-09-26,Nifty India Digital,8703.85,8921.2,8939.45,8694.5,-242.6,-2.71
2025-09-26,Nifty Mobility,22293.15,22494.35,22599.15,22275.95,-241.65,-1.07
2025-09-26,Nifty India Defence,7949.8,8156.7,8158.35,7934.3,-184.8,-2.27
2025-09-26,Nifty Financial Services Ex-Bank,29189.6,29619.35,29681.35,29138.6,-488.6,-1.65
2025-09-26,Nifty Housing,11433.65,11563.8,11590.85,11423.9,-133.55,-1.15
2025-09-26,Nifty Transportation & Logistics,25287.4,25610.2,25713.3,25268.7,-387.1,-1.51
2025-09-26,Nifty MidSmall Financial Services,17809.0,18094.6,18126.1,17785.6,-316.45,-1.75
2025-09-26,Nifty MidSmall Healthcare,43146.0,43670.55,43757.1,42929.4,-932.8,-2.12
2025-09-26,Nifty MidSmall IT & Telecom,9208.8,9518.4,9526.8,9195.1,-320.25,-3.36
