TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2025-12-31,Nifty 50,26129.6,25971.05,26187.95,25969,190.75,.74
2025-12-31,Nifty Next 50,69364.5,68839.35,69531.35,68817.1,696.75,1.01
2025-12-31,Nifty 100,26689.3,26520.8,26744.4,26519.1,206.75,.78
2025-12-31,Nifty 200,14533.5,14440.8,14564.7,14440.15,117.05,.81
2025-12-31,Nifty 500,23871.55,23710.45,23921.45,23709.55,202.75,.86
2025-12-31,Nifty Midcap 50,17254.05,17104,17303.2,17102.75,195.05,1.14
2025-12-31,NIFTY Midcap 100,60484.5,60081.65,60718.25,60078.85,570.25,.95
2025-12-31,NIFTY Smallcap 100,17713.95,17579.6,17758.6,17574.95,195.0,1.11
2025-12-31,Nifty50 Dividend Points,249.14,-,-,-,0.0,-
2025-12-31,Nifty Auto,28189.6,27901.95,28226.75,27858.65,299.95,1.08
2025-12-31,Nifty Bank,59581.85,59194.6,59766.2,59187.1,410.6,.69
2025-12-31,Nifty Energy,35325.65,34833.25,35409.4,34827.1,511.75,1.47
2025-12-31,Nifty Financial Services,27613.3,27420.95,27679.95,27417.7,230.5,.84
2025-12-31,Nifty FMCG,55475.65,55069,55559.05,55055.1,442.5,.8
2025-12-31,Nifty IT,37884.05,38051.7,38108.5,37822.15,-114.55,-.3
2025-12-31,Nifty Media,1444.7,1425.15,1447.9,1424.95,21.3,1.5
2025-12-31,Nifty Metal,11167.65,11154.45,11216.05,11108.9,160.0,1.45
2025-12-31,Nifty MNC,30568.1,30360.05,30619.55,30339.9,226.55,.75
2025-12-31,Nifty Pharma,22723.65,22620.7,22770.1,22536.15,183.6,.81
2025-12-31,Nifty PSU Bank,8533.15,8443.8,8587.25,8415.95,101.65,1.21
2025-12-31,Nifty Realty,877.95,871.4,881.5,869.25,8.15,.94
2025-12-31,Nifty India Consumption,12289.45,12182.4,12305.95,12182.4,107.3,.88
2025-12-31,Nifty Commodities,9515.15,9413.7,9533.3,9404.75,150.85,1.61
2025-12-31,Nifty Dividend Opportunities 50,6385.25,6348.05,6398.95,6343.25,45.8,.72
2025-12-31,Nifty Infrastructure,9616.35,9513.1,9638,9512.5,110.7,1.16
2025-12-31,Nifty PSE,9853.65,9698.2,9871.55,9696.75,171.65,1.77
2025-12-31,Nifty Services Sector,33656.4,33534.8,33765.9,33492.65,143.55,.43
2025-12-31,Nifty50 Shariah,4811.45,4803.4,4822.15,4796.95,11.4,.24
2025-12-31,Nifty500 Shariah,7160.75,7118.95,7175.1,7118.75,50.7,.71
2025-12-31,Nifty Low Volatility 50,25703.45,25529.9,25735.9,25523,233.75,.92
2025-12-31,Nifty Alpha 50,50309.15,49839.7,50449.25,49800.3,543.75,1.09
2025-12-31,Nifty High Beta 50,3954.95,3933.65,3978.35,3933.25,38.05,.97
2025-12-31,Nifty100 Equal Weight,33955.65,33717.25,34013.95,33712.05,317.85,.94
2025-12-31,Nifty100 Liquid 15,7562.2,7489,7576.5,7488.85,84.55,1.13
2025-12-31,Nifty CPSE,6365.25,6289.25,6375.4,6285.5,89.8,1.43
2025-12-31,Nifty50 Value 20,13275.55,13215.05,13300.5,13214.65,71.05,.54
2025-12-31,Nifty Midcap Liquid 15,16004.35,15870.4,16075.05,15870.4,176.0,1.11
2025-12-31,Nifty Shariah 25,8401.9,8351.35,8418.35,8351.35,59.6,.71
2025-12-31,India VIX,9.48,9.6775,9.73,9.3125,-0.2,-2.09
2025-12-31,Nifty Growth Sectors 15,12483.55,12429,12503.25,12414.65,57.85,.47
2025-12-31,Nifty50 TR 1x Inverse,163.65,164.65,164.65,163.3,-1.2,-.73
2025-12-31,Nifty50 TR 2x Leverage,21997.1,21732,22093.05,21729.25,315.7,1.46
2025-12-31,Nifty50 PR 1x Inverse,200.0,201.25,201.25,199.55,-1.45,-.72
2025-12-31,Nifty50 PR 2x Leverage,14700.45,14523.25,14764.5,14521.4,211.0,1.46
2025-12-31,NIFTY100 Quality 30,5860.05,5837.75,5869.75,5836.55,32.0,.55
2025-12-31,Nifty500 Multifactor MQVLv 50,31730.8,31374.9,31790.15,31345.15,388.3,1.24
2025-12-31,NIFTY Alpha Low-Volatility 30,27076.95,26853.45,27114.3,26825.05,249.6,.93
2025-12-31,Nifty500 Flexicap Quality 30,10614.35,10556.95,10638.8,10556.75,75.15,.71
2025-12-31,Nifty Total Market Momentum Quality 50,41578.65,41209.65,41690,41207.85,416.6,1.01
2025-12-31,Nifty500 Equal Weight,14264.4,14138,14301.05,14137.15,159.2,1.13
2025-12-31,NIFTY50 Equal Weight,33331.0,33109.55,33370.5,33100.05,305.95,.93
2025-12-31,Nifty India Corporate Group Index - Mahindra Group,39811.55,-,-,-,264.55,.67
2025-12-31,Nifty India Corporate Group Index - Tata Group,16223.4,-,-,-,62.52,.39
2025-12-31,Nifty India Corporate Group Index - Aditya Birla Group,9048.1,-,-,-,-84.54,-.93
2025-12-31,Nifty Conglomerate 50,15043.19,-,-,-,122.44,.82
2025-12-31,Nifty India Infrastructure & Logistics,11311.95,11236.7,11352.95,11235.9,87.0,.78
2025-12-31,Nifty India FPI 150,1620.65,1609.45,1623.85,1609.2,14.25,.89
2025-12-31,Nifty Waves,2077.65,2058.6,2083.8,2058.6,19.0,.92
2025-12-31,Nifty500 Healthcare,18742.75,18632,18780.1,18558.55,175.65,.95
2025-12-31,Nifty India Corporate Group Index - Tata Group 25% Cap,15292.65,15210.8,15327.4,15183.4,146.9,.97
2025-12-31,Nifty Private Bank,28721.15,28448.3,28793.5,28438.65,288.0,1.01
2025-12-31,Nifty Smallcap 250,16684.75,16535.35,16727.3,16532.4,192.85,1.17
2025-12-31,Nifty Smallcap 50,8606.1,8547.45,8623.6,8536.8,90.3,1.06
2025-12-31,Nifty Midcap 150,22276.9,22116.4,22348.9,22114.75,215.0,.97
2025-12-31,Nifty Midcap Select,13777.25,13644.4,13821.85,13641.25,175.85,1.29
2025-12-31,NIFTY LargeMidcap 250,16854.95,16741,16895.5,16740.6,146.65,.88
2025-12-31,NIFTY SME EMERGE,14365.0,14228.2,14374.35,14227.75,130.35,.92
2025-12-31,Nifty Oil & Gas,12231.2,11924.95,12256.8,11924.9,316.45,2.66
2025-12-31,Nifty Financial Services 25/50,30177.95,29998.3,30257.75,29996.1,226.45,.76
2025-12-31,Nifty Healthcare Index,14639.9,14596,14672.1,14529.25,98.05,.67
2025-12-31,Nifty500 Multicap 50:25:25,16485.1,16366.5,16522.35,16366,151.25,.93
2025-12-31,Nifty Microcap 250,22545.85,22252.25,22569.5,22236.55,313.6,1.41
2025-12-31,Nifty Total Market,13393.85,13300.35,13421.2,13299.9,116.45,.88
2025-12-31,Nifty India Digital,9422.55,9484.1,9497.8,9412.1,-43.4,-.46
2025-12-31,Nifty Mobility,23105.9,22890.5,23133.4,22880.35,232.35,1.02
