TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2025-10-07,Nifty 50,25108.3,25085.3,25220.9,25076.3,30.65,.12
2025-10-07,Nifty Next 50,68671.2,68696.85,68872.75,68476.05,80.95,.12
2025-10-07,Nifty 100,25772.25,25754.15,25871.05,25742.85,31.3,.12
2025-10-07,Nifty 200,14029.1,14013.55,14073.85,14003.85,25.85,.18
2025-10-07,Nifty 500,23209.5,23191.35,23275.1,23170.85,39.85,.17
2025-10-07,Nifty Midcap 50,16474.0,16429.25,16494.5,16391.4,71.3,.43
2025-10-07,NIFTY Midcap 100,58289.4,58115.95,58315.9,57988.55,274.3,.47
2025-10-07,NIFTY Smallcap 100,17983.4,17978.7,18051.9,17928,55.35,.31
2025-10-07,Nifty50 Dividend Points,210.91,-,-,-,0.0,-
2025-10-07,Nifty Auto,26933.55,26856.4,27087.35,26825.5,76.35,.28
2025-10-07,Nifty Bank,56239.35,56126.4,56502.45,56025.05,134.5,.24
2025-10-07,Nifty Energy,35470.0,35438.75,35708.5,35421.75,100.55,.28
2025-10-07,Nifty Financial Services,26777.3,26724.3,26919.8,26670.65,65.25,.24
2025-10-07,Nifty FMCG,54763.85,55114.65,55254.45,54695.3,-293.8,-.53
2025-10-07,Nifty IT,34709.45,34820.6,34879.2,34533.75,-13.05,-.04
2025-10-07,Nifty Media,1583.1,1593,1595.5,1579.7,-7.3,-.46
2025-10-07,Nifty Metal,10156.65,10193.85,10268.5,10150.2,-28.85,-.28
2025-10-07,Nifty MNC,29964.3,30053.55,30152.4,29934.95,-43.75,-.15
2025-10-07,Nifty Pharma,21875.3,21813.75,21900.35,21737.3,95.45,.44
2025-10-07,Nifty PSU Bank,7583.75,7623.65,7644.75,7570.15,-31.4,-.41
2025-10-07,Nifty Realty,891.7,883.4,892.9,876.15,9.6,1.09
2025-10-07,Nifty India Consumption,12225.9,12204.4,12261.65,12182.75,15.6,.13
2025-10-07,Nifty Commodities,9098.05,9100.25,9155,9093.05,3.25,.04
2025-10-07,Nifty Dividend Opportunities 50,5989.6,6015.15,6025.35,5982.95,-14.85,-.25
2025-10-07,Nifty Infrastructure,9149.5,9119.1,9186.15,9117.1,33.65,.37
2025-10-07,Nifty PSE,9929.8,9934.4,9988.25,9913.3,10.6,.11
2025-10-07,Nifty Services Sector,32685.05,32633.55,32839.25,32586.6,69.45,.21
2025-10-07,Nifty50 Shariah,4577.9,4602.7,4610.6,4572.2,-28.55,-.62
2025-10-07,Nifty500 Shariah,7047.65,7062.4,7071.5,7034.3,-10.1,-.14
