TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2026-05-06,Nifty 50,24330.95,24171,24356.5,23997.9,298.15,1.24
2026-05-06,Nifty Next 50,71691.45,71260.2,71764.15,70808,1064.15,1.51
2026-05-06,Nifty 100,25312.6,25148.8,25332.25,24973.2,322.3,1.29
2026-05-06,Nifty 200,13958.85,13868.35,13968.6,13783.25,190.2,1.38
2026-05-06,Nifty 500,23133.4,22978.95,23150.9,22849.95,325.15,1.43
2026-05-06,Nifty Midcap 50,17372.95,17201.85,17395.15,17168,375.35,2.21
2026-05-06,NIFTY Midcap 100,61326.7,60925.95,61389.15,60759.7,1062.2,1.76
2026-05-06,NIFTY Smallcap 100,18534.1,18365.9,18565.15,18305.15,351.7,1.93
2026-05-06,Nifty50 Dividend Points,5.53,-,-,-,0.0,-
2026-05-06,Nifty Auto,26823.0,26502.15,26871.9,26278.95,630.9,2.41
2026-05-06,Nifty Bank,55981.05,55113.4,56078.8,54587.2,1434.0,2.63
2026-05-06,Nifty Energy,40806.65,41187.25,41219.1,40652.85,-183.35,-.45
2026-05-06,Nifty Financial Services,26392.75,25938.35,26450.45,25828.05,675.85,2.63
2026-05-06,Nifty FMCG,51460.55,51898.85,51947.35,51194.7,-133.0,-.26
2026-05-06,Nifty IT,29267.95,29435.5,29646.05,29123.8,160.65,.55
2026-05-06,Nifty Media,1469.05,1459.15,1473.55,1444.5,19.75,1.36
2026-05-06,Nifty Metal,13129.55,13131.6,13195.95,13019.25,139.95,1.08
2026-05-06,Nifty MNC,32505.5,32531.2,32548.1,32197.2,213.7,.66
2026-05-06,Nifty Pharma,24110.3,23743.2,24264.85,23640.75,541.35,2.3
2026-05-06,Nifty PSU Bank,8679.15,8574,8700.55,8461.9,239.9,2.84
2026-05-06,Nifty Realty,822.3,806.15,823.4,802.05,21.05,2.63
2026-05-06,Nifty India Consumption,11609.5,11555,11618.3,11473.6,151.7,1.32
2026-05-06,Nifty Commodities,10398.7,10404.5,10449.9,10322.7,68.8,.67
2026-05-06,Nifty Dividend Opportunities 50,6113.8,6114.7,6128.15,6053.05,52.05,.86
2026-05-06,Nifty Infrastructure,9482.2,9468.3,9507.9,9381,39.2,.42
2026-05-06,Nifty PSE,10716.3,10730.5,10761.3,10655.8,44.95,.42
2026-05-06,Nifty Services Sector,30678.6,30327.05,30711.75,30167.65,586.7,1.95
2026-05-06,Nifty50 Shariah,4368.9,4376.45,4386.75,4346.3,23.3,.54
2026-05-06,Nifty500 Shariah,6941.6,6925.25,6953.45,6893.9,77.3,1.13
2026-05-06,Nifty Low Volatility 50,24598.65,24488.7,24622.8,24381,291.1,1.2
2026-05-06,Nifty Alpha 50,52287.9,52146.1,52375.5,51785.65,737.0,1.43
2026-05-06,Nifty High Beta 50,4246.9,4196.85,4250.05,4184.65,97.0,2.34
2026-05-06,Nifty100 Equal Weight,34321.85,34122.25,34347.65,33922.05,472.3,1.4
2026-05-06,Nifty100 Liquid 15,7398.95,7316.7,7413.95,7279.35,139.65,1.92
2026-05-06,Nifty CPSE,7343.45,7427.25,7458.45,7324.1,-58.4,-.79
2026-05-06,Nifty50 Value 20,12289.05,12255.5,12308.55,12130.25,130.15,1.07
2026-05-06,Nifty Midcap Liquid 15,16397.7,16218.8,16431.7,16154.95,443.3,2.78
2026-05-06,Nifty Shariah 25,7911.8,7887.45,7924.5,7849.95,98.3,1.26
2026-05-06,India VIX,16.68,17.9075,18.0775,16.5775,-1.23,-6.87
2026-05-06,Nifty Growth Sectors 15,11151.25,11137.4,11180.2,11063.55,95.8,.87
2026-05-06,Nifty50 TR 1x Inverse,176.6,177.8,179.1,176.45,-2.2,-1.23
2026-05-06,Nifty50 TR 2x Leverage,18584.25,18342.85,18621.4,18083.25,447.4,2.47
2026-05-06,Nifty50 PR 1x Inverse,216.1,217.55,219.1,215.85,-2.7,-1.23
2026-05-06,Nifty50 PR 2x Leverage,12384.85,12223.95,12409.6,12050.95,298.2,2.47
2026-05-06,NIFTY100 Quality 30,5623.65,5629.5,5636.65,5590.35,35.4,.63
2026-05-06,Nifty200 Alpha 30,25731.85,25631.05,25766.95,25466.9,385.3,1.52
2026-05-06,Nifty Midcap150 Momentum 50,63026.7,62543.7,63120.5,62327.25,1285.6,2.08
2026-05-06,Nifty Smallcap250 Quality 50,25498.35,25315.55,25562.2,25240.1,391.15,1.56
2026-05-06,Nifty Smallcap250 Momentum Quality 100,45531.45,44997.55,45604.35,44911.1,941.0,2.11
2026-05-06,Nifty MidSmallcap400 Momentum Quality 100,50625.65,50375.7,50687.05,50224.15,821.1,1.65
2026-05-06,Nifty500 Momentum 50,53382.4,52943,53453.4,52719.85,1043.85,1.99
2026-05-06,Nifty200 Value 30,15780.55,15688.1,15817.2,15574.2,238.6,1.54
2026-05-06,Nifty Top 10 Equal Weight,8702.5,8668,8717.2,8572.45,62.05,.72
2026-05-06,Nifty500 Multicap Momentum Quality 50,42756.1,42538.2,42818.8,42337.4,685.05,1.63
2026-05-06,Nifty Top 15 Equal Weight,9930.45,9862.55,9945.6,9771.9,114.8,1.17
2026-05-06,Nifty Top 20 Equal Weight,8789.65,8749.55,8798.75,8669.4,87.85,1.01
2026-05-06,Nifty500 Quality 50,19802.9,19814.1,19840.9,19711.3,169.2,.86
2026-05-06,Nifty500 Low Volatility 50,22423.5,22364.85,22451.3,22266.3,228.3,1.03
2026-05-06,NIFTY100 ESG,4924.25,4895.1,4928.55,4864.25,68.05,1.4
2026-05-06,NIFTY100 Enhanced ESG,4958.25,4928.9,4962.55,4897.8,68.5,1.4
2026-05-06,NIFTY500 Value 50,16823.05,16763.25,16876.7,16635.3,204.75,1.23
2026-05-06,NIFTY100 Alpha 30,18188.8,18041.75,18208,17921.75,348.45,1.95
2026-05-06,Nifty500 Multifactor MQVLv 50,31655.05,31480.7,31703.55,31346.6,486.1,1.56
2026-05-06,NIFTY Alpha Low-Volatility 30,26283.9,26097.1,26306.75,26003.2,389.7,1.5
2026-05-06,Nifty500 Flexicap Quality 30,9835.7,9824.9,9850.35,9755,103.25,1.06
2026-05-06,NIFTY50 Equal Weight,32844.35,32635.75,32888.85,32481.5,447.7,1.38
2026-05-06,Nifty500 Equal Weight,14531.75,14435.3,14547.2,14373.5,222.1,1.55
2026-05-06,Nifty 50 Futures Index,6068.68,-,-,-,84.67,1.41
2026-05-06,Nifty 50 Arbitrage,2666.83,-,-,-,-2.86,-.11
2026-05-06,Nifty 50 Futures TR Index,26051.35,-,-,-,367.56,1.43
2026-05-06,Nifty India Corporate Group Index - Mahindra Group,35559.09,-,-,-,925.16,2.67
2026-05-06,Nifty India Corporate Group Index - Aditya Birla Group,9576.27,-,-,-,123.37,1.31
2026-05-06,Nifty India Corporate Group Index - Tata Group,14850.56,-,-,-,189.93,1.3
2026-05-06,Nifty India Corporate Group Index - Tata Group 25% Cap,14824.55,14700.7,14843.2,14593.05,233.7,1.6
2026-05-06,Nifty Private Bank,26700.75,26295.2,26766.95,26036.05,630.25,2.42
2026-05-06,Nifty Smallcap 250,17233.85,17082.4,17255.45,17027.3,305.65,1.81
2026-05-06,Nifty Smallcap 50,9084.75,8994.2,9097.8,8968.15,183.55,2.06
2026-05-06,Nifty Midcap 150,22556.5,22414.35,22579.9,22352.4,376.25,1.7
2026-05-06,Nifty Midcap Select,14312.9,14132.85,14338.05,14108.95,362.65,2.6
2026-05-06,NIFTY LargeMidcap 250,16523.3,16417.8,16536.3,16339.95,243.8,1.5
2026-05-06,NIFTY SME EMERGE,14069.0,14012.15,14087.6,13997.7,88.25,.63
2026-05-06,Nifty Oil & Gas,11720.6,11754.1,11792.45,11600.85,20.45,.17
