TradDt,TckrSymb,ClsPric,Open,High,Low,PtsChange,ChgPct
2026-03-04,Nifty 50,24480.5,24388.8,24602.45,24305.4,-385.2,-1.55
2026-03-04,Nifty Next 50,66799.4,67555.3,67575.1,66480.7,-1850.85,-2.7
2026-03-04,Nifty 100,25118.25,25087.1,25239.2,24961.15,-445.25,-1.74
2026-03-04,Nifty 200,13678.05,13682.35,13743.55,13600.3,-253.25,-1.82
2026-03-04,Nifty 500,22409.8,22438,22517.4,22283.15,-426.15,-1.87
2026-03-04,Nifty Midcap 50,16198.95,16290.9,16310.15,16084.5,-321.4,-1.95
2026-03-04,NIFTY Midcap 100,56925.15,57339.25,57399,56505.3,-1255.35,-2.16
2026-03-04,NIFTY Smallcap 100,16281.5,16412.35,16413.4,16156.35,-350.9,-2.11
2026-03-04,Nifty50 Dividend Points,277.39,-,-,-,0.0,-
2026-03-04,Nifty Auto,26867.15,26979.4,27012.55,26607.2,-672.95,-2.44
2026-03-04,Nifty Bank,58755.25,58447.15,59058.4,58393.55,-1084.4,-1.81
2026-03-04,Nifty Energy,35589.6,36010.35,36044.25,35492.45,-863.8,-2.37
2026-03-04,Nifty Financial Services,27020.45,26948.5,27169.95,26868.8,-543.65,-1.97
2026-03-04,Nifty FMCG,49797.5,50052.35,50315.8,49742.25,-954.15,-1.88
2026-03-04,Nifty IT,30305.25,30092.2,30579.45,30092.2,32.3,.11
2026-03-04,Nifty Media,1348.0,1370.15,1376.9,1341.5,-42.35,-3.05
2026-03-04,Nifty Metal,11779.75,12073,12105.2,11671.5,-490.05,-3.99
2026-03-04,Nifty MNC,30469.0,30859,30883.95,30383.9,-865.7,-2.76
2026-03-04,Nifty Pharma,22672.2,22702.55,22814.35,22528.2,-284.5,-1.24
2026-03-04,Nifty PSU Bank,9327.25,9479.4,9515.6,9227.1,-312.1,-3.24
2026-03-04,Nifty Realty,744.15,754.65,756.1,734,-23.9,-3.11
2026-03-04,Nifty India Consumption,11189.05,11155.05,11235.75,11092.7,-163.8,-1.44
2026-03-04,Nifty Commodities,9567.0,9695.4,9716.85,9520.25,-282.55,-2.87
2026-03-04,Nifty Dividend Opportunities 50,6130.0,6178.95,6195.85,6106.7,-116.65,-1.87
