TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,233.79,227.89,231.61,228.27,66339,2025-06-25
21STCENMGM,EQ,62.5,62.45,62.45,63.73,11176,2025-06-25
360ONE,EQ,1200.0,1140.15,1190.0,1147.65,879204,2025-06-25
GOLD360,EQ,96.75,95.95,96.0,96.7,1742,2025-06-25
SILVER360,EQ,106.01,104.78,104.79,106.01,5250,2025-06-25
3IINFOLTD,EQ,26.05,25.15,25.82,25.04,489890,2025-06-25
3MINDIA,EQ,28635.0,28440.0,28500.0,28415.0,4266,2025-06-25
3PLAND,EQ,52.98,49.41,50.44,51.3,14618,2025-06-25
5PAISA,EQ,419.9,400.3,414.8,402.35,55720,2025-06-25
63MOONS,EQ,1040.0,974.95,1000.55,962.9,1163119,2025-06-25
AAATECH,EQ,87.51,83.5,84.76,84.81,29413,2025-06-25
AADHARHFC,EQ,443.8,430.3,441.5,434.25,368423,2025-06-25
AARON,EQ,381.5,372.2,374.6,376.55,5585,2025-06-25
AARTECH,EQ,73.22,68.51,73.01,69.74,547739,2025-06-25
AARTIDRUGS,EQ,455.5,435.6,451.8,438.4,318772,2025-06-25
AARTIIND,EQ,473.35,455.45,470.6,454.2,2343302,2025-06-25
AARTIPHARM,EQ,883.0,855.0,866.5,853.65,320445,2025-06-25
AARVI,EQ,112.34,109.0,110.03,108.52,5773,2025-06-25
AAVAS,EQ,1922.0,1871.2,1881.2,1892.8,66272,2025-06-25
ABAN,EQ,59.21,57.11,57.68,58.21,94281,2025-06-25
AFSL,EQ,267.59,243.33,259.25,245.28,99717,2025-06-25
ABB,EQ,6065.0,5941.0,5966.5,6003.5,138938,2025-06-25
ABBOTINDIA,EQ,31795.0,31365.0,31680.0,31535.0,5191,2025-06-25
ABMINTLLTD,EQ,58.52,57.0,58.52,53.2,14529,2025-06-25
ACC,EQ,1864.4,1850.0,1854.2,1847.8,333987,2025-06-25
ACCELYA,EQ,1424.7,1390.2,1415.1,1400.1,6380,2025-06-25
ACCURACY,EQ,9.24,8.75,8.8,8.86,277405,2025-06-25
ACEINTEG,EQ,26.68,25.16,25.53,25.16,5007,2025-06-25
ACMESOLAR,EQ,251.1,246.25,248.2,249.1,630745,2025-06-25
ACE,EQ,1233.9,1209.1,1216.5,1203.8,192594,2025-06-25
ACUTAAS,EQ,1103.1,1082.0,1086.4,1093.2,190904,2025-06-25
ADANIENSOL,EQ,863.7,847.05,850.2,851.85,2316935,2025-06-25
ADANIENT,EQ,2541.6,2512.1,2527.2,2505.6,921346,2025-06-25
ADANIGREEN,EQ,997.0,979.5,981.1,987.3,2294587,2025-06-25
ADANIPORTS,EQ,1404.0,1385.5,1393.1,1389.5,1915989,2025-06-25
ADANIPOWER,EQ,559.0,548.75,557.0,546.85,3434204,2025-06-25
ATGL,EQ,640.75,632.7,634.15,631.85,1280646,2025-06-25
ADFFOODS,EQ,287.77,280.0,281.52,282.94,54909,2025-06-25
ABSLAMC,EQ,781.9,765.0,778.35,766.7,391577,2025-06-25
ABCAPITAL,EQ,273.05,267.2,272.33,271.19,8192361,2025-06-25
ABFRL,EQ,75.14,74.2,74.84,74.06,4267337,2025-06-25
BIRLAMONEY,EQ,193.8,186.01,191.3,185.89,153121,2025-06-25
ABREL,EQ,2446.3,2351.0,2358.5,2416.3,99738,2025-06-25
AVL,EQ,401.05,373.65,391.3,392.8,502569,2025-06-25
BSLGOLDETF,EQ,86.27,85.68,86.0,85.77,361646,2025-06-25
BSLNIFTY,EQ,29.16,28.6,29.13,28.91,153204,2025-06-25
ADOR,EQ,1025.5,999.0,1020.35,1007.7,31939,2025-06-25
ADROITINFO,EQ,11.2,10.97,11.12,10.98,21382,2025-06-25
ADVENZYMES,EQ,339.7,325.75,327.35,328.75,282976,2025-06-25
ADVANIHOTR,EQ,61.6,60.12,60.99,60.65,36772,2025-06-25
AEGISLOG,EQ,802.5,788.45,796.1,787.4,264059,2025-06-25
AEGISVOPAK,EQ,253.03,249.21,250.06,252.26,780274,2025-06-25
AEROENTER,EQ,96.57,93.79,95.09,94.9,240800,2025-06-25
AEROFLEX,EQ,205.25,197.61,201.19,199.09,5543976,2025-06-25
AETHER,EQ,783.95,765.0,778.25,773.5,93019,2025-06-25
AFCONS,EQ,444.9,436.05,437.85,438.3,715492,2025-06-25
AFFLE,EQ,1952.0,1917.1,1937.8,1910.8,619286,2025-06-25
AFFORDABLE,EQ,470.4,450.45,457.85,464.4,19522,2025-06-25
AGARIND,EQ,992.1,963.05,975.55,960.6,19955,2025-06-25
AGI,EQ,822.0,798.2,816.95,794.25,82320,2025-06-25
AGIIL,EQ,1019.9,981.25,984.1,993.75,110416,2025-06-25
AGRITECH,EQ,160.9,155.36,157.12,157.08,7564,2025-06-25
AGROPHOS,EQ,36.4,35.69,36.21,35.5,32480,2025-06-25
AHLADA,EQ,72.0,69.0,70.89,68.74,22388,2025-06-25
AHLUCONT,EQ,959.9,944.1,949.7,949.15,21304,2025-06-25
AIAENG,EQ,3318.8,3256.4,3298.6,3277.5,113745,2025-06-25
GOLDTECH,EQ,68.49,66.16,67.51,66.84,28877,2025-06-25
AIRAN,EQ,31.4,29.61,30.28,29.68,572163,2025-06-25
AIROLAM,EQ,115.69,111.2,114.77,112.24,13540,2025-06-25
AJANTPHARM,EQ,2628.0,2558.3,2585.2,2564.2,153312,2025-06-25
AJAXENGG,EQ,642.5,626.0,636.45,631.6,232532,2025-06-25
AJMERA,EQ,950.0,927.85,931.8,929.1,51325,2025-06-25
AJOONI,EQ,6.24,5.98,6.05,6.03,1451672,2025-06-25
AKASH,EQ,29.59,28.2,28.52,28.11,18884,2025-06-25
AKG,EQ,15.98,13.67,14.68,13.32,200197,2025-06-25
AFIL,EQ,7.81,7.35,7.47,7.53,1521074,2025-06-25
AKSHOPTFBR,EQ,9.15,8.7,8.87,8.72,632239,2025-06-25
AKSHARCHEM,EQ,259.0,251.0,253.52,254.3,2981,2025-06-25
AKUMS,EQ,587.0,540.35,575.5,536.05,2050112,2025-06-25
AKZOINDIA,EQ,3267.2,3214.9,3241.8,3230.7,9357,2025-06-25
ALANKIT,EQ,15.29,14.25,14.47,14.38,1317588,2025-06-25
ALBERTDAVD,EQ,856.85,842.55,847.95,842.65,3868,2025-06-25
ALEMBICLTD,EQ,115.5,112.74,115.12,112.16,522448,2025-06-25
APLLTD,EQ,973.9,942.6,971.9,946.9,86184,2025-06-25
ALICON,EQ,905.1,882.3,890.3,893.7,14752,2025-06-25
ALIVUS,EQ,1030.8,1001.0,1011.0,993.1,72789,2025-06-25
ALKALI,EQ,101.01,99.56,100.4,98.37,7446,2025-06-25
ALKEM,EQ,4863.0,4821.0,4854.0,4811.0,234015,2025-06-25
ALKYLAMINE,EQ,2370.0,2171.7,2336.2,2197.8,850521,2025-06-25
ACLGATI,EQ,68.88,66.44,68.32,66.34,335399,2025-06-25
ALLCARGO,EQ,35.65,34.47,35.41,34.66,3642628,2025-06-25
ATL,EQ,29.73,28.82,29.27,28.87,233407,2025-06-25
ALLDIGI,EQ,925.0,912.1,921.4,917.4,3025,2025-06-25
ABDL,EQ,436.75,428.35,432.45,428.65,293284,2025-06-25
ADSL,EQ,185.4,181.06,184.96,181.17,155007,2025-06-25
ALMONDZ,EQ,21.9,19.9,20.92,19.93,666164,2025-06-25
ALOKINDS,EQ,19.99,19.36,19.55,19.48,14591154,2025-06-25
ALPA,EQ,101.0,99.3,99.8,99.08,17462,2025-06-25
ALPHAGEO,EQ,293.4,280.8,284.8,278.4,20376,2025-06-25
ARE&M,EQ,979.8,967.0,969.6,970.8,440443,2025-06-25
AMBER,EQ,6938.0,6724.5,6836.5,6731.0,352197,2025-06-25
AMBICAAGAR,EQ,29.77,28.81,29.1,28.82,11903,2025-06-25
AMBIKCO,EQ,1574.0,1510.0,1564.6,1511.6,12786,2025-06-25
AMBUJACEM,EQ,560.7,551.3,559.4,554.2,2448107,2025-06-25
AMDIND,EQ,50.98,49.1,49.58,49.32,24605,2025-06-25
AMNPLST,EQ,255.78,237.46,249.6,239.42,22050,2025-06-25
AMJLAND,EQ,65.5,64.0,65.18,63.64,75547,2025-06-25
AMRUTANJAN,EQ,735.0,720.55,732.2,720.25,8765,2025-06-25
ANANDRATHI,EQ,2092.5,2051.0,2069.6,2081.6,49102,2025-06-25
ANANTRAJ,EQ,569.9,541.4,566.25,539.8,3421846,2025-06-25
ACL,EQ,67.74,65.7,66.13,66.1,255344,2025-06-25
ANDHRAPAP,EQ,84.0,81.0,83.32,81.38,221055,2025-06-25
ANDHRSUGAR,EQ,82.0,74.1,80.49,74.73,775749,2025-06-25
ANGELONE,EQ,3015.0,2841.5,2861.3,2957.3,1446907,2025-06-25
ANIKINDS,EQ,112.86,105.21,109.98,107.49,6286,2025-06-25
APCL,EQ,149.45,139.57,145.03,139.9,35097,2025-06-25
ANMOL,EQ,17.75,17.03,17.57,17.35,21845,2025-06-25
ANTGRAPHIC,EQ,1.38,1.28,1.34,1.27,1431153,2025-06-25
AWHCL,EQ,663.15,626.95,656.65,624.75,262951,2025-06-25
ANUHPHR,EQ,209.92,207.34,208.88,207.14,16923,2025-06-25
ANURAS,EQ,1152.4,1126.6,1133.8,1147.1,95812,2025-06-25
AONELIQUID,EQ,1013.89,1013.87,1013.88,1013.75,50365,2025-06-25
AONENIFTY,EQ,10.28,10.19,10.26,10.19,226848,2025-06-25
AONETOTAL,EQ,11.78,11.68,11.73,11.64,504852,2025-06-25
APARINDS,EQ,8174.5,7918.0,8083.0,7877.0,74753,2025-06-25
APCOTEXIND,EQ,399.9,388.7,390.6,388.55,26228,2025-06-25
APEX,EQ,237.9,229.44,236.35,229.43,49657,2025-06-25
APLAPOLLO,EQ,1812.5,1790.0,1795.9,1793.2,928850,2025-06-25
APOLLOHOSP,EQ,7061.0,6995.0,7042.0,7006.0,378904,2025-06-25
APOLLO,EQ,207.44,196.56,197.38,204.17,6908853,2025-06-25
APOLLOPIPE,EQ,434.3,421.65,429.7,420.5,95551,2025-06-25
APOLSINHOT,EQ,1289.0,1261.0,1267.4,1258.8,1077,2025-06-25
APOLLOTYRE,EQ,452.35,444.25,451.05,446.45,1379568,2025-06-25
APTUS,EQ,326.65,320.0,322.6,323.4,1265109,2025-06-25
ACI,EQ,638.0,617.75,635.35,615.7,142362,2025-06-25
ARCHIDPLY,EQ,107.0,102.82,104.22,104.47,5865,2025-06-25
ARIES,EQ,329.4,311.05,324.15,309.45,88815,2025-06-25
ARIHANTCAP,EQ,88.25,83.0,86.57,79.12,3863542,2025-06-25
ARIHANTSUP,EQ,383.0,369.0,379.85,368.2,21870,2025-06-25
ARISINFRA,EQ,208.5,171.49,174.38,222.0,13200640,2025-06-25
ARKADE,EQ,197.5,193.47,194.39,195.1,784743,2025-06-25
ARMANFIN,EQ,1782.0,1737.1,1759.8,1753.0,26432,2025-06-25
AROGRANITE,EQ,41.96,38.86,39.89,40.79,27023,2025-06-25
ARTEMISMED,EQ,256.95,246.6,247.2,254.4,88374,2025-06-25
ARVEE,EQ,168.0,160.4,162.05,162.2,85,2025-06-25
ARVINDFASN,EQ,501.95,472.1,498.5,472.55,658095,2025-06-25
ARVIND,EQ,355.1,346.6,354.65,350.35,291012,2025-06-25
ARVSMART,EQ,675.0,662.6,668.8,663.55,48359,2025-06-25
ASAHIINDIA,EQ,715.8,690.0,698.75,691.6,296197,2025-06-25
ASHAPURMIN,EQ,436.55,425.4,429.4,423.0,329218,2025-06-25
ASHIANA,EQ,351.75,335.45,349.85,343.9,153790,2025-06-25
ASHOKLEY,EQ,245.14,241.64,244.61,240.78,7385321,2025-06-25
ASHOKA,EQ,212.26,208.14,210.37,207.23,880791,2025-06-25
ASHOKAMET,EQ,17.78,17.16,17.39,17.23,39963,2025-06-25
ASIANENE,EQ,305.2,295.0,300.75,293.75,67127,2025-06-25
AHLEAST,EQ,148.79,146.0,147.68,145.51,5425,2025-06-25
ASIANPAINT,EQ,2294.3,2275.4,2279.9,2275.3,807391,2025-06-25
ASKAUTOLTD,EQ,504.0,480.4,500.9,480.7,536341,2025-06-25
ASPINWALL,EQ,307.0,296.7,297.45,299.75,5957,2025-06-25
ASALCBR,EQ,1084.5,1064.3,1070.3,1059.5,29296,2025-06-25
ASTEC,EQ,907.9,817.65,888.2,824.35,385053,2025-06-25
ASTERDM,EQ,593.0,571.7,591.65,574.45,1266462,2025-06-25
ASTRAMICRO,EQ,1087.8,1054.0,1059.6,1074.1,372110,2025-06-25
ASTRAL,EQ,1520.0,1499.2,1505.4,1501.0,372908,2025-06-25
ASTRAZEN,EQ,8936.0,8752.0,8847.0,8778.5,27670,2025-06-25
ATAM,EQ,109.97,106.5,107.07,107.98,16170,2025-06-25
ATHERENERG,EQ,344.45,320.45,340.9,320.05,3776138,2025-06-25
ATLANTAA,EQ,35.04,33.92,34.9,34.05,30965,2025-06-25
ATULAUTO,EQ,460.15,451.0,456.15,451.45,71328,2025-06-25
ATUL,EQ,7425.0,6978.0,7357.0,6971.0,152574,2025-06-25
AUBANK,EQ,810.9,794.25,807.05,800.7,2237498,2025-06-25
AURIONPRO,EQ,1343.5,1277.2,1333.5,1279.7,124862,2025-06-25
AUROPHARMA,EQ,1122.1,1106.8,1120.2,1104.2,816916,2025-06-25
AURUM,EQ,200.35,195.83,198.85,196.98,129150,2025-06-25
AIIL,EQ,2742.7,2674.4,2719.7,2664.9,204135,2025-06-25
AUTOIND,EQ,87.47,79.38,80.05,79.98,529146,2025-06-25
AUTOAXLES,EQ,1830.0,1789.2,1823.2,1803.7,9778,2025-06-25
ASAL,EQ,590.0,573.3,585.5,579.9,63908,2025-06-25
AVADHSUGAR,EQ,513.1,501.5,510.5,500.8,22206,2025-06-25
AVALON,EQ,873.9,795.8,847.9,803.4,1338376,2025-06-25
AVANTEL,EQ,162.45,158.0,158.49,161.4,1415048,2025-06-25
AVANTIFEED,EQ,745.45,720.85,741.15,716.1,421319,2025-06-25
DMART,EQ,4294.0,4236.7,4276.4,4250.6,533866,2025-06-25
AVG,EQ,289.0,280.0,286.55,287.0,4242,2025-06-25
AVROIND,EQ,168.5,160.53,168.07,163.23,28636,2025-06-25
AVTNPL,EQ,66.34,64.4,65.72,64.94,84943,2025-06-25
AWFIS,EQ,662.3,640.6,646.45,654.95,1287990,2025-06-25
AWL,EQ,259.9,256.3,259.5,255.65,826794,2025-06-25
AXISBANK,EQ,1226.3,1211.0,1213.3,1221.2,4229259,2025-06-25
AXISGOLD,EQ,83.34,81.06,81.48,81.31,347029,2025-06-25
AXISBNKETF,EQ,579.14,577.2,578.2,576.97,6707,2025-06-25
AXISBPSETF,EQ,12.8,12.62,12.74,12.72,20453,2025-06-25
AXISCETF,EQ,120.25,119.79,120.14,119.03,3151,2025-06-25
AXISHCETF,EQ,144.32,143.36,144.31,143.06,4992,2025-06-25
AXISILVER,EQ,108.8,105.61,105.81,106.66,58184,2025-06-25
AXISNIFTY,EQ,276.79,274.12,274.95,272.86,4853,2025-06-25
AXISTECETF,EQ,420.8,417.7,420.78,415.34,469,2025-06-25
AXISVALUE,EQ,28.47,28.15,28.3,28.2,5083,2025-06-25
AXSENSEX,EQ,84.65,84.15,84.49,83.75,979,2025-06-25
AXITA,EQ,9.07,8.99,9.0,9.0,1680444,2025-06-25
AYMSYNTEX,EQ,255.82,246.17,250.01,253.36,8426,2025-06-25
AZAD,EQ,1623.5,1587.6,1595.4,1603.1,175877,2025-06-25
BBTCL,EQ,162.71,158.52,159.89,160.45,1512,2025-06-25
BAGFILMS,EQ,7.58,7.35,7.5,7.48,116537,2025-06-25
BLKASHYAP,EQ,67.39,65.01,65.72,65.28,289611,2025-06-25
STYLEBAAZA,EQ,292.0,262.85,289.15,260.75,1870159,2025-06-25
BAIDFIN,EQ,11.9,11.44,11.51,11.48,128065,2025-06-25
BAJAJ-AUTO,EQ,8437.0,8371.0,8389.5,8377.0,276176,2025-06-25
BAJAJCON,EQ,214.6,198.1,207.29,202.63,14300320,2025-06-25
BAJAJELEC,EQ,693.2,681.0,685.45,679.35,79293,2025-06-25
BAJFINANCE,EQ,930.0,916.0,928.0,916.5,6623799,2025-06-25
BAJAJFINSV,EQ,2028.0,2004.0,2011.8,2009.2,998245,2025-06-25
BAJAJHCARE,EQ,537.85,529.0,531.0,528.6,63911,2025-06-25
BAJAJHIND,EQ,24.44,23.34,24.33,23.3,8473377,2025-06-25
