TckrSymb,SctySrs,TradDt
20MICRONS, EQ,2026-01-26
21STCENMGM, EQ,2026-01-26
360ONE, EQ,2026-01-26
3IINFOLTD, EQ,2026-01-26
3MINDIA, EQ,2026-01-26
3PLAND, EQ,2026-01-26
5PAISA, EQ,2026-01-26
63MOONS, EQ,2026-01-26
A2ZINFRA, EQ,2026-01-26
AADHARHFC, EQ,2026-01-26
AAKASH, EQ,2026-01-26
AAREYDRUGS, EQ,2026-01-26
AARON, EQ,2026-01-26
AARTECH, EQ,2026-01-26
AARTIDRUGS, EQ,2026-01-26
AARTIIND, EQ,2026-01-26
AARTIPHARM, EQ,2026-01-26
AARTISURF, EQ,2026-01-26
AARVI, EQ,2026-01-26
AAVAS, EQ,2026-01-26
ABB, EQ,2026-01-26
ABBOTINDIA, EQ,2026-01-26
ABCAPITAL, EQ,2026-01-26
ABCOTS, EQ,2026-01-26
ABDL, EQ,2026-01-26
ABFRL, EQ,2026-01-26
ABGSEC, EQ,2026-01-26
ABINFRA, EQ,2026-01-26
ABLBL, EQ,2026-01-26
ABMINTLLTD, EQ,2026-01-26
ABREL, EQ,2026-01-26
ABSLAMC, EQ,2026-01-26
ABSLBANETF, EQ,2026-01-26
ABSLLIQUID, EQ,2026-01-26
ABSLNN50ET, EQ,2026-01-26
ABSLPSE, EQ,2026-01-26
ACC, EQ,2026-01-26
ACCELYA, EQ,2026-01-26
ACCURACY, EQ,2026-01-26
ACE, EQ,2026-01-26
ACEINTEG, EQ,2026-01-26
ACI, EQ,2026-01-26
ACL, EQ,2026-01-26
ACMESOLAR, EQ,2026-01-26
ACUTAAS, EQ,2026-01-26
ADANIENSOL, EQ,2026-01-26
ADANIENT, EQ,2026-01-26
ADANIGREEN, EQ,2026-01-26
ADANIPORTS, EQ,2026-01-26
ADANIPOWER, EQ,2026-01-26
ADFFOODS, EQ,2026-01-26
ADL, EQ,2026-01-26
ADOR, EQ,2026-01-26
ADROITINFO, EQ,2026-01-26
ADSL, EQ,2026-01-26
ADVAIT, EQ,2026-01-26
ADVANCE, EQ,2026-01-26
ADVANIHOTR, EQ,2026-01-26
ADVENTHTL, EQ,2026-01-26
ADVENZYMES, EQ,2026-01-26
AEGISLOG, EQ,2026-01-26
AEGISVOPAK, EQ,2026-01-26
AEQUS, EQ,2026-01-26
AEROENTER, EQ,2026-01-26
AEROFLEX, EQ,2026-01-26
AERONEU, EQ,2026-01-26
AETHER, EQ,2026-01-26
AFCONS, EQ,2026-01-26
AFFLE, EQ,2026-01-26
AFFORDABLE, EQ,2026-01-26
AFIL, EQ,2026-01-26
AFSL, EQ,2026-01-26
AGARIND, EQ,2026-01-26
AGARWALEYE, EQ,2026-01-26
AGI, EQ,2026-01-26
AGIIL, EQ,2026-01-26
AGROPHOS, EQ,2026-01-26
AHCL, EQ,2026-01-26
AHLADA, EQ,2026-01-26
AHLEAST, EQ,2026-01-26
AHLUCONT, EQ,2026-01-26
AIAENG, EQ,2026-01-26
AIIL, EQ,2026-01-26
AIRAN, EQ,2026-01-26
