TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,237.86,228.51,229.36,230.29,103324,2025-06-27
21STCENMGM,EQ,59.97,59.97,59.97,61.2,3600,2025-06-27
360ONE,EQ,1208.7,1170.0,1195.7,1164.85,3387240,2025-06-27
GOLD360,EQ,98.7,94.2,94.8,96.0,4512,2025-06-27
SILVER360,EQ,107.0,105.71,106.5,107.0,409,2025-06-27
3IINFOLTD,EQ,25.88,25.2,25.23,25.52,330389,2025-06-27
3MINDIA,EQ,28865.0,28500.0,28650.0,28605.0,2909,2025-06-27
3PLAND,EQ,52.14,50.28,50.9,50.64,6308,2025-06-27
5PAISA,EQ,417.0,408.0,409.75,410.65,23860,2025-06-27
63MOONS,EQ,1042.2,993.15,1008.45,992.95,458096,2025-06-27
AAATECH,EQ,83.96,82.38,82.53,83.38,15214,2025-06-27
AADHARHFC,EQ,451.15,443.1,444.2,444.0,280701,2025-06-27
AARON,EQ,370.0,358.0,360.4,363.5,11512,2025-06-27
AARTECH,EQ,73.8,70.55,70.91,73.07,71049,2025-06-27
AARTIDRUGS,EQ,456.4,443.45,453.2,445.4,198535,2025-06-27
AARTIIND,EQ,480.5,473.2,479.15,475.9,959660,2025-06-27
AARTIPHARM,EQ,881.0,857.0,859.55,872.85,167121,2025-06-27
AARVI,EQ,111.79,110.11,110.8,111.03,3088,2025-06-27
AAVAS,EQ,2007.0,1930.9,1986.2,1942.6,295316,2025-06-27
ABAN,EQ,57.9,56.5,57.26,56.72,51968,2025-06-27
AFSL,EQ,252.35,245.7,247.3,248.58,49334,2025-06-27
ABB,EQ,6175.0,6030.0,6069.5,6012.5,241168,2025-06-27
ABBOTINDIA,EQ,37000.0,32955.0,34940.0,33055.0,53061,2025-06-27
ABMINTLLTD,EQ,67.58,67.45,67.58,64.37,11285,2025-06-27
ACC,EQ,1935.1,1886.4,1920.2,1881.7,875256,2025-06-27
ACCELYA,EQ,1432.0,1411.0,1421.5,1411.0,6709,2025-06-27
ACCURACY,EQ,8.87,8.67,8.75,8.76,169697,2025-06-27
ACEINTEG,EQ,29.1,25.84,27.39,25.73,84101,2025-06-27
ACMESOLAR,EQ,250.25,246.8,249.15,246.5,501356,2025-06-27
ACE,EQ,1231.9,1207.5,1211.7,1224.3,131833,2025-06-27
ACUTAAS,EQ,1146.4,1100.1,1141.4,1105.7,414164,2025-06-27
ADANIENSOL,EQ,900.85,863.0,883.7,864.75,3118143,2025-06-27
ADANIENT,EQ,2681.6,2582.0,2646.3,2586.2,4049316,2025-06-27
ADANIGREEN,EQ,1046.9,993.0,1015.6,992.0,6044564,2025-06-27
ADANIPORTS,EQ,1456.8,1427.0,1440.2,1429.3,2888390,2025-06-27
ADANIPOWER,EQ,606.8,574.2,584.35,578.15,15644091,2025-06-27
ATGL,EQ,693.9,647.8,682.45,645.55,11651442,2025-06-27
ADFFOODS,EQ,286.35,274.69,276.17,279.86,154609,2025-06-27
ABSLAMC,EQ,785.05,760.15,763.95,777.1,392305,2025-06-27
ABCAPITAL,EQ,277.98,268.63,269.33,276.8,5491582,2025-06-27
ABFRL,EQ,75.36,74.32,74.7,74.39,9705451,2025-06-27
BIRLAMONEY,EQ,197.16,188.67,196.97,187.78,318032,2025-06-27
ABREL,EQ,2415.8,2344.0,2397.6,2334.5,347815,2025-06-27
AVL,EQ,399.7,389.0,397.2,389.35,205107,2025-06-27
BSLGOLDETF,EQ,85.98,84.5,84.58,85.98,76626,2025-06-27
BSLNIFTY,EQ,30.18,29.2,29.56,29.45,197262,2025-06-27
ADOR,EQ,1035.0,1010.4,1023.6,1007.5,7912,2025-06-27
ADROITINFO,EQ,11.42,10.81,10.91,10.96,40121,2025-06-27
ADVENZYMES,EQ,338.15,325.5,329.75,324.55,236205,2025-06-27
ADVANIHOTR,EQ,61.7,60.6,60.8,61.11,29223,2025-06-27
AEGISLOG,EQ,845.5,770.5,781.15,825.4,2271542,2025-06-27
AEGISVOPAK,EQ,257.81,252.46,254.8,252.22,1307013,2025-06-27
AEROENTER,EQ,100.6,96.0,99.43,95.84,714670,2025-06-27
AEROFLEX,EQ,213.95,203.0,209.6,204.56,8201320,2025-06-27
AETHER,EQ,776.0,764.05,765.7,769.45,66159,2025-06-27
AFCONS,EQ,446.5,440.0,442.4,438.6,924845,2025-06-27
AFFLE,EQ,2032.0,1955.7,1984.1,1956.6,478557,2025-06-27
AFFORDABLE,EQ,457.45,443.4,449.95,450.4,10938,2025-06-27
AGARIND,EQ,998.0,966.0,985.35,971.65,23075,2025-06-27
AGI,EQ,820.95,799.5,805.45,814.4,47410,2025-06-27
AGIIL,EQ,1020.3,985.2,992.7,999.6,94012,2025-06-27
AGRITECH,EQ,160.0,155.5,156.67,158.51,8190,2025-06-27
AGROPHOS,EQ,36.5,35.8,36.14,36.02,32097,2025-06-27
AHLADA,EQ,69.95,68.06,68.82,68.34,14664,2025-06-27
AHLUCONT,EQ,996.9,930.15,986.75,942.4,304275,2025-06-27
AIAENG,EQ,3356.9,3320.0,3332.1,3324.2,18726,2025-06-27
GOLDTECH,EQ,69.69,66.5,66.99,67.62,35699,2025-06-27
AIRAN,EQ,30.62,29.8,29.95,30.15,114986,2025-06-27
AIROLAM,EQ,116.0,112.02,115.13,114.59,7979,2025-06-27
AJANTPHARM,EQ,2582.5,2506.1,2520.7,2568.4,318634,2025-06-27
AJAXENGG,EQ,635.0,626.3,628.75,628.6,63262,2025-06-27
AJMERA,EQ,939.6,924.1,929.3,923.0,40024,2025-06-27
AJOONI,EQ,6.07,6.0,6.02,6.03,301790,2025-06-27
AKASH,EQ,29.35,28.08,28.23,28.21,10661,2025-06-27
AKG,EQ,15.19,14.2,14.84,14.6,74349,2025-06-27
AFIL,EQ,7.6,6.9,7.29,7.49,3743120,2025-06-27
AKSHOPTFBR,EQ,9.26,8.8,9.26,8.82,982912,2025-06-27
AKSHARCHEM,EQ,264.9,253.05,262.77,256.47,6560,2025-06-27
AKUMS,EQ,597.0,578.0,594.0,582.9,209284,2025-06-27
AKZOINDIA,EQ,3540.0,3136.1,3418.6,3189.3,1245810,2025-06-27
ALANKIT,EQ,14.8,14.5,14.59,14.42,402822,2025-06-27
ALBERTDAVD,EQ,862.95,831.15,834.95,842.8,6039,2025-06-27
ALEMBICLTD,EQ,116.75,114.8,115.31,114.74,401597,2025-06-27
APLLTD,EQ,988.5,962.1,968.9,974.6,117355,2025-06-27
ALICON,EQ,893.5,877.1,884.45,883.3,5668,2025-06-27
ALIVUS,EQ,1010.0,992.0,1001.3,994.6,69747,2025-06-27
ALKALI,EQ,104.01,98.32,102.29,98.0,45208,2025-06-27
ALKEM,EQ,4920.0,4855.0,4906.5,4841.0,113855,2025-06-27
ALKYLAMINE,EQ,2278.0,2201.0,2261.9,2270.3,160007,2025-06-27
ACLGATI,EQ,68.9,67.5,67.74,67.84,145726,2025-06-27
ALLCARGO,EQ,36.09,34.7,34.88,35.01,2664053,2025-06-27
ATL,EQ,29.4,28.9,28.94,28.84,146241,2025-06-27
ALLDIGI,EQ,934.6,911.05,916.9,923.0,7090,2025-06-27
ABDL,EQ,435.6,423.75,425.0,435.25,220314,2025-06-27
ADSL,EQ,187.01,182.89,183.32,185.27,145294,2025-06-27
ALMONDZ,EQ,23.64,19.99,22.71,20.05,2160392,2025-06-27
ALOKINDS,EQ,20.64,20.15,20.49,20.37,13574326,2025-06-27
ALPA,EQ,101.5,99.28,100.45,99.72,48622,2025-06-27
ALPHAGEO,EQ,287.65,281.0,282.95,281.1,7387,2025-06-27
ARE&M,EQ,983.8,959.4,962.0,969.2,712918,2025-06-27
AMBER,EQ,6954.0,6804.5,6848.5,6786.5,325471,2025-06-27
AMBICAAGAR,EQ,29.37,28.0,28.46,29.01,9572,2025-06-27
AMBIKCO,EQ,1568.6,1550.0,1550.8,1560.4,4914,2025-06-27
AMBUJACEM,EQ,579.75,565.1,574.95,566.75,3563465,2025-06-27
AMDIND,EQ,50.44,49.0,49.44,49.74,20901,2025-06-27
AMNPLST,EQ,254.58,245.02,247.49,247.9,9109,2025-06-27
AMJLAND,EQ,65.9,64.11,64.73,64.15,57959,2025-06-27
AMRUTANJAN,EQ,742.45,722.7,731.05,729.95,18406,2025-06-27
ANANDRATHI,EQ,2139.6,2020.0,2076.2,2072.7,655422,2025-06-27
ANANTRAJ,EQ,571.0,552.1,554.0,564.25,1808175,2025-06-27
ACL,EQ,67.9,66.4,67.15,66.52,10795,2025-06-27
ANDHRAPAP,EQ,84.0,81.5,82.94,82.9,134092,2025-06-27
ANDHRSUGAR,EQ,84.27,81.6,83.37,83.47,415983,2025-06-27
ANGELONE,EQ,2983.0,2888.1,2911.2,2903.0,1181089,2025-06-27
ANIKINDS,EQ,110.65,107.0,107.31,109.07,3097,2025-06-27
APCL,EQ,152.5,147.5,148.39,152.55,17378,2025-06-27
ANMOL,EQ,17.93,17.44,17.52,17.59,46281,2025-06-27
ANTGRAPHIC,EQ,1.39,1.33,1.35,1.35,435679,2025-06-27
AWHCL,EQ,668.5,648.0,656.2,664.1,90289,2025-06-27
ANUHPHR,EQ,213.39,208.2,210.65,206.76,35322,2025-06-27
ANURAS,EQ,1148.0,1105.0,1135.0,1129.4,832045,2025-06-27
AONELIQUID,EQ,1014.45,983.6,1014.44,1014.02,31892,2025-06-27
AONENIFTY,EQ,10.52,10.34,10.48,10.39,248525,2025-06-27
AONETOTAL,EQ,12.18,11.72,11.89,11.83,384768,2025-06-27
APARINDS,EQ,9023.0,8400.0,8438.0,8672.0,343698,2025-06-27
APCOTEXIND,EQ,398.85,390.15,393.55,393.55,37816,2025-06-27
APEX,EQ,244.45,240.6,242.99,240.96,47752,2025-06-27
APLAPOLLO,EQ,1795.8,1743.0,1755.9,1795.9,1138006,2025-06-27
APOLLOHOSP,EQ,7324.0,7117.5,7308.5,7101.5,523582,2025-06-27
APOLLO,EQ,198.69,192.15,192.79,196.76,4388534,2025-06-27
APOLLOPIPE,EQ,438.15,425.0,426.9,426.95,127908,2025-06-27
APOLSINHOT,EQ,1318.4,1270.4,1285.9,1297.6,2403,2025-06-27
APOLLOTYRE,EQ,453.0,445.7,447.35,446.6,1374378,2025-06-27
APTUS,EQ,322.8,317.0,318.75,320.7,743915,2025-06-27
ACI,EQ,634.2,626.1,628.65,631.05,64758,2025-06-27
ARCHIDPLY,EQ,110.16,107.25,108.42,107.88,7080,2025-06-27
ARIES,EQ,335.0,322.75,324.8,322.75,81819,2025-06-27
ARIHANTCAP,EQ,86.73,83.5,83.82,86.04,263357,2025-06-27
ARIHANTSUP,EQ,391.8,378.0,380.95,380.45,74127,2025-06-27
ARISINFRA,EQ,180.98,176.12,177.15,176.84,863791,2025-06-27
ARKADE,EQ,197.0,193.23,195.17,192.77,1134861,2025-06-27
ARMANFIN,EQ,1816.0,1730.0,1745.0,1806.8,39140,2025-06-27
AROGRANITE,EQ,40.87,39.11,39.82,40.34,6372,2025-06-27
ARTEMISMED,EQ,257.0,253.05,253.95,252.15,55788,2025-06-27
ARVEE,EQ,174.9,158.3,161.17,162.07,1048,2025-06-27
ARVINDFASN,EQ,502.6,480.25,482.65,484.55,360925,2025-06-27
ARVIND,EQ,358.8,352.5,354.7,353.55,200919,2025-06-27
ARVSMART,EQ,679.1,663.0,665.4,673.1,44324,2025-06-27
ASAHIINDIA,EQ,738.3,720.2,733.5,718.85,267392,2025-06-27
ASHAPURMIN,EQ,438.1,425.0,429.65,427.55,332831,2025-06-27
ASHIANA,EQ,353.75,347.75,349.75,346.45,56858,2025-06-27
ASHOKLEY,EQ,251.9,249.32,249.73,248.92,5199866,2025-06-27
ASHOKA,EQ,215.8,211.84,212.71,213.88,700756,2025-06-27
ASHOKAMET,EQ,17.49,17.1,17.3,17.23,57383,2025-06-27
ASIANENE,EQ,307.9,294.05,294.95,304.1,98352,2025-06-27
AHLEAST,EQ,148.7,145.0,145.49,146.27,11771,2025-06-27
ASIANPAINT,EQ,2364.5,2277.1,2358.7,2289.8,1555259,2025-06-27
ASKAUTOLTD,EQ,533.7,516.0,523.45,516.65,532111,2025-06-27
ASPINWALL,EQ,304.85,294.85,302.05,291.55,17526,2025-06-27
ASALCBR,EQ,1165.0,1087.0,1122.4,1075.8,309637,2025-06-27
ASTEC,EQ,976.0,922.0,936.55,971.8,154334,2025-06-27
ASTERDM,EQ,600.0,585.0,588.2,596.0,1127052,2025-06-27
ASTRAMICRO,EQ,1086.5,1041.3,1047.2,1067.0,521889,2025-06-27
ASTRAL,EQ,1543.0,1496.1,1500.4,1522.3,482191,2025-06-27
ASTRAZEN,EQ,8964.5,8760.0,8907.0,8748.5,38459,2025-06-27
ATAM,EQ,112.0,108.25,110.88,107.2,35266,2025-06-27
ATHERENERG,EQ,341.95,331.4,332.6,336.0,595650,2025-06-27
ATLANTAA,EQ,36.96,33.5,34.4,35.75,49072,2025-06-27
ATULAUTO,EQ,462.85,454.4,455.45,455.8,57777,2025-06-27
ATUL,EQ,7459.0,7285.0,7415.0,7325.0,40905,2025-06-27
AUBANK,EQ,821.0,803.65,809.0,819.7,4459909,2025-06-27
AURIONPRO,EQ,1452.6,1394.9,1438.8,1401.9,201303,2025-06-27
AUROPHARMA,EQ,1138.8,1119.0,1121.0,1123.2,1627657,2025-06-27
AURUM,EQ,200.92,195.0,199.38,195.03,120736,2025-06-27
AIIL,EQ,2683.5,2609.0,2620.5,2646.4,75347,2025-06-27
AUTOIND,EQ,82.99,80.05,80.77,80.84,115837,2025-06-27
AUTOAXLES,EQ,1839.9,1811.9,1821.0,1824.1,4751,2025-06-27
ASAL,EQ,592.05,570.15,571.9,584.3,57514,2025-06-27
AVADHSUGAR,EQ,514.0,500.2,503.25,505.7,44054,2025-06-27
AVALON,EQ,844.9,815.0,825.0,828.1,189572,2025-06-27
AVANTEL,EQ,159.85,156.0,156.45,157.52,729044,2025-06-27
AVANTIFEED,EQ,734.85,715.0,719.15,728.45,619432,2025-06-27
DMART,EQ,4348.9,4290.0,4313.5,4315.4,251774,2025-06-27
AVG,EQ,309.0,280.35,299.9,294.95,40890,2025-06-27
AVROIND,EQ,185.5,163.5,182.75,168.64,141634,2025-06-27
AVTNPL,EQ,70.51,64.66,66.77,64.37,814179,2025-06-27
AWFIS,EQ,656.8,641.75,652.45,651.45,214141,2025-06-27
AWL,EQ,265.2,258.25,259.2,257.6,2487215,2025-06-27
AXISBANK,EQ,1247.0,1220.4,1225.1,1233.5,6068274,2025-06-27
AXISGOLD,EQ,81.64,79.59,80.22,81.64,681931,2025-06-27
AXISBNKETF,EQ,587.83,582.79,586.37,584.06,1755,2025-06-27
AXISBPSETF,EQ,13.11,12.64,12.72,12.73,428145,2025-06-27
AXISCETF,EQ,125.0,120.84,121.55,121.08,15490,2025-06-27
AXISHCETF,EQ,146.2,144.9,145.85,144.67,3357,2025-06-27
AXISILVER,EQ,108.45,105.6,105.77,107.82,228687,2025-06-27
AXISNIFTY,EQ,286.65,276.63,279.25,278.3,11788,2025-06-27
AXISTECETF,EQ,423.19,417.31,419.21,419.54,1906,2025-06-27
AXISVALUE,EQ,29.57,28.69,28.93,29.04,25051,2025-06-27
AXSENSEX,EQ,86.98,84.5,85.69,85.67,6655,2025-06-27
AXITA,EQ,9.05,8.96,8.97,8.99,1376396,2025-06-27
AYMSYNTEX,EQ,249.58,231.1,235.48,239.44,17822,2025-06-27
AZAD,EQ,1636.0,1590.1,1600.6,1586.7,333624,2025-06-27
BBTCL,EQ,160.0,153.46,156.58,154.98,5270,2025-06-27
BAGFILMS,EQ,7.8,7.16,7.58,7.43,215184,2025-06-27
BLKASHYAP,EQ,67.49,66.06,66.41,66.15,273512,2025-06-27
STYLEBAAZA,EQ,306.95,281.1,297.65,287.8,1090800,2025-06-27
BAIDFIN,EQ,11.7,11.41,11.54,11.41,225095,2025-06-27
BAJAJ-AUTO,EQ,8507.0,8414.0,8436.0,8433.0,504248,2025-06-27
BAJAJCON,EQ,216.96,204.8,205.8,207.61,2867985,2025-06-27
BAJAJELEC,EQ,688.15,677.9,685.1,679.15,44704,2025-06-27
BAJFINANCE,EQ,959.5,936.0,947.0,951.5,21637194,2025-06-27
BAJAJFINSV,EQ,2065.0,2005.0,2044.0,2053.6,6315182,2025-06-27
BAJAJHCARE,EQ,527.35,517.0,519.5,523.55,63538,2025-06-27
BAJAJHIND,EQ,26.45,24.54,25.92,24.45,29737816,2025-06-27
BAJAJHLDNG,EQ,14400.0,13747.0,14134.0,13870.0,96693,2025-06-27
BAJAJHFL,EQ,123.19,121.89,122.07,121.91,5228077,2025-06-27
BALPHARMA,EQ,101.97,99.05,99.94,100.04,15436,2025-06-27
BALAMINES,EQ,1799.0,1693.4,1789.0,1740.3,661068,2025-06-27
BALAXI,EQ,54.7,49.95,50.05,49.98,1129624,2025-06-27
BALKRISIND,EQ,2468.9,2430.2,2463.8,2433.3,178550,2025-06-27
BALKRISHNA,EQ,21.82,21.16,21.21,21.18,24540,2025-06-27
BALMLAWRIE,EQ,215.9,211.49,213.9,211.02,327743,2025-06-27
BALRAMCHIN,EQ,596.2,587.4,590.05,589.0,191101,2025-06-27
BANARBEADS,EQ,128.0,121.12,122.27,123.5,20965,2025-06-27
BANCOINDIA,EQ,596.8,584.8,589.2,587.75,162779,2025-06-27
BANDHANBNK,EQ,187.29,183.6,185.61,185.06,10460222,2025-06-27
IDFNIFTYET,EQ,282.44,272.1,278.64,276.68,3410,2025-06-27
BANG,EQ,61.36,56.02,61.36,55.79,68419,2025-06-27
BANKBARODA,EQ,245.09,239.0,241.33,239.34,16042284,2025-06-27
BANKINDIA,EQ,120.4,116.5,116.77,116.95,17380242,2025-06-27
MAHABANK,EQ,55.41,54.01,54.3,53.84,12529980,2025-06-27
BANKA,EQ,75.0,71.7,71.86,71.63,23237,2025-06-27
BASML,EQ,35.99,34.5,34.67,35.13,169181,2025-06-27
BANARISUG,EQ,3952.5,3910.1,3929.6,3905.5,445,2025-06-27
BANSALWIRE,EQ,391.95,382.55,390.45,385.75,208872,2025-06-27
BANSWRAS,EQ,151.67,145.93,148.95,145.95,53366,2025-06-27
BVCL,EQ,38.25,37.0,37.2,37.98,32670,2025-06-27
BARBEQUE,EQ,325.0,315.4,316.75,323.05,130688,2025-06-27
BBNPNBETF,EQ,58.16,57.0,57.17,57.02,1596,2025-06-27
BBNPPGOLD,EQ,94.8,93.5,94.0,94.8,4692,2025-06-27
ASMS,EQ,14.05,13.25,13.38,13.63,714235,2025-06-27
BASF,EQ,5225.0,5018.0,5109.0,5017.0,80525,2025-06-27
BATAINDIA,EQ,1234.8,1219.5,1231.2,1223.1,87493,2025-06-27
BAYERCROP,EQ,6187.0,5900.0,6114.0,5911.0,197557,2025-06-27
BCLIND,EQ,43.16,42.25,42.32,42.46,462131,2025-06-27
BEARDSELL,EQ,30.43,28.96,29.01,29.99,168332,2025-06-27
BEDMUTHA,EQ,156.32,152.8,153.33,154.03,3380,2025-06-27
BELRISE,EQ,108.37,102.51,106.79,102.67,23366421,2025-06-27
BLAL,EQ,219.24,214.0,215.2,218.3,69502,2025-06-27
BEML,EQ,4521.0,4406.8,4425.9,4448.4,488160,2025-06-27
BERGEPAINT,EQ,588.35,568.1,583.95,570.0,2426286,2025-06-27
BESTAGRO,EQ,333.9,314.6,323.05,331.15,32273,2025-06-27
BFINVEST,EQ,500.8,488.85,490.55,491.6,57356,2025-06-27
BFUTILITIE,EQ,796.4,780.0,781.15,783.35,71434,2025-06-27
BANKBETF,EQ,58.02,57.49,57.95,57.49,202178,2025-06-27
LIQUIDBETF,EQ,1036.84,1036.81,1036.82,1036.38,570210,2025-06-27
NIFTYBETF,EQ,260.0,258.67,259.66,258.65,4165,2025-06-27
BHAGERIA,EQ,191.99,187.78,188.96,188.2,12016,2025-06-27
BHAGCHEM,EQ,301.2,293.05,298.75,295.4,92805,2025-06-27
BHAGYANGR,EQ,82.94,79.22,80.02,80.19,68253,2025-06-27
BHANDARI,EQ,5.63,5.4,5.48,5.5,693819,2025-06-27
BEPL,EQ,118.07,115.6,116.04,116.89,285597,2025-06-27
BBL,EQ,3150.0,3053.6,3065.2,3094.3,44151,2025-06-27
BDL,EQ,1907.0,1827.3,1890.1,1827.3,3184051,2025-06-27
BEL,EQ,416.8,409.5,414.5,410.1,41398277,2025-06-27
