TckrSymb,SctySrs,TradDt
20MICRONS, EQ,2025-11-05
21STCENMGM, EQ,2025-11-05
360ONE, EQ,2025-11-05
3IINFOLTD, EQ,2025-11-05
3MINDIA, EQ,2025-11-05
3PLAND, EQ,2025-11-05
5PAISA, EQ,2025-11-05
63MOONS, EQ,2025-11-05
A2ZINFRA, EQ,2025-11-05
AADHARHFC, EQ,2025-11-05
AAKASH, EQ,2025-11-05
AARON, EQ,2025-11-05
AARTECH, EQ,2025-11-05
AARTIDRUGS, EQ,2025-11-05
AARTIIND, EQ,2025-11-05
AARTIPHARM, EQ,2025-11-05
AARTISURF, EQ,2025-11-05
AARVI, EQ,2025-11-05
AAVAS, EQ,2025-11-05
ABB, EQ,2025-11-05
ABBOTINDIA, EQ,2025-11-05
ABCAPITAL, EQ,2025-11-05
ABCOTS, EQ,2025-11-05
ABDL, EQ,2025-11-05
ABFRL, EQ,2025-11-05
ABGSEC, EQ,2025-11-05
ABINFRA, EQ,2025-11-05
ABLBL, EQ,2025-11-05
ABREL, EQ,2025-11-05
ABSLAMC, EQ,2025-11-05
ABSLBANETF, EQ,2025-11-05
ABSLLIQUID, EQ,2025-11-05
ABSLNN50ET, EQ,2025-11-05
ABSLPSE, EQ,2025-11-05
ACC, EQ,2025-11-05
ACCELYA, EQ,2025-11-05
ACCURACY, EQ,2025-11-05
ACE, EQ,2025-11-05
ACEINTEG, EQ,2025-11-05
ACI, EQ,2025-11-05
ACLGATI, EQ,2025-11-05
ACMESOLAR, EQ,2025-11-05
ACUTAAS, EQ,2025-11-05
ADANIENSOL, EQ,2025-11-05
ADANIENT, EQ,2025-11-05
ADANIGREEN, EQ,2025-11-05
ADANIPORTS, EQ,2025-11-05
ADANIPOWER, EQ,2025-11-05
ADFFOODS, EQ,2025-11-05
ADL, EQ,2025-11-05
ADOR, EQ,2025-11-05
ADROITINFO, EQ,2025-11-05
ADSL, EQ,2025-11-05
ADVANCE, EQ,2025-11-05
ADVANIHOTR, EQ,2025-11-05
ADVENZYMES, EQ,2025-11-05
AEGISLOG, EQ,2025-11-05
AEGISVOPAK, EQ,2025-11-05
AEROENTER, EQ,2025-11-05
AEROFLEX, EQ,2025-11-05
AERONEU, EQ,2025-11-05
AETHER, EQ,2025-11-05
AFCONS, EQ,2025-11-05
AFFLE, EQ,2025-11-05
AFFORDABLE, EQ,2025-11-05
AFIL, EQ,2025-11-05
AFSL, EQ,2025-11-05
AGARIND, EQ,2025-11-05
AGARWALEYE, EQ,2025-11-05
AGI, EQ,2025-11-05
AGIIL, EQ,2025-11-05
AGRITECH, EQ,2025-11-05
AHLADA, EQ,2025-11-05
AHLEAST, EQ,2025-11-05
AHLUCONT, EQ,2025-11-05
AIAENG, EQ,2025-11-05
AIIL, EQ,2025-11-05
AIRAN, EQ,2025-11-05
AIROLAM, EQ,2025-11-05
AJANTPHARM, EQ,2025-11-05
AJAXENGG, EQ,2025-11-05
AJMERA, EQ,2025-11-05
AJOONI, EQ,2025-11-05
AKASH, EQ,2025-11-05
AKG, EQ,2025-11-05
AKI, EQ,2025-11-05
AKSHARCHEM, EQ,2025-11-05
AKSHOPTFBR, EQ,2025-11-05
AKUMS, EQ,2025-11-05
AKZOINDIA, EQ,2025-11-05
ALANKIT, EQ,2025-11-05
ALBERTDAVD, EQ,2025-11-05
ALEMBICLTD, EQ,2025-11-05
ALICON, EQ,2025-11-05
ALIVUS, EQ,2025-11-05
ALKALI, EQ,2025-11-05
ALKEM, EQ,2025-11-05
ALKYLAMINE, EQ,2025-11-05
ALLCARGO, EQ,2025-11-05
ALLDIGI, EQ,2025-11-05
ALLTIME, EQ,2025-11-05
ALMONDZ, EQ,2025-11-05
ALOKINDS, EQ,2025-11-05
ALPA, EQ,2025-11-05
ALPHA, EQ,2025-11-05
ALPHAETF, EQ,2025-11-05
ALPHAGEO, EQ,2025-11-05
ALPL30IETF, EQ,2025-11-05
AMANTA, EQ,2025-11-05
AMBER, EQ,2025-11-05
AMBICAAGAR, EQ,2025-11-05
AMBIKCO, EQ,2025-11-05
AMBUJACEM, EQ,2025-11-05
AMDIND, EQ,2025-11-05
AMJLAND, EQ,2025-11-05
AMNPLST, EQ,2025-11-05
AMRUTANJAN, EQ,2025-11-05
ANANDRATHI, EQ,2025-11-05
ANANTRAJ, EQ,2025-11-05
ANDHRAPAP, EQ,2025-11-05
ANDHRSUGAR, EQ,2025-11-05
ANGELONE, EQ,2025-11-05
ANIKINDS, EQ,2025-11-05
ANMOL, EQ,2025-11-05
ANTELOPUS, EQ,2025-11-05
ANTGRAPHIC, EQ,2025-11-05
ANTHEM, EQ,2025-11-05
ANUHPHR, EQ,2025-11-05
ANUP, EQ,2025-11-05
ANURAS, EQ,2025-11-05
AONEGOLD, EQ,2025-11-05
AONELIQUID, EQ,2025-11-05
AONENIFTY, EQ,2025-11-05
AONETOTAL, EQ,2025-11-05
APARINDS, EQ,2025-11-05
APCL, EQ,2025-11-05
APCOTEXIND, EQ,2025-11-05
APEX, EQ,2025-11-05
APLAPOLLO, EQ,2025-11-05
APLLTD, EQ,2025-11-05
APOLLO, EQ,2025-11-05
APOLLOHOSP, EQ,2025-11-05
APOLLOPIPE, EQ,2025-11-05
APOLLOTYRE, EQ,2025-11-05
APOLSINHOT, EQ,2025-11-05
APTECHT, EQ,2025-11-05
APTUS, EQ,2025-11-05
ARCHIDPLY, EQ,2025-11-05
ARCHIES, EQ,2025-11-05
ARE&M, EQ,2025-11-05
ARENTERP, EQ,2025-11-05
ARIES, EQ,2025-11-05
ARIHANTCAP, EQ,2025-11-05
ARIHANTSUP, EQ,2025-11-05
ARISINFRA, EQ,2025-11-05
ARKADE, EQ,2025-11-05
