TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,196.64,193.58,194.53,192.33,56691,2025-12-22
21STCENMGM,EQ,49.71,49.7,49.71,48.74,6330,2025-12-22
360ONE,EQ,1170.1,1120.0,1165.5,1138.9,332048,2025-12-22
GOLD360,EQ,134.8,129.5,131.65,128.95,416450,2025-12-22
SILVER360,EQ,206.03,199.1,204.8,197.5,282897,2025-12-22
3IINFOLTD,EQ,17.62,16.2,17.09,16.2,628371,2025-12-22
3MINDIA,EQ,35690.0,35075.0,35435.0,34875.0,2391,2025-12-22
3PLAND,EQ,39.4,37.21,38.0,38.13,5156,2025-12-22
5PAISA,EQ,325.0,309.85,317.75,310.8,84446,2025-12-22
63MOONS,EQ,767.7,750.8,760.45,749.6,69604,2025-12-22
ABCOTS,EQ,414.3,405.1,409.85,412.35,9750,2025-12-22
ABINFRA,EQ,19.3,18.11,18.28,18.6,182644,2025-12-22
A2ZINFRA,EQ,15.3,14.0,15.0,14.01,117910,2025-12-22
AADHARHFC,EQ,492.1,480.55,488.55,488.0,409305,2025-12-22
AAKASH,EQ,9.0,8.51,8.84,8.77,89932,2025-12-22
AAREYDRUGS,EQ,71.93,69.62,71.84,68.51,479354,2025-12-22
AARON,EQ,184.0,179.8,181.83,177.21,9764,2025-12-22
AARTECH,EQ,48.73,47.57,47.9,47.57,22253,2025-12-22
AARTIDRUGS,EQ,392.8,381.5,385.15,381.55,237718,2025-12-22
AARTIIND,EQ,376.45,369.0,374.95,369.8,438482,2025-12-22
AARTIPHARM,EQ,784.0,736.1,779.35,747.1,313470,2025-12-22
AARTISURF,EQ,410.0,397.0,398.5,405.55,12842,2025-12-22
AARVI,EQ,137.59,124.31,128.52,124.14,64152,2025-12-22
AAVAS,EQ,1473.0,1450.8,1457.8,1458.2,181629,2025-12-22
AFSL,EQ,204.73,201.0,201.54,202.28,7118,2025-12-22
ABB,EQ,5233.0,5170.0,5181.0,5177.0,67499,2025-12-22
ABBOTINDIA,EQ,28195.0,27775.0,28010.0,28035.0,4844,2025-12-22
ABMINTLLTD,EQ,44.99,40.02,40.93,41.78,770,2025-12-22
ACC,EQ,1789.6,1760.0,1782.5,1751.5,131493,2025-12-22
ACCELYA,EQ,1333.0,1317.8,1330.1,1314.9,63045,2025-12-22
ACCURACY,EQ,5.74,5.6,5.64,5.69,76299,2025-12-22
ACEINTEG,EQ,22.3,21.02,21.42,21.73,2980,2025-12-22
ACMESOLAR,EQ,235.86,229.66,234.59,232.71,984663,2025-12-22
ACE,EQ,958.9,929.6,954.95,927.5,166122,2025-12-22
ACUTAAS,EQ,1691.0,1645.7,1683.0,1648.5,195775,2025-12-22
ADANIENSOL,EQ,1010.0,984.8,1007.9,988.25,487354,2025-12-22
ADANIENT,EQ,2274.0,2245.9,2263.5,2239.0,599195,2025-12-22
ADANIGREEN,EQ,1028.8,1018.3,1020.8,1020.9,954953,2025-12-22
ADANIPORTS,EQ,1515.0,1497.5,1508.7,1496.4,1116833,2025-12-22
ADANIPOWER,EQ,143.7,141.77,143.25,141.76,9612058,2025-12-22
ATGL,EQ,573.7,567.5,568.7,568.75,506616,2025-12-22
ADFFOODS,EQ,217.0,210.24,211.31,209.89,64088,2025-12-22
ABSLAMC,EQ,768.95,756.1,762.3,760.7,784566,2025-12-22
ABCAPITAL,EQ,352.7,344.1,346.1,348.7,4340353,2025-12-22
ABFRL,EQ,77.95,76.29,77.45,76.82,2991222,2025-12-22
ABLBL,EQ,120.16,115.3,119.93,116.41,4157795,2025-12-22
BIRLAMONEY,EQ,148.54,146.0,146.71,145.85,18365,2025-12-22
ABREL,EQ,1756.0,1742.0,1744.0,1738.7,43567,2025-12-22
CPPLUS,EQ,1607.9,1564.9,1598.7,1559.4,142448,2025-12-22
AVL,EQ,498.95,482.05,496.4,486.3,102161,2025-12-22
BSLGOLDETF,EQ,118.9,117.32,118.27,116.74,418106,2025-12-22
BSLNIFTY,EQ,30.94,30.17,30.41,30.19,293325,2025-12-22
ADOR,EQ,1051.9,1023.0,1041.7,1029.4,16223,2025-12-22
ADROITINFO,EQ,10.6,9.11,10.37,9.95,121974,2025-12-22
ADVANCE,EQ,118.45,113.75,114.96,116.72,147056,2025-12-22
ADVENZYMES,EQ,310.7,306.6,308.25,308.65,36132,2025-12-22
ADVANIHOTR,EQ,57.8,55.6,57.53,57.15,40811,2025-12-22
ADVENTHTL,EQ,243.0,230.78,240.79,228.67,361681,2025-12-22
AEGISLOG,EQ,742.0,730.7,736.95,736.25,152700,2025-12-22
AEGISVOPAK,EQ,264.0,255.05,256.0,261.15,293871,2025-12-22
AEQUS,EQ,153.85,140.59,144.64,150.93,15736152,2025-12-22
AEROENTER,EQ,86.55,81.7,85.97,84.11,487802,2025-12-22
AEROFLEX,EQ,200.0,191.98,197.28,193.69,3408358,2025-12-22
AERONEU,EQ,79.0,74.89,76.63,74.89,20505,2025-12-22
AETHER,EQ,871.0,833.65,862.4,838.05,249722,2025-12-22
AFCONS,EQ,388.0,379.8,380.2,379.85,675422,2025-12-22
AFFLE,EQ,1740.0,1697.5,1712.2,1719.0,145870,2025-12-22
AFFORDABLE,EQ,220.99,198.68,208.31,196.09,157407,2025-12-22
AGARIND,EQ,720.0,704.9,707.0,710.05,12450,2025-12-22
AGI,EQ,734.3,719.7,732.1,721.65,53783,2025-12-22
AGIIL,EQ,274.15,263.3,263.85,264.15,216757,2025-12-22
AGROPHOS,EQ,40.4,38.62,39.26,38.51,35576,2025-12-22
AHLADA,EQ,50.5,49.06,49.86,49.03,4837,2025-12-22
AHLUCONT,EQ,1006.0,987.15,994.05,975.15,71883,2025-12-22
AIAENG,EQ,3960.0,3792.0,3919.9,3803.9,76902,2025-12-22
GOLDTECH,EQ,52.46,50.0,51.23,50.4,16812,2025-12-22
AIRAN,EQ,18.79,17.8,18.39,17.79,98493,2025-12-22
AIROLAM,EQ,105.3,102.0,102.23,103.5,5433,2025-12-22
AJANTPHARM,EQ,2710.4,2622.2,2700.8,2632.6,154656,2025-12-22
AJAXENGG,EQ,615.5,597.0,598.45,594.55,71399,2025-12-22
AJMERA,EQ,994.0,919.8,978.2,918.8,88016,2025-12-22
AJOONI,EQ,4.35,4.26,4.33,4.24,297303,2025-12-22
AKASH,EQ,26.49,25.5,25.88,25.47,9037,2025-12-22
AKG,EQ,12.7,12.3,12.31,12.31,11394,2025-12-22
AKI,EQ,7.1,6.98,7.08,7.06,32371,2025-12-22
AFIL,EQ,7.0,6.82,6.87,6.81,839752,2025-12-22
AKSHOPTFBR,EQ,6.76,6.48,6.54,6.62,276264,2025-12-22
AKSHAR,EQ,0.54,0.52,0.52,0.53,1268949,2025-12-22
AKSHARCHEM,EQ,255.0,248.55,253.25,249.45,1646,2025-12-22
AKUMS,EQ,446.95,431.55,443.15,427.2,311652,2025-12-22
AKZOINDIA,EQ,3165.4,3131.1,3150.4,3149.4,70202,2025-12-22
ALANKIT,EQ,10.9,10.63,10.71,10.74,161593,2025-12-22
ALBERTDAVD,EQ,753.95,748.0,751.15,743.55,1052,2025-12-22
ALEMBICLTD,EQ,102.0,100.48,101.28,99.88,186226,2025-12-22
APLLTD,EQ,861.95,850.0,853.75,859.9,45031,2025-12-22
ALICON,EQ,853.05,830.2,841.05,830.2,7248,2025-12-22
ALIVUS,EQ,922.0,897.0,912.35,900.65,48452,2025-12-22
ALKALI,EQ,78.99,77.5,78.12,77.67,6758,2025-12-22
ALKEM,EQ,5654.5,5555.5,5624.0,5555.5,82271,2025-12-22
ALKYLAMINE,EQ,1627.8,1602.0,1610.3,1608.7,21204,2025-12-22
ALLTIME,EQ,271.15,261.7,270.45,263.5,65552,2025-12-22
ALLCARGO,EQ,11.23,10.73,10.81,10.87,6197223,2025-12-22
ATL,EQ,27.65,26.85,27.36,26.41,352304,2025-12-22
ALLDIGI,EQ,844.8,821.65,828.95,831.55,2899,2025-12-22
ABDL,EQ,630.0,617.65,627.35,623.25,171361,2025-12-22
ADSL,EQ,159.9,154.0,157.6,153.76,190364,2025-12-22
ALMONDZ,EQ,16.77,16.2,16.55,16.12,59051,2025-12-22
ALOKINDS,EQ,16.28,16.0,16.04,16.04,2644700,2025-12-22
ALPA,EQ,77.88,75.0,77.49,76.95,19368,2025-12-22
ALPHAGEO,EQ,221.0,217.81,219.11,218.04,5075,2025-12-22
AMANTA,EQ,113.5,110.44,112.74,111.68,39642,2025-12-22
ARE&M,EQ,933.85,925.0,927.45,925.55,120577,2025-12-22
AMBER,EQ,6748.0,6686.0,6709.0,6681.0,86930,2025-12-22
AMBICAAGAR,EQ,25.64,25.0,25.31,25.33,888,2025-12-22
AMBIKCO,EQ,1280.5,1257.0,1261.4,1268.2,3272,2025-12-22
AMBUJACEM,EQ,545.2,538.65,539.95,539.65,872083,2025-12-22
AMDIND,EQ,50.17,47.31,49.13,48.63,10982,2025-12-22
AMNPLST,EQ,211.43,202.85,205.64,202.06,7417,2025-12-22
AMJLAND,EQ,52.5,50.97,52.05,50.97,11421,2025-12-22
AMRUTANJAN,EQ,692.4,668.6,678.4,683.95,22690,2025-12-22
ARSSBL,EQ,644.95,591.4,634.7,590.1,1859039,2025-12-22
ANANDRATHI,EQ,3022.9,2972.6,2998.7,3003.2,219418,2025-12-22
ANANTRAJ,EQ,564.0,550.4,561.3,551.6,1536309,2025-12-22
ACL,EQ,68.89,66.0,67.64,67.45,29708,2025-12-22
ANDHRAPAP,EQ,68.62,67.53,67.95,67.81,62783,2025-12-22
ANDHRSUGAR,EQ,76.94,74.36,76.04,74.6,152172,2025-12-22
ANGELONE,EQ,2592.4,2514.8,2581.6,2518.1,520494,2025-12-22
ANIKINDS,EQ,57.8,51.2,52.08,54.11,73303,2025-12-22
APCL,EQ,121.09,118.21,120.23,119.2,1086,2025-12-22
ANMOL,EQ,14.1,13.41,13.54,13.83,95839,2025-12-22
ANTGRAPHIC,EQ,1.1,0.98,0.98,0.99,245097,2025-12-22
ANTELOPUS,EQ,433.35,412.25,430.0,411.1,79226,2025-12-22
ANTHEM,EQ,687.4,674.25,681.45,678.95,117178,2025-12-22
AWHCL,EQ,512.9,493.0,497.05,515.9,673235,2025-12-22
ANUHPHR,EQ,79.47,77.4,78.08,78.35,24317,2025-12-22
ANURAS,EQ,1346.0,1307.2,1341.8,1333.4,415666,2025-12-22
AONEGOLD,EQ,12.58,12.41,12.55,12.36,981849,2025-12-22
AONELIQUID,EQ,1039.54,1039.52,1039.53,1039.39,18237,2025-12-22
AONENIFTY,EQ,10.9,10.61,10.7,10.63,157416,2025-12-22
AONETMMQ50,EQ,10.07,9.7,9.81,9.71,65373,2025-12-22
AONETOTAL,EQ,12.25,11.53,12.06,11.89,394366,2025-12-22
APARINDS,EQ,9095.0,8816.0,8870.5,8757.5,52661,2025-12-22
APCOTEXIND,EQ,389.0,371.0,383.45,373.45,18983,2025-12-22
APEX,EQ,290.8,283.15,286.05,286.9,228331,2025-12-22
APLAPOLLO,EQ,1875.0,1818.0,1863.3,1820.1,487098,2025-12-22
APOLLOHOSP,EQ,7104.0,7013.0,7054.0,7012.5,358776,2025-12-22
APOLLO,EQ,249.8,238.0,249.8,237.95,2440065,2025-12-22
APOLLOPIPE,EQ,306.9,298.0,300.35,306.9,49038,2025-12-22
APOLSINHOT,EQ,1248.0,1225.1,1229.0,1226.3,326,2025-12-22
APOLLOTYRE,EQ,512.45,503.55,509.75,507.05,379016,2025-12-22
APTECHT,EQ,103.49,95.01,95.82,94.97,1272732,2025-12-22
APTUS,EQ,284.8,281.7,282.3,283.55,394204,2025-12-22
ACI,EQ,523.85,508.1,518.4,511.25,123708,2025-12-22
ADL,EQ,90.9,77.9,82.22,76.01,136890,2025-12-22
ARCHIDPLY,EQ,93.39,90.1,90.58,91.52,13764,2025-12-22
ARCHIES,EQ,19.09,18.4,18.48,18.81,43844,2025-12-22
ARFIN,EQ,65.9,64.21,65.04,64.17,206165,2025-12-22
ARIES,EQ,323.75,316.2,322.3,316.1,12203,2025-12-22
ARIHANTCAP,EQ,95.85,92.73,94.71,92.46,172701,2025-12-22
ARIHANTSUP,EQ,309.0,304.5,305.25,305.8,23076,2025-12-22
ARISINFRA,EQ,135.64,130.9,134.57,130.51,355414,2025-12-22
ARKADE,EQ,142.29,138.64,140.67,137.93,414520,2025-12-22
ARMANFIN,EQ,1494.3,1455.0,1459.7,1481.0,25696,2025-12-22
AROGRANITE,EQ,31.75,29.7,31.52,30.29,17090,2025-12-22
ARROWGREEN,EQ,535.05,506.35,514.4,524.9,49116,2025-12-22
ARTNIRMAN,EQ,48.98,45.51,47.23,47.05,2000,2025-12-22
ARTEMISMED,EQ,276.75,270.6,271.15,276.25,120800,2025-12-22
