TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,163.87,159.05,162.37,159.38,97771,2026-04-10
21STCENMGM,EQ,30.34,29.75,30.34,29.75,5053,2026-04-10
360ONE,EQ,1022.0,992.65,1012.65,998.1,1139241,2026-04-10
GOLD360,EQ,146.45,145.0,145.45,144.9,23822,2026-04-10
SILVER360,EQ,236.5,231.62,232.55,231.13,34273,2026-04-10
3IINFOLTD,EQ,15.86,15.36,15.69,15.37,372688,2026-04-10
3MINDIA,EQ,31705.0,31210.0,31475.0,31050.0,3579,2026-04-10
3PLAND,EQ,35.55,34.1,35.35,35.05,3905,2026-04-10
5PAISA,EQ,306.99,301.15,305.11,300.5,36337,2026-04-10
63MOONS,EQ,567.8,545.25,549.7,550.95,153639,2026-04-10
ABCOTS,EQ,406.95,399.6,405.8,400.65,15842,2026-04-10
ABINFRA,EQ,16.74,16.0,16.2,16.43,728016,2026-04-10
AAATECH,EQ,99.96,95.9,98.02,98.34,16655,2026-04-10
AADHARHFC,EQ,480.95,470.1,478.6,472.0,561142,2026-04-10
AAREYDRUGS,EQ,68.52,65.66,68.21,65.26,96948,2026-04-10
AARNAV,EQ,23.77,22.99,23.19,23.17,23046,2026-04-10
AARON,EQ,147.89,142.0,143.62,144.02,9852,2026-04-10
AARTECH,EQ,45.0,35.7,41.13,43.52,612889,2026-04-10
AARTIDRUGS,EQ,363.0,353.0,355.1,357.65,240989,2026-04-10
AARTIIND,EQ,432.0,422.25,423.75,421.55,723908,2026-04-10
AARTIPHARM,EQ,704.0,681.0,689.05,680.95,108049,2026-04-10
AARTISURF,EQ,416.95,397.55,404.1,401.2,15996,2026-04-10
AARVI,EQ,134.25,127.51,131.4,128.86,22042,2026-04-10
AAVAS,EQ,1247.0,1224.1,1243.8,1220.5,285659,2026-04-10
AFSL,EQ,202.08,201.0,201.1,201.07,16070,2026-04-10
ABB,EQ,6905.5,6612.5,6859.5,6614.0,798909,2026-04-10
ABBOTINDIA,EQ,25970.0,25620.0,25780.0,25780.0,9771,2026-04-10
ACC,EQ,1430.0,1395.6,1424.6,1391.9,186253,2026-04-10
ACCELYA,EQ,1155.0,1132.3,1139.8,1136.5,12721,2026-04-10
ACCURACY,EQ,5.8,5.2,5.35,5.37,415196,2026-04-10
ACEINTEG,EQ,19.0,17.21,17.61,17.99,5018,2026-04-10
ACMESOLAR,EQ,276.2,266.7,268.65,273.1,864642,2026-04-10
ACE,EQ,913.0,865.85,909.35,865.85,1521321,2026-04-10
ACUTAAS,EQ,2394.0,2313.1,2362.2,2322.1,296389,2026-04-10
ADANIENSOL,EQ,1160.4,1079.3,1157.9,1078.75,7933292,2026-04-10
ADANIENT,EQ,2094.6,2041.7,2086.8,2040.5,1700162,2026-04-10
ADANIGREEN,EQ,1087.75,1040.5,1085.35,1044.55,7332980,2026-04-10
ADANIPORTS,EQ,1478.1,1438.3,1475.3,1447.4,4026881,2026-04-10
ADANIPOWER,EQ,178.1,172.11,175.81,172.33,51959590,2026-04-10
ATGL,EQ,585.6,551.4,581.05,549.9,7676199,2026-04-10
ADFFOODS,EQ,195.72,184.5,192.07,184.27,126461,2026-04-10
ABSLAMC,EQ,1010.85,958.95,997.85,967.75,663943,2026-04-10
ABCAPITAL,EQ,342.95,336.6,341.9,334.55,4807226,2026-04-10
ABFRL,EQ,61.39,58.7,60.33,58.43,12985011,2026-04-10
ABLBL,EQ,102.49,99.79,101.16,99.62,408109,2026-04-10
BIRLAMONEY,EQ,133.0,124.52,131.76,126.68,67251,2026-04-10
ABREL,EQ,1397.0,1290.1,1361.1,1289.4,1096732,2026-04-10
CPPLUS,EQ,1912.1,1874.6,1894.4,1903.8,83542,2026-04-10
AVL,EQ,488.85,473.05,481.05,475.9,394555,2026-04-10
BSLGOLDETF,EQ,132.24,130.33,131.36,131.01,370465,2026-04-10
BSLNIFTY,EQ,28.0,27.4,27.97,27.72,509587,2026-04-10
ADOR,EQ,923.95,878.0,893.15,874.5,41246,2026-04-10
ADROITINFO,EQ,10.4,9.68,9.87,9.88,46742,2026-04-10
ADVAIT,EQ,1888.0,1836.0,1867.0,1809.1,48680,2026-04-10
ADVANCE,EQ,108.85,101.25,107.41,100.45,537266,2026-04-10
ADVENZYMES,EQ,303.0,291.85,297.6,291.85,180280,2026-04-10
ADVANIHOTR,EQ,54.54,52.01,53.27,52.17,36770,2026-04-10
ADVENTHTL,EQ,157.5,152.0,155.09,152.19,149819,2026-04-10
AEGISLOG,EQ,656.5,611.65,632.45,605.6,3725391,2026-04-10
AEGISVOPAK,EQ,197.0,188.64,189.99,187.32,1014095,2026-04-10
AEQUS,EQ,149.97,125.12,143.97,124.98,9175827,2026-04-10
AEROENTER,EQ,85.65,81.4,84.67,81.29,496911,2026-04-10
AEROFLEX,EQ,296.0,275.14,288.99,274.46,4519434,2026-04-10
AERONEU,EQ,81.6,78.99,81.1,79.2,43352,2026-04-10
AETHER,EQ,1198.1,1139.3,1190.2,1133.8,398643,2026-04-10
AFCONS,EQ,327.3,310.85,324.9,310.65,525721,2026-04-10
AFFLE,EQ,1419.0,1395.7,1401.6,1396.0,246048,2026-04-10
AFFORDABLE,EQ,176.5,165.54,171.19,168.06,66044,2026-04-10
AGARIND,EQ,417.0,399.9,402.15,400.35,118481,2026-04-10
AGI,EQ,554.9,521.65,547.7,519.1,248056,2026-04-10
AGIIL,EQ,386.7,359.1,362.05,361.7,6218145,2026-04-10
AGRITECH,EQ,125.0,118.99,122.26,116.09,17416,2026-04-10
AGROPHOS,EQ,33.88,33.01,33.6,33.28,17049,2026-04-10
AHLADA,EQ,45.0,43.01,44.84,43.89,16298,2026-04-10
AHLUCONT,EQ,788.0,760.3,782.75,763.0,36965,2026-04-10
AIAENG,EQ,3792.0,3645.2,3773.3,3631.8,73271,2026-04-10
GOLDTECH,EQ,41.6,40.1,40.75,39.71,26573,2026-04-10
AIRAN,EQ,18.0,16.15,17.53,16.58,141760,2026-04-10
AIROLAM,EQ,84.0,82.3,83.12,82.78,1356,2026-04-10
AJANTPHARM,EQ,2835.0,2750.0,2806.0,2751.0,55685,2026-04-10
AJAXENGG,EQ,476.0,467.05,470.45,465.4,34106,2026-04-10
