TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,217.15,208.06,209.16,214.3,95150,2026-01-05
21STCENMGM,EQ,50.37,48.41,49.37,49.39,17124,2026-01-05
360ONE,EQ,1221.0,1191.7,1199.0,1200.1,458955,2026-01-05
GOLD360,EQ,133.45,131.5,133.15,131.5,51473,2026-01-05
SILVER360,EQ,230.98,227.25,230.26,227.05,73306,2026-01-05
3IINFOLTD,EQ,16.99,16.5,16.66,16.9,261316,2026-01-05
3MINDIA,EQ,36725.0,36200.0,36385.0,36170.0,3130,2026-01-05
3PLAND,EQ,38.5,36.81,37.17,37.69,2653,2026-01-05
5PAISA,EQ,380.55,361.55,375.6,367.8,285089,2026-01-05
63MOONS,EQ,729.5,714.2,720.1,725.75,69379,2026-01-05
ABCOTS,EQ,412.1,408.4,410.0,412.2,9875,2026-01-05
ABINFRA,EQ,19.32,18.4,18.72,18.71,227943,2026-01-05
A2ZINFRA,EQ,16.0,14.76,14.89,15.53,291865,2026-01-05
AADHARHFC,EQ,507.35,496.8,503.25,500.55,295630,2026-01-05
AAKASH,EQ,9.0,8.63,8.65,8.76,39382,2026-01-05
AAREYDRUGS,EQ,68.3,65.58,67.62,66.34,366773,2026-01-05
AARON,EQ,179.45,173.2,175.32,176.5,17389,2026-01-05
AARTECH,EQ,55.0,48.15,53.9,48.98,211870,2026-01-05
AARTIDRUGS,EQ,412.0,403.55,404.95,410.95,87551,2026-01-05
AARTIIND,EQ,379.7,371.15,372.7,376.95,318296,2026-01-05
AARTIPHARM,EQ,747.5,724.4,730.65,742.1,112162,2026-01-05
AARTISURF,EQ,394.3,387.0,388.25,387.55,6189,2026-01-05
AARVI,EQ,129.58,127.83,127.94,128.69,5222,2026-01-05
AAVAS,EQ,1448.0,1433.1,1439.9,1443.4,97274,2026-01-05
AFSL,EQ,203.99,201.13,202.01,202.42,10220,2026-01-05
ABB,EQ,5249.5,5131.0,5168.5,5205.5,101498,2026-01-05
ABBOTINDIA,EQ,28250.0,28030.0,28155.0,28125.0,3129,2026-01-05
ABMINTLLTD,EQ,42.29,40.05,40.18,42.0,1979,2026-01-05
ACC,EQ,1778.9,1750.2,1771.6,1748.8,221151,2026-01-05
ACCELYA,EQ,1317.0,1301.2,1311.9,1309.2,6903,2026-01-05
ACCURACY,EQ,5.98,5.6,5.71,5.8,75697,2026-01-05
ACEINTEG,EQ,23.25,22.0,22.16,22.74,2760,2026-01-05
ACMESOLAR,EQ,241.95,236.7,238.63,240.47,409205,2026-01-05
ACE,EQ,981.4,951.0,952.45,976.8,171909,2026-01-05
ACUTAAS,EQ,1794.0,1732.5,1769.6,1749.3,229463,2026-01-05
ADANIENSOL,EQ,1057.7,1040.0,1044.9,1057.9,783498,2026-01-05
ADANIENT,EQ,2303.9,2274.3,2279.5,2279.8,696380,2026-01-05
ADANIGREEN,EQ,1044.7,1027.7,1030.5,1038.8,1020610,2026-01-05
ADANIPORTS,EQ,1496.8,1479.1,1493.0,1489.5,790039,2026-01-05
ADANIPOWER,EQ,148.4,144.46,146.2,148.17,15844789,2026-01-05
ATGL,EQ,587.6,575.75,577.05,587.6,562506,2026-01-05
ADFFOODS,EQ,206.16,202.8,204.06,204.09,140394,2026-01-05
ABSLAMC,EQ,857.1,833.6,853.65,833.6,440901,2026-01-05
ABCAPITAL,EQ,366.5,360.05,363.3,361.25,2663037,2026-01-05
ABFRL,EQ,77.93,76.77,77.04,78.16,1677318,2026-01-05
ABLBL,EQ,125.16,123.41,123.55,125.18,516275,2026-01-05
BIRLAMONEY,EQ,145.97,142.52,143.97,144.65,26549,2026-01-05
ABREL,EQ,1708.6,1665.4,1702.8,1664.2,90289,2026-01-05
CPPLUS,EQ,1508.9,1456.0,1465.0,1501.4,50438,2026-01-05
AVL,EQ,495.5,474.5,490.65,483.55,194379,2026-01-05
BSLGOLDETF,EQ,120.5,118.91,119.84,118.84,894085,2026-01-05
BSLNIFTY,EQ,31.45,29.83,30.51,30.6,334035,2026-01-05
ADOR,EQ,1042.3,1025.0,1028.1,1037.7,6813,2026-01-05
ADROITINFO,EQ,10.3,10.05,10.09,10.13,56004,2026-01-05
ADVANCE,EQ,135.4,113.99,131.18,121.26,6128630,2026-01-05
ADVENZYMES,EQ,308.0,301.4,303.3,302.15,72264,2026-01-05
ADVANIHOTR,EQ,58.8,57.0,57.04,58.08,47107,2026-01-05
ADVENTHTL,EQ,247.31,233.12,242.56,235.53,241321,2026-01-05
AEGISLOG,EQ,768.45,720.0,732.05,726.15,1642987,2026-01-05
AEGISVOPAK,EQ,251.31,241.85,243.57,248.82,350290,2026-01-05
AEQUS,EQ,145.8,136.8,141.0,137.37,3715330,2026-01-05
AEROENTER,EQ,90.32,85.96,86.76,87.91,316931,2026-01-05
AEROFLEX,EQ,204.83,196.31,200.22,197.57,933115,2026-01-05
AERONEU,EQ,75.99,74.06,74.91,74.95,23245,2026-01-05
