TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,231.0,225.86,226.58,227.37,76601,2025-09-12
21STCENMGM,EQ,53.9,52.26,53.85,53.29,3051,2025-09-12
360ONE,EQ,1071.0,1048.2,1068.8,1057.1,343905,2025-09-12
GOLD360,EQ,111.8,87.85,107.9,107.4,23275,2025-09-12
SILVER360,EQ,128.4,124.26,126.96,123.5,9752,2025-09-12
3IINFOLTD,EQ,25.19,24.19,24.59,24.16,472391,2025-09-12
3MINDIA,EQ,31070.0,30630.0,30715.0,30970.0,2204,2025-09-12
3PLAND,EQ,47.31,44.0,44.66,45.75,4793,2025-09-12
5PAISA,EQ,373.0,365.5,369.95,367.9,10147,2025-09-12
63MOONS,EQ,950.1,929.85,941.6,934.45,106881,2025-09-12
ABINFRA,EQ,199.0,189.0,190.11,198.03,149058,2025-09-12
AAATECH,EQ,80.99,79.39,79.57,80.24,12157,2025-09-12
AADHARHFC,EQ,509.5,497.15,506.65,505.55,561094,2025-09-12
AARON,EQ,203.63,199.55,200.61,199.57,23771,2025-09-12
AARTECH,EQ,57.7,55.13,55.65,56.79,44639,2025-09-12
AARTIDRUGS,EQ,515.0,505.8,509.65,511.35,129448,2025-09-12
AARTIIND,EQ,400.1,388.05,389.4,391.75,801682,2025-09-12
AARTIPHARM,EQ,927.8,905.4,926.35,912.45,170096,2025-09-12
AARTISURF,EQ,499.0,475.0,478.5,486.4,5053,2025-09-12
AARVI,EQ,126.09,120.05,122.56,124.3,16385,2025-09-12
AAVAS,EQ,1648.0,1602.4,1633.3,1619.8,106282,2025-09-12
AFSL,EQ,218.5,213.73,214.45,215.79,12192,2025-09-12
ABB,EQ,5265.0,5201.0,5248.6,5218.1,196396,2025-09-12
ABBOTINDIA,EQ,31230.0,30815.0,30980.0,30975.0,6485,2025-09-12
ACC,EQ,1858.0,1847.0,1850.4,1844.3,152433,2025-09-12
ACCELYA,EQ,1426.3,1410.2,1415.8,1418.8,3950,2025-09-12
ACCURACY,EQ,7.2,7.1,7.15,7.11,76545,2025-09-12
ACEINTEG,EQ,26.59,25.01,25.94,26.03,14419,2025-09-12
ACMESOLAR,EQ,321.7,310.0,318.8,312.95,3121163,2025-09-12
ACE,EQ,1131.5,1109.9,1118.9,1112.7,291044,2025-09-12
ACUTAAS,EQ,1481.4,1436.4,1442.1,1472.8,194560,2025-09-12
ADANIENSOL,EQ,831.3,812.6,829.9,813.7,1214068,2025-09-12
ADANIENT,EQ,2421.6,2387.1,2392.0,2398.8,533971,2025-09-12
ADANIGREEN,EQ,986.55,975.45,981.7,976.35,1086098,2025-09-12
ADANIPORTS,EQ,1406.5,1391.1,1393.1,1393.1,1466190,2025-09-12
ADANIPOWER,EQ,650.5,627.8,648.55,624.65,9281587,2025-09-12
ATGL,EQ,611.0,604.2,605.6,606.25,388478,2025-09-12
ADFFOODS,EQ,232.98,228.19,230.25,229.28,42804,2025-09-12
ABSLAMC,EQ,860.45,845.1,847.15,854.9,162574,2025-09-12
ABCAPITAL,EQ,295.0,288.9,291.5,290.0,5183899,2025-09-12
ABFRL,EQ,89.55,86.36,88.38,89.15,8408022,2025-09-12
ABLBL,EQ,147.37,144.66,145.48,144.42,568188,2025-09-12
BIRLAMONEY,EQ,186.05,180.5,181.25,183.75,98983,2025-09-12
ABREL,EQ,1829.9,1781.7,1797.1,1787.7,36664,2025-09-12
CPPLUS,EQ,1462.0,1398.4,1435.0,1398.4,397113,2025-09-12
AVL,EQ,503.0,486.85,494.9,495.55,310349,2025-09-12
BSLGOLDETF,EQ,97.5,96.33,96.9,96.15,719498,2025-09-12
BSLNIFTY,EQ,29.25,28.9,29.15,29.0,99486,2025-09-12
ADOR,EQ,1008.15,975.45,983.25,975.45,8263,2025-09-12
ADROITINFO,EQ,10.75,9.95,10.5,10.5,73084,2025-09-12
ADVENZYMES,EQ,342.2,337.1,338.7,340.3,135973,2025-09-12
ADVANIHOTR,EQ,60.87,60.03,60.22,60.11,28044,2025-09-12
AEGISLOG,EQ,716.55,700.1,702.25,714.85,196886,2025-09-12
AEGISVOPAK,EQ,253.81,246.13,247.09,249.71,357798,2025-09-12
AEROENTER,EQ,87.0,84.0,86.09,86.26,173274,2025-09-12
AEROFLEX,EQ,179.8,175.1,175.9,177.58,406833,2025-09-12
AERONEU,EQ,112.94,104.0,105.29,107.53,19862,2025-09-12
AETHER,EQ,740.45,730.65,733.35,736.0,73534,2025-09-12
AFCONS,EQ,455.9,444.3,448.75,454.5,578210,2025-09-12
AFFLE,EQ,2133.7,2063.8,2075.9,2099.6,543185,2025-09-12
AFFORDABLE,EQ,264.15,240.3,254.2,240.15,287154,2025-09-12
AGARIND,EQ,954.0,926.0,948.2,926.75,38362,2025-09-12
AGI,EQ,860.3,835.2,838.85,852.45,62864,2025-09-12
AGIIL,EQ,1180.4,1160.5,1164.2,1171.6,36233,2025-09-12
AGRITECH,EQ,141.9,138.25,138.49,138.29,3483,2025-09-12
AHLADA,EQ,58.21,56.15,57.39,57.49,15173,2025-09-12
AHLUCONT,EQ,939.75,926.0,931.7,931.6,16244,2025-09-12
AIAENG,EQ,3111.6,3002.0,3087.9,3035.1,90818,2025-09-12
GOLDTECH,EQ,68.89,66.12,67.02,66.64,30695,2025-09-12
AIRAN,EQ,26.45,25.31,25.49,25.91,124555,2025-09-12
AIROLAM,EQ,123.3,106.99,111.68,107.66,57803,2025-09-12
AJANTPHARM,EQ,2599.2,2562.2,2579.1,2572.0,58267,2025-09-12
AJAXENGG,EQ,682.1,649.8,650.95,679.55,267185,2025-09-12
AJMERA,EQ,995.0,975.4,979.75,984.0,28816,2025-09-12
AJOONI,EQ,5.23,5.12,5.15,5.16,296652,2025-09-12
AKASH,EQ,29.5,28.15,28.55,29.01,11477,2025-09-12
AKG,EQ,12.49,12.23,12.29,12.24,17441,2025-09-12
AFIL,EQ,8.0,7.7,7.82,7.88,1542519,2025-09-12
AKSHOPTFBR,EQ,7.97,7.56,7.69,7.83,338354,2025-09-12
AKSHAR,EQ,0.58,0.54,0.56,0.56,4325495,2025-09-12
AKSHARCHEM,EQ,275.45,267.55,271.05,271.9,3024,2025-09-12
AKUMS,EQ,469.4,458.75,462.0,459.65,346685,2025-09-12
AKZOINDIA,EQ,3385.4,3351.1,3366.2,3363.5,13524,2025-09-12
ALANKIT,EQ,14.12,13.83,13.9,13.93,198054,2025-09-12
ALBERTDAVD,EQ,809.9,800.0,803.25,805.2,1527,2025-09-12
ALEMBICLTD,EQ,104.66,102.5,103.16,103.99,256898,2025-09-12
APLLTD,EQ,961.05,935.1,946.5,947.15,132179,2025-09-12
ALICON,EQ,895.1,823.3,871.9,830.9,39993,2025-09-12
ALIVUS,EQ,951.5,935.0,936.9,944.7,33281,2025-09-12
ALKALI,EQ,102.7,89.51,93.64,89.49,186031,2025-09-12
ALKEM,EQ,5459.5,5390.5,5448.0,5393.5,120660,2025-09-12
ALKYLAMINE,EQ,2067.5,2015.7,2030.6,2050.0,19496,2025-09-12
ALLTIME,EQ,281.45,272.25,273.2,278.65,414064,2025-09-12
ACLGATI,EQ,62.5,61.52,61.64,61.81,90991,2025-09-12
ALLCARGO,EQ,31.61,31.14,31.41,31.18,1306397,2025-09-12
ATL,EQ,28.44,27.9,28.16,28.01,91071,2025-09-12
ALLDIGI,EQ,969.7,934.7,942.0,963.6,9255,2025-09-12
ABDL,EQ,548.0,526.0,545.7,529.15,1105587,2025-09-12
ADSL,EQ,167.25,165.0,165.92,165.92,93522,2025-09-12
ALMONDZ,EQ,22.1,20.0,20.31,21.32,552019,2025-09-12
ALOKINDS,EQ,18.86,18.47,18.53,18.76,4437624,2025-09-12
ALPA,EQ,96.7,94.0,95.03,95.43,8775,2025-09-12
