TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,213.0,203.36,211.01,206.27,311441,2026-07-21
21STCENMGM,EQ,35.06,33.8,34.99,34.38,1673,2026-07-21
360ONE,EQ,1134.6,1112.7,1119.7,1126.5,711700,2026-07-21
GOLD360,EQ,139.55,138.45,139.45,138.25,6665,2026-07-21
MSCI360,EQ,10.19,10.08,10.14,10.13,4976,2026-07-21
SILVER360,EQ,218.35,214.92,218.06,213.74,14992,2026-07-21
3BBLACKBIO,EQ,1290.0,1224.0,1272.1,1267.4,11615,2026-07-21
3IINFOLTD,EQ,19.35,18.53,19.12,18.72,787102,2026-07-21
3MINDIA,EQ,35490.0,34865.0,35170.0,35240.0,2543,2026-07-21
3PLAND,EQ,33.0,31.75,32.07,31.71,9108,2026-07-21
5PAISA,EQ,385.0,371.0,377.45,377.8,54585,2026-07-21
63MOONS,EQ,742.9,722.1,734.9,728.6,183450,2026-07-21
ABCOTS,EQ,209.9,201.01,203.71,202.47,87860,2026-07-21
ABINFRA,EQ,10.5,10.06,10.32,10.14,1081297,2026-07-21
ABMKNO,EQ,200.8,193.5,195.79,194.04,772,2026-07-21
ACSTECH,EQ,41.98,39.75,40.12,41.65,447948,2026-07-21
AKCAPIT,EQ,1841.3,1773.7,1790.4,1829.7,4041,2026-07-21
A2ZINFRA,EQ,13.07,12.5,12.98,12.58,101837,2026-07-21
AAATECH,EQ,94.0,91.02,91.16,92.68,4778,2026-07-21
AADHARHFC,EQ,517.35,505.6,513.5,510.55,320557,2026-07-21
AAKASH,EQ,9.1,8.96,8.98,8.98,27055,2026-07-21
AARNAV,EQ,31.2,29.22,30.73,31.52,102306,2026-07-21
AARON,EQ,123.6,115.81,119.95,115.98,27483,2026-07-21
AARTIDRUGS,EQ,428.9,416.75,426.9,418.0,149206,2026-07-21
AARTIIND,EQ,502.25,493.45,499.5,495.4,542479,2026-07-21
AARTIPHARM,EQ,707.8,695.8,702.35,697.95,82742,2026-07-21
AARTISURF,EQ,403.0,387.0,399.05,391.75,11790,2026-07-21
AARVI,EQ,163.0,154.26,161.27,156.5,81768,2026-07-21
AASTHA,EQ,129.06,115.5,129.05,107.55,10338553,2026-07-21
AAVAS,EQ,1529.9,1483.0,1521.7,1497.4,75525,2026-07-21
AFSL,EQ,202.1,201.02,201.39,201.09,1700,2026-07-21
ABB,EQ,7633.0,7492.5,7532.0,7517.0,254098,2026-07-21
ABBOTINDIA,EQ,28835.0,28165.0,28800.0,28275.0,16852,2026-07-21
ABMINTLLTD,EQ,47.1,43.1,44.65,42.82,13978,2026-07-21
ACC,EQ,1395.7,1378.1,1387.8,1381.4,230169,2026-07-21
ACCELYA,EQ,1162.3,1141.6,1148.5,1158.9,5477,2026-07-21
ACEINTEG,EQ,20.0,19.15,19.56,19.99,9757,2026-07-21
ACMESOLAR,EQ,381.75,371.15,373.1,377.55,752502,2026-07-21
ACE,EQ,1081.8,1006.2,1035.5,991.6,5917072,2026-07-21
ACUTAAS,EQ,3700.0,3649.0,3677.0,3656.2,179912,2026-07-21
ADANIENSOL,EQ,1789.0,1718.6,1741.6,1729.5,3706827,2026-07-21
ADANIENT,EQ,3213.5,3170.0,3182.7,3183.3,951463,2026-07-21
ADANIGREEN,EQ,1558.7,1523.3,1541.9,1530.0,1845646,2026-07-21
ADANIPORTS,EQ,1857.4,1833.0,1846.5,1844.0,1372166,2026-07-21
ADANIPOWER,EQ,222.5,219.23,220.37,219.97,19049374,2026-07-21
ATGL,EQ,718.9,690.2,700.4,712.9,1831596,2026-07-21
ADFFOODS,EQ,304.0,296.65,302.2,300.5,82929,2026-07-21
ABSLAMC,EQ,1126.9,1038.1,1043.1,1118.6,873489,2026-07-21
ABCAPITAL,EQ,409.9,400.75,409.05,401.15,3358646,2026-07-21
ABFRL,EQ,57.75,57.01,57.41,57.28,1625799,2026-07-21
ABLBL,EQ,95.88,94.6,94.89,95.36,196562,2026-07-21
BIRLAMONEY,EQ,138.02,133.0,133.92,135.65,67942,2026-07-21
ABREL,EQ,1449.9,1435.1,1445.3,1441.8,65296,2026-07-21
CPPLUS,EQ,3619.9,3453.0,3491.2,3565.9,128622,2026-07-21
AVL,EQ,664.55,633.0,641.65,637.3,533037,2026-07-21
BSLGOLDETF,EQ,125.27,124.3,125.05,124.16,244443,2026-07-21
BSLNIFTY,EQ,28.55,28.27,28.34,28.41,632638,2026-07-21
ADOR,EQ,1587.0,1385.0,1507.2,1455.3,405461,2026-07-21
ADROITINFO,EQ,9.3,9.02,9.12,9.23,53781,2026-07-21
ADVAIT,EQ,2264.0,2201.0,2251.7,2232.8,25985,2026-07-21
ADVANCE,EQ,114.28,109.82,111.21,113.1,173983,2026-07-21
ADVENZYMES,EQ,325.0,317.3,321.35,319.05,92915,2026-07-21
ADVANIHOTR,EQ,52.29,51.53,52.01,51.75,9938,2026-07-21
ADVENTHTL,EQ,149.78,145.0,145.44,148.46,81468,2026-07-21
RAMBHAJO,EQ,213.14,199.1,203.06,213.51,1289013,2026-07-21
AEGISLOG,EQ,1389.1,1290.1,1313.5,1383.9,1593702,2026-07-21
AEGISVOPAK,EQ,291.0,276.03,288.45,281.02,3392928,2026-07-21
AEQUS,EQ,240.3,235.5,238.5,240.37,1460171,2026-07-21
AEROENTER,EQ,122.1,117.7,119.5,120.34,377015,2026-07-21
AEROFLEX,EQ,415.75,405.05,413.4,406.25,721291,2026-07-21
AERONEU,EQ,92.0,88.56,89.64,89.34,50733,2026-07-21
AETHER,EQ,1460.0,1439.9,1449.7,1450.6,108653,2026-07-21
AFCONS,EQ,297.65,289.0,289.95,295.95,476756,2026-07-21
AFFLE,EQ,1535.0,1505.2,1529.4,1518.3,105237,2026-07-21
AGARIND,EQ,520.2,492.45,495.65,502.65,20748,2026-07-21
AGI,EQ,699.95,684.05,686.4,695.65,43571,2026-07-21
AGIIL,EQ,335.6,327.25,328.1,334.25,2624457,2026-07-21
AGROPHOS,EQ,30.2,29.5,29.94,29.86,4135,2026-07-21
AHLADA,EQ,38.78,37.31,37.74,38.67,6237,2026-07-21
AHLUCONT,EQ,852.0,838.0,844.8,844.7,15624,2026-07-21
AIAENG,EQ,4711.5,4638.0,4681.5,4657.5,31494,2026-07-21
AIRAN,EQ,15.5,15.12,15.4,15.29,19057,2026-07-21
AIROLAM,EQ,89.99,86.4,87.37,89.91,4525,2026-07-21
AJANTPHARM,EQ,3598.8,3454.0,3575.3,3469.0,204685,2026-07-21
AJAXENGG,EQ,592.65,577.0,588.8,593.85,61137,2026-07-21
AJMERA,EQ,130.84,125.5,125.77,129.89,338788,2026-07-21
AJOONI,EQ,4.3,4.2,4.24,4.2,457244,2026-07-21
AKASH,EQ,27.9,26.92,27.02,27.82,3726,2026-07-21
AKG,EQ,10.16,9.32,9.38,9.99,78494,2026-07-21
AKI,EQ,4.73,4.6,4.6,4.67,142116,2026-07-21
AFIL,EQ,9.74,9.5,9.63,9.7,1056955,2026-07-21
AKSHAR,EQ,0.44,0.42,0.43,0.42,378261,2026-07-21
AKUMS,EQ,709.5,672.15,695.05,676.55,433059,2026-07-21
ALANKIT,EQ,7.96,7.7,7.84,7.9,108006,2026-07-21
ALBERTDAVD,EQ,703.0,687.05,696.3,698.0,2337,2026-07-21
ALEMBICLTD,EQ,91.14,90.11,90.37,90.27,98543,2026-07-21
APLLTD,EQ,843.0,830.55,833.6,842.65,46223,2026-07-21
ALGOQUANT,EQ,65.64,64.3,65.15,64.34,1269792,2026-07-21
ALICON,EQ,638.0,618.05,626.65,623.75,9285,2026-07-21
ALIVUS,EQ,1159.1,1130.0,1145.4,1132.3,41916,2026-07-21
ALKEM,EQ,5695.0,5623.5,5681.5,5653.5,27882,2026-07-21
ALKYLAMINE,EQ,1865.1,1823.2,1836.9,1831.0,70561,2026-07-21
ALLTIME,EQ,246.49,236.2,241.21,241.52,33524,2026-07-21
AGL,EQ,13.2,12.61,13.1,12.9,5005195,2026-07-21
ALLCARGO,EQ,8.21,8.02,8.17,8.06,3316549,2026-07-21
ATL,EQ,24.0,23.17,23.91,23.44,93168,2026-07-21
ALLDIGI,EQ,843.7,823.0,825.25,837.8,6616,2026-07-21
ABDL,EQ,630.95,618.0,619.4,626.35,125100,2026-07-21
ADSL,EQ,120.49,117.52,118.35,118.58,117398,2026-07-21
ALMONDZ,EQ,13.37,12.95,13.0,13.04,64703,2026-07-21
ALOKINDS,EQ,12.41,12.17,12.31,12.22,4511677,2026-07-21
ALPA,EQ,69.45,67.5,67.64,68.55,7413,2026-07-21
ALPHAGEO,EQ,202.5,196.05,201.43,200.25,1389,2026-07-21
AMAGI,EQ,618.45,585.6,590.9,593.2,497244,2026-07-21
ARE&M,EQ,929.0,903.35,905.0,911.3,755299,2026-07-21
AMBALALSA,EQ,32.39,30.81,31.99,30.94,59679,2026-07-21
AMBER,EQ,7873.0,7591.0,7622.0,7859.0,268126,2026-07-21
AMBICAAGAR,EQ,25.48,24.17,25.3,24.56,1329,2026-07-21
AMBIKCO,EQ,1735.0,1710.5,1723.0,1710.2,5698,2026-07-21
AMBUJACEM,EQ,445.25,436.2,440.85,437.8,2327392,2026-07-21
AMDIND,EQ,46.49,44.15,44.52,45.94,9702,2026-07-21
AMNPLST,EQ,198.96,191.17,193.32,192.75,110007,2026-07-21
AEROPLANE,EQ,197.7,184.5,186.05,193.07,795916,2026-07-21
AMJLAND,EQ,38.45,36.6,36.91,37.48,5388,2026-07-21
AMRUTANJAN,EQ,551.9,538.0,538.6,546.65,14464,2026-07-21
ARSSBL,EQ,530.5,520.0,520.6,525.5,155357,2026-07-21
ANANDRATHI,EQ,2099.0,2082.0,2091.2,2082.7,108401,2026-07-21
ANANTRAJ,EQ,612.0,598.15,608.85,600.8,3674074,2026-07-21
ACL,EQ,49.8,48.27,48.89,49.02,10263,2026-07-21
ANDHRAPAP,EQ,61.9,59.6,60.06,60.87,98890,2026-07-21
ANDHRSUGAR,EQ,84.32,82.05,84.09,81.89,210765,2026-07-21
ANGELONE,EQ,326.4,320.8,321.9,324.35,5277015,2026-07-21
APCL,EQ,107.8,101.55,103.99,101.49,5866,2026-07-21
AHCL,EQ,15.72,14.89,15.37,15.0,5460317,2026-07-21
ANMOL,EQ,10.94,10.58,10.64,10.64,12214,2026-07-21
ANTGRAPHIC,EQ,0.78,0.75,0.76,0.75,92383,2026-07-21
ANTELOPUS,EQ,887.45,855.35,868.45,861.8,122443,2026-07-21
ANTHEM,EQ,804.9,784.15,791.55,791.55,648680,2026-07-21
AWHCL,EQ,451.05,443.0,445.2,449.05,36044,2026-07-21
ANUHPHR,EQ,80.93,79.5,80.04,80.61,18268,2026-07-21
ANURAS,EQ,1271.0,1264.4,1266.4,1267.9,335951,2026-07-21
AONEGOLD,EQ,13.35,13.18,13.28,13.22,432052,2026-07-21
AONELIQUID,EQ,1069.08,1069.06,1069.07,1068.93,5525,2026-07-21
AONENIFTY,EQ,10.2,9.94,9.95,9.99,216896,2026-07-21
AONESILVER,EQ,8.5,8.26,8.48,8.33,440663,2026-07-21
AONETMMQ50,EQ,10.15,10.07,10.11,10.09,32145,2026-07-21
AONETOTAL,EQ,11.96,11.86,11.89,11.88,64550,2026-07-21
APARINDS,EQ,13932.0,13725.0,13841.0,13883.0,52304,2026-07-21
APCOTEXIND,EQ,568.0,550.1,558.3,552.1,156322,2026-07-21
APEX,EQ,407.15,396.0,402.2,403.8,85025,2026-07-21
APLAPOLLO,EQ,1824.7,1804.8,1819.6,1814.3,210617,2026-07-21
APOLLOHOSP,EQ,8945.5,8880.0,8926.5,8905.0,200394,2026-07-21
APOLLO,EQ,393.65,381.3,390.55,392.8,6921531,2026-07-21
APOLLOPIPE,EQ,498.7,488.0,493.6,493.35,148782,2026-07-21
APOLSINHOT,EQ,1230.0,1188.0,1211.2,1203.7,781,2026-07-21
APOLLOTYRE,EQ,431.7,426.0,428.5,428.7,159164,2026-07-21
APTUS,EQ,305.45,298.95,301.05,305.45,729142,2026-07-21
AQYLON,EQ,30.19,30.19,30.19,31.77,144013,2026-07-21
ACI,EQ,604.25,562.9,588.45,566.9,1416274,2026-07-21
ADL,EQ,72.0,68.05,71.22,72.25,362,2026-07-21
ARCHIDPLY,EQ,81.4,79.11,79.77,80.91,740,2026-07-21
ARCHIES,EQ,14.3,13.93,14.27,14.0,3514,2026-07-21
ARFIN,EQ,88.0,85.22,86.59,86.02,1618553,2026-07-21
ARIES,EQ,346.5,339.1,340.0,345.45,10152,2026-07-21
ARIHANTCAP,EQ,81.72,74.17,78.52,75.54,984327,2026-07-21
ARIHANT,EQ,934.95,843.6,914.85,860.7,17074,2026-07-21
ARIHANTSUP,EQ,264.95,255.8,260.25,262.2,34035,2026-07-21
ARIS,EQ,122.63,117.29,118.94,114.86,1921126,2026-07-21
ARKADE,EQ,138.84,136.5,137.13,138.06,194260,2026-07-21
