TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,215.0,206.0,213.21,208.31,67345,2025-11-07
21STCENMGM,EQ,47.89,46.9,47.89,46.96,4960,2025-11-07
360ONE,EQ,1076.3,1052.4,1066.0,1068.2,922625,2025-11-07
GOLD360,EQ,118.5,117.5,117.8,118.1,155162,2025-11-07
SILVER360,EQ,150.0,144.79,147.13,145.65,19932,2025-11-07
3IINFOLTD,EQ,17.04,16.69,16.83,17.05,560997,2025-11-07
3MINDIA,EQ,36000.0,34910.0,35580.0,35790.0,31552,2025-11-07
3PLAND,EQ,41.7,40.9,41.16,41.54,2866,2025-11-07
5PAISA,EQ,315.95,298.9,302.25,306.3,64199,2025-11-07
63MOONS,EQ,776.4,742.55,747.45,770.8,160226,2025-11-07
ABCOTS,EQ,429.0,416.4,419.65,420.4,7359,2025-11-07
ABINFRA,EQ,20.25,19.3,20.21,19.29,1512630,2025-11-07
A2ZINFRA,EQ,18.3,17.49,18.3,17.43,686987,2025-11-07
AADHARHFC,EQ,500.8,481.1,494.55,499.45,394063,2025-11-07
AAKASH,EQ,9.13,8.71,8.97,8.95,37636,2025-11-07
AARON,EQ,206.61,198.01,204.19,200.26,16446,2025-11-07
AARTECH,EQ,55.99,52.8,52.95,53.45,33815,2025-11-07
AARTIDRUGS,EQ,499.9,479.5,491.45,488.9,412614,2025-11-07
AARTIIND,EQ,419.5,384.1,391.8,390.5,19375432,2025-11-07
AARTIPHARM,EQ,869.85,832.35,864.95,843.9,109235,2025-11-07
AARTISURF,EQ,480.0,453.05,469.7,453.9,10994,2025-11-07
AARVI,EQ,120.39,116.55,119.71,117.86,3472,2025-11-07
AAVAS,EQ,1590.0,1564.8,1574.1,1603.9,136282,2025-11-07
AFSL,EQ,202.2,201.0,201.21,201.31,30352,2025-11-07
ABB,EQ,5151.0,4962.5,5016.5,5228.0,1147124,2025-11-07
ABBOTINDIA,EQ,29665.0,28720.0,28785.0,29455.0,9721,2025-11-07
ACC,EQ,1853.2,1818.9,1840.5,1832.4,231911,2025-11-07
ACCELYA,EQ,1349.0,1328.1,1331.0,1351.0,16444,2025-11-07
ACCURACY,EQ,6.67,6.2,6.55,6.55,46954,2025-11-07
ACEINTEG,EQ,23.9,22.7,23.4,23.61,4431,2025-11-07
ACMESOLAR,EQ,269.0,262.6,265.1,269.1,1010837,2025-11-07
ACE,EQ,1054.5,1015.0,1022.0,1072.0,363927,2025-11-07
ACUTAAS,EQ,1797.0,1742.0,1765.0,1769.9,183230,2025-11-07
ADANIENSOL,EQ,973.7,945.2,960.6,968.15,1384632,2025-11-07
ADANIENT,EQ,2402.5,2291.4,2369.4,2314.3,2232889,2025-11-07
ADANIGREEN,EQ,1075.1,1040.0,1059.8,1060.5,3615119,2025-11-07
ADANIPORTS,EQ,1464.0,1425.0,1448.3,1436.8,2184538,2025-11-07
ADANIPOWER,EQ,154.79,150.85,151.48,153.17,36644118,2025-11-07
ATGL,EQ,617.45,607.2,611.2,617.55,629852,2025-11-07
ADFFOODS,EQ,233.7,217.0,232.49,224.83,368283,2025-11-07
ABSLAMC,EQ,767.0,754.0,763.2,770.35,103436,2025-11-07
ABCAPITAL,EQ,345.4,322.6,338.1,327.05,13494106,2025-11-07
ABFRL,EQ,80.31,76.2,79.7,78.08,6391113,2025-11-07
ABLBL,EQ,132.43,128.73,130.45,132.42,1100258,2025-11-07
BIRLAMONEY,EQ,161.5,157.0,158.78,157.23,52743,2025-11-07
ABREL,EQ,1810.4,1761.6,1769.3,1810.0,50385,2025-11-07
CPPLUS,EQ,1544.2,1390.8,1534.9,1403.9,1574742,2025-11-07
AVL,EQ,555.0,521.35,549.9,536.85,395180,2025-11-07
BSLGOLDETF,EQ,106.39,105.18,106.16,106.35,362298,2025-11-07
BSLNIFTY,EQ,29.71,29.42,29.65,29.67,134729,2025-11-07
ADOR,EQ,1045.9,1005.5,1028.7,1030.2,14314,2025-11-07
ADROITINFO,EQ,11.62,11.32,11.5,11.31,37637,2025-11-07
ADVANCE,EQ,140.9,136.0,137.32,138.75,789678,2025-11-07
ADVENZYMES,EQ,313.0,304.3,310.4,311.0,111191,2025-11-07
ADVANIHOTR,EQ,58.3,57.15,57.54,58.18,26689,2025-11-07
AEGISLOG,EQ,786.5,755.0,761.35,766.6,1503608,2025-11-07
AEGISVOPAK,EQ,263.0,251.8,260.15,258.25,587604,2025-11-07
AEROENTER,EQ,90.7,83.62,90.13,84.8,454047,2025-11-07
AEROFLEX,EQ,188.8,177.82,186.16,180.22,562868,2025-11-07
AERONEU,EQ,82.12,78.9,79.84,80.14,17086,2025-11-07
AETHER,EQ,751.3,735.0,736.15,750.75,77622,2025-11-07
AFCONS,EQ,444.0,433.6,442.05,443.75,1343776,2025-11-07
AFFLE,EQ,1775.0,1733.1,1747.2,1778.0,288116,2025-11-07
AFFORDABLE,EQ,241.0,231.4,235.0,242.6,68075,2025-11-07
AGARIND,EQ,863.0,840.0,860.0,845.55,11982,2025-11-07
AGI,EQ,803.25,785.3,794.65,804.55,59354,2025-11-07
AGIIL,EQ,270.0,259.95,266.2,263.8,425430,2025-11-07
AGRITECH,EQ,131.0,128.05,130.56,129.13,4472,2025-11-07
AHLADA,EQ,58.85,56.1,57.09,57.73,18544,2025-11-07
AHLUCONT,EQ,909.25,886.8,889.55,904.6,26315,2025-11-07
AIAENG,EQ,3302.5,3220.0,3256.2,3318.6,90049,2025-11-07
GOLDTECH,EQ,58.95,56.59,57.66,57.6,24243,2025-11-07
AIRAN,EQ,22.9,22.0,22.49,22.27,97091,2025-11-07
AIROLAM,EQ,104.0,101.0,102.32,103.47,7951,2025-11-07
AJANTPHARM,EQ,2579.3,2511.0,2524.2,2568.8,69421,2025-11-07
AJAXENGG,EQ,598.1,573.65,594.2,581.1,81719,2025-11-07
AJMERA,EQ,1027.5,998.0,1021.9,1016.8,54804,2025-11-07
AJOONI,EQ,4.98,4.85,4.94,4.94,511459,2025-11-07
AKASH,EQ,28.34,27.15,27.9,28.0,4230,2025-11-07
AKG,EQ,12.78,12.41,12.52,12.52,27060,2025-11-07
AKI,EQ,8.34,7.91,8.05,8.08,20915,2025-11-07
AFIL,EQ,7.8,7.28,7.55,7.36,1787157,2025-11-07
AKSHOPTFBR,EQ,7.49,7.25,7.31,7.4,149216,2025-11-07
AKSHARCHEM,EQ,256.75,248.5,251.1,253.55,5210,2025-11-07
AKUMS,EQ,462.0,449.5,453.35,460.35,449950,2025-11-07
AKZOINDIA,EQ,3286.2,3156.9,3262.3,3217.4,45890,2025-11-07
ALANKIT,EQ,11.87,11.34,11.73,11.48,209782,2025-11-07
ALBERTDAVD,EQ,872.65,854.0,857.15,871.05,2981,2025-11-07
ALEMBICLTD,EQ,99.9,98.07,99.61,99.79,219086,2025-11-07
APLLTD,EQ,928.75,896.35,921.95,915.35,148708,2025-11-07
ALICON,EQ,927.6,900.0,906.1,936.1,19573,2025-11-07
ALIVUS,EQ,932.0,903.9,915.05,890.5,158323,2025-11-07
ALKALI,EQ,92.0,86.35,88.04,92.02,25088,2025-11-07
ALKEM,EQ,5687.5,5571.5,5668.5,5643.5,226721,2025-11-07
ALKYLAMINE,EQ,1825.0,1763.3,1777.7,1804.8,21442,2025-11-07
ALLTIME,EQ,307.75,292.65,305.75,297.3,169520,2025-11-07
ACLGATI,EQ,64.83,61.25,62.98,64.5,618056,2025-11-07
ALLCARGO,EQ,35.56,34.12,35.23,35.21,3810064,2025-11-07
ATL,EQ,32.94,31.35,32.67,32.07,212114,2025-11-07
ALLDIGI,EQ,884.9,873.05,875.45,884.3,6754,2025-11-07
ABDL,EQ,653.7,637.6,642.9,642.1,983223,2025-11-07
ADSL,EQ,175.5,164.23,173.43,169.95,268675,2025-11-07
ALMONDZ,EQ,18.88,17.82,18.29,17.74,117942,2025-11-07
ALOKINDS,EQ,17.35,17.05,17.13,17.3,3073368,2025-11-07
ALPA,EQ,87.48,79.7,81.24,87.1,73789,2025-11-07
ALPHAGEO,EQ,258.3,245.55,250.7,252.0,2684,2025-11-07
AMANTA,EQ,124.89,118.63,123.25,120.1,246092,2025-11-07
ARE&M,EQ,994.0,970.1,980.1,989.2,459196,2025-11-07
AMBER,EQ,7288.0,6736.5,7227.0,7832.5,3136273,2025-11-07
AMBICAAGAR,EQ,25.38,25.0,25.22,25.19,2712,2025-11-07
AMBIKCO,EQ,1334.0,1296.0,1329.7,1310.2,7236,2025-11-07
AMBUJACEM,EQ,563.95,550.55,558.8,558.4,1593499,2025-11-07
AMDIND,EQ,59.02,55.27,57.69,55.77,22028,2025-11-07
AMNPLST,EQ,213.0,207.0,208.21,209.14,4450,2025-11-07
AMJLAND,EQ,55.9,51.99,54.43,52.12,41980,2025-11-07
AMRUTANJAN,EQ,716.0,697.0,707.5,708.05,11381,2025-11-07
ARSSBL,EQ,593.9,520.5,572.95,539.3,2809999,2025-11-07
ANANDRATHI,EQ,3137.0,3060.6,3121.5,3104.4,117075,2025-11-07
ANANTRAJ,EQ,623.3,601.65,619.85,623.3,3044621,2025-11-07
ANDHRAPAP,EQ,75.0,72.6,73.64,76.62,217506,2025-11-07
ANDHRSUGAR,EQ,85.08,79.67,81.95,82.08,1009564,2025-11-07
ANGELONE,EQ,2625.0,2446.0,2616.4,2486.5,1865591,2025-11-07
ANIKINDS,EQ,77.0,73.06,74.91,74.35,5522,2025-11-07
APCL,EQ,125.98,122.33,123.97,125.2,4105,2025-11-07
ANMOL,EQ,17.74,12.9,16.32,15.73,440571,2025-11-07
ANTGRAPHIC,EQ,1.1,0.95,1.06,1.08,346822,2025-11-07
ANTELOPUS,EQ,556.45,529.1,536.2,540.1,20582,2025-11-07
ANTHEM,EQ,699.9,686.0,696.55,696.6,217720,2025-11-07
AWHCL,EQ,515.2,500.05,505.1,506.5,65648,2025-11-07
ANUHPHR,EQ,87.48,83.45,85.92,86.17,21257,2025-11-07
ANURAS,EQ,1094.4,1053.6,1082.9,1068.5,65836,2025-11-07
AONEGOLD,EQ,11.36,11.22,11.29,11.31,344793,2025-11-07
AONELIQUID,EQ,1033.49,1033.47,1033.48,1033.06,36040,2025-11-07
AONENIFTY,EQ,10.75,10.34,10.43,10.44,180813,2025-11-07
AONETOTAL,EQ,11.96,11.55,11.93,11.91,346334,2025-11-07
APARINDS,EQ,8438.5,8221.0,8280.5,8404.0,78195,2025-11-07
APCOTEXIND,EQ,400.95,380.0,394.05,392.6,100158,2025-11-07
APEX,EQ,237.86,232.0,233.52,237.09,54463,2025-11-07
APLAPOLLO,EQ,1805.0,1777.6,1800.5,1785.7,679442,2025-11-07
APOLLOHOSP,EQ,7891.0,7625.5,7642.0,7782.0,486385,2025-11-07
APOLLO,EQ,273.55,257.3,268.45,266.35,6387965,2025-11-07
APOLLOPIPE,EQ,305.05,288.2,302.4,292.95,337264,2025-11-07
APOLSINHOT,EQ,1289.5,1271.2,1276.2,1277.7,591,2025-11-07
APOLLOTYRE,EQ,520.8,497.5,515.4,505.8,865620,2025-11-07
APTECHT,EQ,108.0,104.5,105.95,107.5,238639,2025-11-07
APTUS,EQ,294.85,287.45,292.4,294.85,1075032,2025-11-07
ACI,EQ,645.75,629.7,634.6,648.75,102167,2025-11-07
ADL,EQ,85.4,81.0,81.65,81.48,4278,2025-11-07
ARCHIDPLY,EQ,99.72,94.42,97.31,95.78,18951,2025-11-07
ARCHIES,EQ,20.17,19.51,19.98,19.94,8252,2025-11-07
ARIES,EQ,369.0,358.95,365.0,368.35,35418,2025-11-07
ARIHANTCAP,EQ,102.76,97.89,99.46,99.81,1632993,2025-11-07
ARIHANTSUP,EQ,415.5,406.45,408.2,415.55,143045,2025-11-07
ARISINFRA,EQ,175.0,157.95,164.35,169.49,1850940,2025-11-07
ARKADE,EQ,169.5,164.9,167.97,167.4,194702,2025-11-07
ARMANFIN,EQ,1664.7,1591.1,1654.9,1621.2,18173,2025-11-07
AROGRANITE,EQ,36.48,35.27,36.09,35.43,3680,2025-11-07
ARROWGREEN,EQ,600.8,572.05,590.25,579.9,35065,2025-11-07
ARTNIRMAN,EQ,55.9,55.0,55.0,56.26,945,2025-11-07
ARTEMISMED,EQ,245.95,240.55,244.94,243.25,119746,2025-11-07
ARVEE,EQ,162.76,158.0,162.75,159.07,68,2025-11-07
ARVINDFASN,EQ,525.05,508.2,516.05,525.05,181529,2025-11-07
ARVIND,EQ,333.0,299.2,328.3,309.95,3334495,2025-11-07
ARVSMART,EQ,625.05,605.0,620.3,618.65,51722,2025-11-07
ASAHIINDIA,EQ,943.45,900.0,934.8,921.0,134790,2025-11-07
ASAHISONG,EQ,273.7,268.65,271.25,272.2,2716,2025-11-07
ASHAPURMIN,EQ,645.0,616.0,636.45,621.15,350880,2025-11-07
ASHIANA,EQ,281.0,270.85,274.4,281.55,35841,2025-11-07
ASHIMASYN,EQ,20.73,19.89,20.33,20.58,114877,2025-11-07
ASHOKLEY,EQ,141.65,138.8,141.28,141.23,4888203,2025-11-07
ASHOKA,EQ,200.75,196.56,198.92,200.71,625478,2025-11-07
ASHOKAMET,EQ,16.89,16.1,16.71,16.64,52833,2025-11-07
ASIANENE,EQ,336.0,324.25,331.75,331.0,112258,2025-11-07
