TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,195.96,190.0,190.86,194.67,56469,2025-11-20
21STCENMGM,EQ,41.45,39.89,39.89,40.71,6984,2025-11-20
360ONE,EQ,1144.9,1117.6,1142.1,1119.2,1134821,2025-11-20
GOLD360,EQ,121.1,119.0,120.0,120.4,9763,2025-11-20
SILVER360,EQ,154.27,151.51,152.54,154.25,30144,2025-11-20
3IINFOLTD,EQ,17.65,17.2,17.34,17.43,372209,2025-11-20
3MINDIA,EQ,36240.0,35495.0,35685.0,35970.0,3044,2025-11-20
3PLAND,EQ,40.5,38.8,39.4,39.66,1061,2025-11-20
5PAISA,EQ,360.0,325.4,356.6,333.65,1142261,2025-11-20
63MOONS,EQ,764.0,723.0,756.25,720.05,167446,2025-11-20
ABCOTS,EQ,424.9,413.65,418.6,416.4,9866,2025-11-20
ABINFRA,EQ,20.21,19.3,20.21,19.25,1671539,2025-11-20
A2ZINFRA,EQ,18.29,17.01,17.09,17.7,169754,2025-11-20
AADHARHFC,EQ,491.95,480.0,485.75,488.2,336741,2025-11-20
AAKASH,EQ,9.02,8.81,8.91,8.89,54953,2025-11-20
AARON,EQ,196.0,184.26,193.44,186.63,26852,2025-11-20
AARTECH,EQ,51.39,50.0,50.07,50.26,17168,2025-11-20
AARTIDRUGS,EQ,452.9,445.0,446.8,451.15,124865,2025-11-20
AARTIIND,EQ,393.2,386.0,386.85,390.2,365324,2025-11-20
AARTIPHARM,EQ,716.0,703.0,712.85,708.3,203614,2025-11-20
AARTISURF,EQ,457.0,442.0,443.7,447.05,8136,2025-11-20
AARVI,EQ,145.0,127.51,140.37,128.14,703939,2025-11-20
AAVAS,EQ,1650.0,1620.0,1635.6,1643.1,57859,2025-11-20
AFSL,EQ,214.21,201.31,210.62,209.12,37748,2025-11-20
ABB,EQ,5172.0,5083.0,5147.0,5083.0,315841,2025-11-20
ABBOTINDIA,EQ,29795.0,29340.0,29585.0,29530.0,5192,2025-11-20
ACC,EQ,1865.0,1842.5,1851.4,1836.9,279134,2025-11-20
ACCELYA,EQ,1341.9,1318.0,1324.9,1337.2,13409,2025-11-20
ACCURACY,EQ,6.5,6.06,6.31,6.16,116164,2025-11-20
ACEINTEG,EQ,24.15,22.41,23.13,22.66,7173,2025-11-20
ACMESOLAR,EQ,247.7,242.5,244.4,242.9,584015,2025-11-20
ACE,EQ,977.9,965.0,966.3,972.4,93309,2025-11-20
ACUTAAS,EQ,1740.0,1708.5,1732.4,1720.0,141145,2025-11-20
ADANIENSOL,EQ,1014.0,989.0,993.6,1006.25,852319,2025-11-20
ADANIENT,EQ,2478.9,2440.4,2446.1,2433.1,1526556,2025-11-20
ADANIGREEN,EQ,1085.5,1057.0,1060.0,1069.9,1354779,2025-11-20
ADANIPORTS,EQ,1505.0,1487.6,1491.1,1484.2,1459401,2025-11-20
ADANIPOWER,EQ,153.4,151.0,151.46,151.61,11439592,2025-11-20
ATGL,EQ,621.4,605.9,609.05,610.5,591539,2025-11-20
ADFFOODS,EQ,216.08,209.95,211.05,213.45,108121,2025-11-20
ABSLAMC,EQ,751.5,740.1,744.9,739.1,196709,2025-11-20
