TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,194.16,189.4,191.34,193.99,88207,2025-11-28
21STCENMGM,EQ,38.25,37.75,38.25,37.5,718,2025-11-28
360ONE,EQ,1186.0,1144.0,1183.2,1166.6,1176162,2025-11-28
GOLD360,EQ,123.55,123.15,123.4,123.05,10866,2025-11-28
SILVER360,EQ,161.99,156.34,161.03,160.35,33428,2025-11-28
3IINFOLTD,EQ,17.26,16.9,16.97,16.96,394657,2025-11-28
3MINDIA,EQ,35240.0,34735.0,34840.0,35030.0,2167,2025-11-28
3PLAND,EQ,40.34,39.16,40.07,39.54,2480,2025-11-28
5PAISA,EQ,340.0,332.3,334.95,340.8,59401,2025-11-28
63MOONS,EQ,937.65,793.0,907.9,781.4,9403742,2025-11-28
ABCOTS,EQ,429.55,409.8,415.15,421.55,23602,2025-11-28
ABINFRA,EQ,19.35,18.3,18.83,18.97,590293,2025-11-28
A2ZINFRA,EQ,15.87,15.37,15.48,15.34,128264,2025-11-28
AADHARHFC,EQ,485.05,479.5,481.15,483.15,276890,2025-11-28
AAKASH,EQ,8.9,8.76,8.82,8.81,47731,2025-11-28
AARON,EQ,191.55,186.0,186.27,186.55,13583,2025-11-28
AARTECH,EQ,53.64,48.67,52.18,48.77,63825,2025-11-28
AARTIDRUGS,EQ,432.7,423.5,424.85,429.8,113381,2025-11-28
AARTIIND,EQ,383.0,378.4,382.3,380.8,336980,2025-11-28
AARTIPHARM,EQ,705.65,691.25,700.65,700.45,202624,2025-11-28
AARTISURF,EQ,440.0,428.15,433.45,429.0,3591,2025-11-28
AARVI,EQ,134.99,130.25,133.0,129.39,22649,2025-11-28
AAVAS,EQ,1582.7,1543.9,1546.5,1576.6,160520,2025-11-28
AFSL,EQ,204.95,201.0,201.49,201.69,7676,2025-11-28
ABB,EQ,5260.5,5170.0,5175.0,5240.5,82669,2025-11-28
ABBOTINDIA,EQ,30305.0,29250.0,30075.0,29440.0,7939,2025-11-28
ACC,EQ,1872.0,1847.0,1850.6,1870.2,182795,2025-11-28
ACCELYA,EQ,1299.6,1289.0,1295.8,1292.8,5357,2025-11-28
ACCURACY,EQ,6.16,5.5,6.04,6.04,181138,2025-11-28
ACEINTEG,EQ,23.25,22.15,22.4,22.75,1389,2025-11-28
ACMESOLAR,EQ,234.25,229.05,230.15,232.45,365579,2025-11-28
ACE,EQ,997.5,975.0,992.8,982.8,125335,2025-11-28
ACUTAAS,EQ,1849.0,1775.0,1837.5,1788.7,343557,2025-11-28
ADANIENSOL,EQ,1001.0,977.9,994.55,984.35,827939,2025-11-28
ADANIENT,EQ,2331.0,2247.8,2280.2,2255.0,3037620,2025-11-28
ADANIGREEN,EQ,1052.5,1024.6,1048.2,1031.1,1626863,2025-11-28
ADANIPORTS,EQ,1534.3,1503.1,1516.9,1509.1,2612938,2025-11-28
ADANIPOWER,EQ,149.09,147.2,147.49,148.13,10052836,2025-11-28
ATGL,EQ,612.8,601.05,606.65,603.4,452534,2025-11-28
ADFFOODS,EQ,212.5,208.0,209.45,209.16,138147,2025-11-28
ABSLAMC,EQ,737.35,722.0,735.35,729.9,87716,2025-11-28
ABCAPITAL,EQ,360.15,351.0,358.05,351.75,8364994,2025-11-28
ABFRL,EQ,79.18,76.86,78.15,77.05,4216918,2025-11-28
ABLBL,EQ,133.4,129.1,130.17,132.23,1701759,2025-11-28
BIRLAMONEY,EQ,157.99,155.0,155.77,156.6,24447,2025-11-28
ABREL,EQ,1793.7,1736.0,1773.6,1745.8,275976,2025-11-28
CPPLUS,EQ,1596.1,1521.1,1534.0,1570.0,221068,2025-11-28
AVL,EQ,540.1,520.1,523.85,540.05,118119,2025-11-28
BSLGOLDETF,EQ,112.77,110.82,110.97,110.74,84572,2025-11-28
BSLNIFTY,EQ,30.8,30.1,30.49,30.46,196613,2025-11-28
ADOR,EQ,1092.0,1081.8,1083.7,1094.2,6777,2025-11-28
ADROITINFO,EQ,10.45,10.01,10.35,9.99,26646,2025-11-28
ADVANCE,EQ,131.3,124.2,125.85,129.35,238096,2025-11-28
ADVENZYMES,EQ,314.65,310.35,311.7,311.95,99291,2025-11-28
ADVANIHOTR,EQ,58.5,53.89,57.99,54.25,142898,2025-11-28
ADVENTHTL,EQ,244.0,222.0,235.45,226.55,534965,2025-11-28
AEGISLOG,EQ,769.4,749.5,763.65,760.7,282325,2025-11-28
AEGISVOPAK,EQ,263.4,258.05,260.55,264.65,380807,2025-11-28
AEROENTER,EQ,89.1,86.0,86.56,87.58,176761,2025-11-28
