TckrSymb,SctySrs,TradDt
20MICRONS, EQ,2025-10-22
21STCENMGM, EQ,2025-10-22
360ONE, EQ,2025-10-22
3IINFOLTD, EQ,2025-10-22
3MINDIA, EQ,2025-10-22
3PLAND, EQ,2025-10-22
5PAISA, EQ,2025-10-22
63MOONS, EQ,2025-10-22
AADHARHFC, EQ,2025-10-22
AAKASH, EQ,2025-10-22
AARON, EQ,2025-10-22
AARTECH, EQ,2025-10-22
AARTIDRUGS, EQ,2025-10-22
AARTIIND, EQ,2025-10-22
AARTIPHARM, EQ,2025-10-22
AARTISURF, EQ,2025-10-22
AARVI, EQ,2025-10-22
AAVAS, EQ,2025-10-22
ABB, EQ,2025-10-22
ABBOTINDIA, EQ,2025-10-22
ABCAPITAL, EQ,2025-10-22
ABCOTS, EQ,2025-10-22
ABDL, EQ,2025-10-22
ABFRL, EQ,2025-10-22
ABINFRA, EQ,2025-10-22
ABLBL, EQ,2025-10-22
ABREL, EQ,2025-10-22
ABSLAMC, EQ,2025-10-22
ABSLBANETF, EQ,2025-10-22
ABSLLIQUID, EQ,2025-10-22
ABSLNN50ET, EQ,2025-10-22
ABSLPSE, EQ,2025-10-22
ACC, EQ,2025-10-22
ACCELYA, EQ,2025-10-22
ACCURACY, EQ,2025-10-22
ACE, EQ,2025-10-22
ACEINTEG, EQ,2025-10-22
ACI, EQ,2025-10-22
ACLGATI, EQ,2025-10-22
ACMESOLAR, EQ,2025-10-22
ACUTAAS, EQ,2025-10-22
ADANIENSOL, EQ,2025-10-22
ADANIENT, EQ,2025-10-22
ADANIGREEN, EQ,2025-10-22
ADANIPORTS, EQ,2025-10-22
ADANIPOWER, EQ,2025-10-22
ADFFOODS, EQ,2025-10-22
ADL, EQ,2025-10-22
ADOR, EQ,2025-10-22
ADROITINFO, EQ,2025-10-22
ADSL, EQ,2025-10-22
ADVANIHOTR, EQ,2025-10-22
ADVENZYMES, EQ,2025-10-22
AEGISLOG, EQ,2025-10-22
AEGISVOPAK, EQ,2025-10-22
AEROENTER, EQ,2025-10-22
AEROFLEX, EQ,2025-10-22
AERONEU, EQ,2025-10-22
AETHER, EQ,2025-10-22
AFCONS, EQ,2025-10-22
AFFLE, EQ,2025-10-22
AFFORDABLE, EQ,2025-10-22
AFIL, EQ,2025-10-22
AFSL, EQ,2025-10-22
AGARIND, EQ,2025-10-22
AGARWALEYE, EQ,2025-10-22
AGI, EQ,2025-10-22
AGIIL, EQ,2025-10-22
AGRITECH, EQ,2025-10-22
AHLADA, EQ,2025-10-22
AHLEAST, EQ,2025-10-22
AHLUCONT, EQ,2025-10-22
AIAENG, EQ,2025-10-22
AIIL, EQ,2025-10-22
AIRAN, EQ,2025-10-22
AIROLAM, EQ,2025-10-22
AJANTPHARM, EQ,2025-10-22
AJAXENGG, EQ,2025-10-22
AJMERA, EQ,2025-10-22
AJOONI, EQ,2025-10-22
AKASH, EQ,2025-10-22
AKG, EQ,2025-10-22
AKI, EQ,2025-10-22
AKSHARCHEM, EQ,2025-10-22
AKSHOPTFBR, EQ,2025-10-22
AKUMS, EQ,2025-10-22
AKZOINDIA, EQ,2025-10-22
ALANKIT, EQ,2025-10-22
ALBERTDAVD, EQ,2025-10-22
ALEMBICLTD, EQ,2025-10-22
ALICON, EQ,2025-10-22
ALIVUS, EQ,2025-10-22
ALKALI, EQ,2025-10-22
ALKEM, EQ,2025-10-22
ALKYLAMINE, EQ,2025-10-22
ALLCARGO, EQ,2025-10-22
ALLDIGI, EQ,2025-10-22
ALLTIME, EQ,2025-10-22
ALMONDZ, EQ,2025-10-22
ALOKINDS, EQ,2025-10-22
ALPA, EQ,2025-10-22
ALPHA, EQ,2025-10-22
ALPHAETF, EQ,2025-10-22
ALPHAGEO, EQ,2025-10-22
ALPL30IETF, EQ,2025-10-22
AMANTA, EQ,2025-10-22
AMBER, EQ,2025-10-22
AMBICAAGAR, EQ,2025-10-22
AMBIKCO, EQ,2025-10-22
AMBUJACEM, EQ,2025-10-22
AMDIND, EQ,2025-10-22
AMJLAND, EQ,2025-10-22
AMNPLST, EQ,2025-10-22
AMRUTANJAN, EQ,2025-10-22
ANANDRATHI, EQ,2025-10-22
ANANTRAJ, EQ,2025-10-22
ANDHRAPAP, EQ,2025-10-22
ANDHRSUGAR, EQ,2025-10-22
ANGELONE, EQ,2025-10-22
ANIKINDS, EQ,2025-10-22
ANMOL, EQ,2025-10-22
ANTELOPUS, EQ,2025-10-22
ANTGRAPHIC, EQ,2025-10-22
ANTHEM, EQ,2025-10-22
ANUHPHR, EQ,2025-10-22
ANUP, EQ,2025-10-22
ANURAS, EQ,2025-10-22
AONEGOLD, EQ,2025-10-22
AONELIQUID, EQ,2025-10-22
AONENIFTY, EQ,2025-10-22
AONETOTAL, EQ,2025-10-22
APARINDS, EQ,2025-10-22
APCL, EQ,2025-10-22
APCOTEXIND, EQ,2025-10-22
APEX, EQ,2025-10-22
APLAPOLLO, EQ,2025-10-22
APLLTD, EQ,2025-10-22
APOLLO, EQ,2025-10-22
APOLLOHOSP, EQ,2025-10-22
APOLLOPIPE, EQ,2025-10-22
APOLLOTYRE, EQ,2025-10-22
APOLSINHOT, EQ,2025-10-22
APTECHT, EQ,2025-10-22
APTUS, EQ,2025-10-22
ARCHIDPLY, EQ,2025-10-22
ARCHIES, EQ,2025-10-22
ARE&M, EQ,2025-10-22
ARENTERP, EQ,2025-10-22
ARIES, EQ,2025-10-22
ARIHANTCAP, EQ,2025-10-22
ARIHANTSUP, EQ,2025-10-22
ARISINFRA, EQ,2025-10-22
ARKADE, EQ,2025-10-22
ARMANFIN, EQ,2025-10-22
AROGRANITE, EQ,2025-10-22
ARROWGREEN, EQ,2025-10-22
ARSSBL, EQ,2025-10-22
ARTEMISMED, EQ,2025-10-22
ARTNIRMAN, EQ,2025-10-22
ARVIND, EQ,2025-10-22
ARVINDFASN, EQ,2025-10-22
ARVSMART, EQ,2025-10-22
ASAHIINDIA, EQ,2025-10-22
ASAHISONG, EQ,2025-10-22
ASAL, EQ,2025-10-22
ASALCBR, EQ,2025-10-22
ASHAPURMIN, EQ,2025-10-22
ASHIANA, EQ,2025-10-22
ASHIMASYN, EQ,2025-10-22
ASHOKA, EQ,2025-10-22
ASHOKAMET, EQ,2025-10-22
ASHOKLEY, EQ,2025-10-22
ASIANENE, EQ,2025-10-22
ASIANHOTNR, EQ,2025-10-22
ASIANPAINT, EQ,2025-10-22
ASIANTILES, EQ,2025-10-22
ASKAUTOLTD, EQ,2025-10-22
ASPINWALL, EQ,2025-10-22
ASTEC, EQ,2025-10-22
ASTERDM, EQ,2025-10-22
ASTRAL, EQ,2025-10-22
ASTRAMICRO, EQ,2025-10-22
ASTRAZEN, EQ,2025-10-22
ASTRON, EQ,2025-10-22
ATALREAL, EQ,2025-10-22
ATAM, EQ,2025-10-22
ATGL, EQ,2025-10-22
ATHERENERG, EQ,2025-10-22
ATL, EQ,2025-10-22
ATLANTAELE, EQ,2025-10-22
ATLASCYCLE, EQ,2025-10-22
ATUL, EQ,2025-10-22
ATULAUTO, EQ,2025-10-22
AUBANK, EQ,2025-10-22
