TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,182.26,175.15,177.54,176.43,116058,2026-05-14
21STCENMGM,EQ,33.65,32.41,32.52,33.03,3973,2026-05-14
360ONE,EQ,1106.7,1062.0,1102.1,1077.5,403296,2026-05-14
GOLD360,EQ,156.7,153.15,155.6,153.8,79998,2026-05-14
SILVER360,EQ,280.99,273.99,277.32,276.71,67466,2026-05-14
3BBLACKBIO,EQ,1376.9,1340.0,1370.6,1290.8,35509,2026-05-14
3IINFOLTD,EQ,17.79,17.1,17.23,17.61,180089,2026-05-14
3MINDIA,EQ,31360.0,30850.0,31195.0,31070.0,1100,2026-05-14
3PLAND,EQ,33.02,32.52,32.62,33.49,2952,2026-05-14
5PAISA,EQ,314.95,302.3,306.25,310.25,41177,2026-05-14
63MOONS,EQ,677.95,638.5,650.45,664.5,76274,2026-05-14
ABCOTS,EQ,228.7,215.0,217.35,225.45,99335,2026-05-14
ABINFRA,EQ,14.28,13.5,13.9,13.72,720266,2026-05-14
ABMKNO,EQ,254.4,230.1,232.52,230.25,3500,2026-05-14
ACSTECH,EQ,34.83,34.83,34.83,35.54,63440,2026-05-14
AKCAPIT,EQ,1609.9,1548.0,1590.1,1573.9,96,2026-05-14
AAATECH,EQ,98.5,93.4,94.35,96.89,25587,2026-05-14
AADHARHFC,EQ,488.75,469.4,474.8,486.8,189939,2026-05-14
AARNAV,EQ,22.56,21.99,22.29,22.15,11032,2026-05-14
AARON,EQ,135.0,130.0,131.08,131.16,9241,2026-05-14
AARTECH,EQ,43.9,41.66,41.95,43.16,32405,2026-05-14
AARTIDRUGS,EQ,375.9,358.6,362.35,367.85,152139,2026-05-14
AARTIIND,EQ,472.55,458.25,468.0,468.55,816432,2026-05-14
AARTIPHARM,EQ,724.45,705.0,719.25,706.6,97541,2026-05-14
AARTISURF,EQ,417.9,400.55,406.15,394.2,13005,2026-05-14
AARVI,EQ,126.7,122.24,124.15,122.07,9499,2026-05-14
AAVAS,EQ,1405.1,1380.1,1396.2,1405.1,26445,2026-05-14
AFSL,EQ,207.18,201.0,201.11,202.06,20373,2026-05-14
ABB,EQ,6439.0,6220.0,6429.0,6305.0,327209,2026-05-14
ABBOTINDIA,EQ,27610.0,27270.0,27520.0,27280.0,9543,2026-05-14
ACC,EQ,1387.5,1357.2,1378.2,1366.4,125220,2026-05-14
ACCELYA,EQ,1141.5,1118.0,1132.8,1125.8,6361,2026-05-14
ACEINTEG,EQ,20.8,18.5,18.97,20.0,18002,2026-05-14
ACMESOLAR,EQ,287.15,278.6,283.05,282.55,674839,2026-05-14
ACE,EQ,905.45,872.2,885.3,887.65,324505,2026-05-14
ACUTAAS,EQ,2848.9,2706.5,2726.8,2827.8,658946,2026-05-14
ADANIENSOL,EQ,1342.0,1295.0,1319.1,1318.2,3931057,2026-05-14
ADANIENT,EQ,2720.0,2530.0,2712.9,2498.0,9539233,2026-05-14
ADANIGREEN,EQ,1424.1,1376.8,1414.9,1366.7,4875061,2026-05-14
ADANIPORTS,EQ,1782.5,1745.4,1773.4,1737.8,3051398,2026-05-14
ADANIPOWER,EQ,225.7,215.87,224.49,213.87,41896940,2026-05-14
ATGL,EQ,618.5,602.0,612.6,606.5,1682108,2026-05-14
ADFFOODS,EQ,301.65,268.8,270.3,272.1,1308844,2026-05-14
ABSLAMC,EQ,1071.8,1026.6,1068.2,1033.8,379748,2026-05-14
ABCAPITAL,EQ,353.85,345.1,349.65,344.3,4170944,2026-05-14
ABFRL,EQ,64.49,62.78,63.48,63.59,2008302,2026-05-14
ABLBL,EQ,104.2,100.85,102.86,101.42,704969,2026-05-14
BIRLAMONEY,EQ,143.03,138.15,141.06,140.05,23457,2026-05-14
ABREL,EQ,1331.9,1267.6,1306.6,1303.6,327483,2026-05-14
CPPLUS,EQ,2555.0,2470.0,2546.9,2502.1,173772,2026-05-14
AVL,EQ,555.2,525.55,552.0,542.25,248070,2026-05-14
BSLGOLDETF,EQ,141.0,136.43,140.03,139.93,657030,2026-05-14
BSLNIFTY,EQ,27.95,26.58,27.61,27.27,1329169,2026-05-14
ADOR,EQ,1069.9,1027.1,1046.2,1030.8,53229,2026-05-14
ADROITINFO,EQ,9.75,9.43,9.59,9.54,26239,2026-05-14
ADVAIT,EQ,2044.0,1962.7,1976.4,2009.3,27953,2026-05-14
ADVANCE,EQ,105.25,101.11,103.74,102.93,103670,2026-05-14
ADVENZYMES,EQ,379.95,363.3,365.25,367.95,292102,2026-05-14
ADVANIHOTR,EQ,52.95,51.8,52.29,52.95,19291,2026-05-14
ADVENTHTL,EQ,155.34,150.62,152.45,150.71,101012,2026-05-14
AEGISLOG,EQ,675.95,648.5,653.55,652.15,344224,2026-05-14
AEGISVOPAK,EQ,201.11,190.52,200.17,197.18,890960,2026-05-14
AEQUS,EQ,208.9,193.29,205.02,191.5,2948524,2026-05-14
AEROENTER,EQ,109.5,100.2,101.83,102.21,439799,2026-05-14
AEROFLEX,EQ,372.3,349.3,360.95,365.0,2056562,2026-05-14
AERONEU,EQ,94.64,86.06,88.2,86.91,124156,2026-05-14
AETHER,EQ,1164.6,1100.0,1106.3,1146.9,322897,2026-05-14
AFCONS,EQ,337.95,324.1,330.8,333.95,541225,2026-05-14
AFFLE,EQ,1547.7,1475.0,1494.6,1533.5,339257,2026-05-14
AGARIND,EQ,444.45,410.0,423.55,417.55,48928,2026-05-14
AGI,EQ,600.0,574.2,582.25,593.45,263460,2026-05-14
AGIIL,EQ,393.7,363.35,392.15,369.2,1953982,2026-05-14
AGRITECH,EQ,115.0,109.0,109.95,111.22,3926,2026-05-14
AGROPHOS,EQ,31.54,30.47,31.09,30.46,11563,2026-05-14
AHLADA,EQ,44.88,41.51,43.71,42.99,10351,2026-05-14
AHLUCONT,EQ,819.5,797.9,804.7,811.05,29881,2026-05-14
AIAENG,EQ,3877.0,3806.8,3854.8,3794.8,20765,2026-05-14
GOLDTECH,EQ,42.45,39.55,41.08,40.9,28851,2026-05-14
AIRAN,EQ,16.93,15.81,16.43,16.12,54551,2026-05-14
AIROLAM,EQ,85.75,84.0,85.31,86.0,1015,2026-05-14
AJANTPHARM,EQ,3280.0,3125.2,3259.2,3123.2,328089,2026-05-14
AJAXENGG,EQ,541.75,524.0,539.75,524.0,40430,2026-05-14
AJMERA,EQ,127.17,119.63,125.18,121.69,386723,2026-05-14
AJOONI,EQ,4.28,4.2,4.22,4.24,181757,2026-05-14
AKASH,EQ,27.45,26.12,26.81,25.76,13656,2026-05-14
AKG,EQ,11.74,11.05,11.28,11.44,7330,2026-05-14
AKI,EQ,5.1,4.66,4.76,4.93,268913,2026-05-14
AKSHAR,EQ,0.5,0.49,0.49,0.49,904726,2026-05-14
AKSHARCHEM,EQ,205.86,195.2,200.24,205.24,2469,2026-05-14
AKUMS,EQ,557.0,512.65,527.9,540.35,1015760,2026-05-14
ALANKIT,EQ,8.9,8.6,8.79,8.71,86630,2026-05-14
ALBERTDAVD,EQ,739.0,701.05,703.9,716.8,4310,2026-05-14
ALEMBICLTD,EQ,91.75,89.7,91.34,89.93,180369,2026-05-14
APLLTD,EQ,790.6,770.0,785.7,767.85,169499,2026-05-14
ALGOQUANT,EQ,63.59,61.35,61.63,62.66,1432531,2026-05-14
ALICON,EQ,704.5,651.05,665.75,693.65,23037,2026-05-14
ALIVUS,EQ,1111.8,1056.0,1064.1,1080.8,81151,2026-05-14
ALKALI,EQ,65.49,63.2,65.18,62.86,5810,2026-05-14
ALKEM,EQ,5629.5,5462.5,5576.5,5462.5,75843,2026-05-14
