TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,189.0,183.61,187.98,185.16,52135,2025-11-25
21STCENMGM,EQ,37.8,37.53,37.53,38.3,2069,2025-11-25
360ONE,EQ,1144.0,1110.3,1120.0,1129.8,902708,2025-11-25
GOLD360,EQ,122.85,120.8,122.25,120.75,54189,2025-11-25
SILVER360,EQ,154.63,153.0,153.51,151.08,27968,2025-11-25
3IINFOLTD,EQ,17.2,16.82,16.97,17.0,212820,2025-11-25
3MINDIA,EQ,35440.0,34865.0,35290.0,35350.0,6685,2025-11-25
3PLAND,EQ,40.68,39.4,40.01,39.89,3528,2025-11-25
5PAISA,EQ,344.2,329.05,333.55,335.25,127288,2025-11-25
63MOONS,EQ,743.65,710.0,722.55,712.85,88931,2025-11-25
ABCOTS,EQ,420.6,407.0,408.8,415.95,9106,2025-11-25
ABINFRA,EQ,19.5,18.4,18.68,18.99,356175,2025-11-25
A2ZINFRA,EQ,16.0,15.1,15.28,15.62,320340,2025-11-25
AADHARHFC,EQ,490.95,482.2,487.05,485.2,259941,2025-11-25
AAKASH,EQ,8.94,8.7,8.8,8.78,80052,2025-11-25
AARON,EQ,192.7,186.03,186.64,188.57,11176,2025-11-25
AARTECH,EQ,51.29,48.01,48.13,49.81,74322,2025-11-25
AARTIDRUGS,EQ,435.8,425.1,428.2,430.3,214304,2025-11-25
AARTIIND,EQ,383.35,378.0,379.75,380.8,386120,2025-11-25
AARTIPHARM,EQ,694.8,672.7,678.9,680.8,585652,2025-11-25
AARTISURF,EQ,447.4,421.0,425.4,439.8,14854,2025-11-25
AARVI,EQ,138.96,128.26,130.48,137.18,52459,2025-11-25
AAVAS,EQ,1663.8,1610.0,1618.7,1669.6,177830,2025-11-25
AFSL,EQ,204.79,201.0,201.26,201.22,7308,2025-11-25
ABB,EQ,5092.0,5035.0,5070.5,5057.0,179842,2025-11-25
ABBOTINDIA,EQ,30655.0,29370.0,30205.0,29675.0,7914,2025-11-25
ACC,EQ,1909.4,1858.4,1869.1,1913.7,373922,2025-11-25
ACCELYA,EQ,1304.8,1280.0,1297.4,1282.2,101324,2025-11-25
ACCURACY,EQ,6.12,5.91,6.03,6.02,43036,2025-11-25
ACEINTEG,EQ,22.4,22.05,22.22,22.49,774,2025-11-25
ACMESOLAR,EQ,239.9,229.7,236.85,233.15,838893,2025-11-25
ACE,EQ,976.0,965.0,969.3,970.8,104605,2025-11-25
ACUTAAS,EQ,1880.0,1778.1,1784.1,1872.2,520543,2025-11-25
ADANIENSOL,EQ,977.5,965.75,971.5,970.15,504028,2025-11-25
ADANIENT,EQ,2407.7,2325.3,2332.9,2399.2,2223715,2025-11-25
ADANIGREEN,EQ,1022.9,1000.6,1011.6,1009.4,1677553,2025-11-25
ADANIPORTS,EQ,1492.4,1474.5,1483.9,1485.9,1355333,2025-11-25
ADANIPOWER,EQ,148.26,145.12,146.84,145.44,10803663,2025-11-25
ATGL,EQ,606.75,599.05,604.75,601.9,322649,2025-11-25
ADFFOODS,EQ,205.25,202.0,203.84,205.21,62243,2025-11-25
ABSLAMC,EQ,730.85,708.0,725.7,716.95,186161,2025-11-25
ABCAPITAL,EQ,346.8,332.3,345.45,331.85,12471895,2025-11-25
ABFRL,EQ,76.6,74.83,75.43,75.66,1870732,2025-11-25
ABLBL,EQ,129.99,126.56,129.15,127.06,1354638,2025-11-25
BIRLAMONEY,EQ,155.2,153.0,154.39,154.33,29290,2025-11-25
ABREL,EQ,1766.7,1707.0,1733.7,1716.2,135667,2025-11-25
CPPLUS,EQ,1678.0,1605.6,1625.3,1607.5,135249,2025-11-25
AVL,EQ,546.75,531.75,534.95,545.05,177212,2025-11-25
BSLGOLDETF,EQ,110.46,109.26,110.06,108.28,1686759,2025-11-25
BSLNIFTY,EQ,30.33,30.06,30.11,30.21,219440,2025-11-25
ADOR,EQ,1098.0,1060.2,1091.1,1076.5,7720,2025-11-25
ADROITINFO,EQ,10.99,10.2,10.22,10.36,36352,2025-11-25
ADVANCE,EQ,128.13,123.14,123.73,126.03,259103,2025-11-25
ADVENZYMES,EQ,319.0,310.8,312.45,312.0,97634,2025-11-25
ADVANIHOTR,EQ,56.09,53.16,53.77,55.08,63750,2025-11-25
AEGISLOG,EQ,773.95,762.3,766.55,762.2,177749,2025-11-25
AEGISVOPAK,EQ,259.2,254.0,254.95,258.4,94031,2025-11-25
AEROENTER,EQ,86.0,83.5,85.4,84.16,57298,2025-11-25
AEROFLEX,EQ,188.02,173.45,184.37,173.91,1663032,2025-11-25
AERONEU,EQ,78.0,70.65,76.7,72.38,32765,2025-11-25
AETHER,EQ,923.0,889.05,892.25,919.25,169372,2025-11-25
AFCONS,EQ,405.0,399.25,402.0,401.35,527665,2025-11-25
AFFLE,EQ,1715.6,1677.0,1680.9,1715.3,197807,2025-11-25
AFFORDABLE,EQ,225.95,210.0,213.85,211.0,37164,2025-11-25
AGARIND,EQ,785.5,769.45,774.95,779.3,34159,2025-11-25
AGI,EQ,765.85,741.95,756.65,746.85,45928,2025-11-25
AGIIL,EQ,289.0,280.05,283.7,281.0,302805,2025-11-25
AGRITECH,EQ,111.87,103.25,107.06,114.22,23762,2025-11-25
AGROPHOS,EQ,40.1,38.2,38.7,40.14,23117,2025-11-25
