TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,226.24,220.0,220.78,225.34,102455,2025-09-26
21STCENMGM,EQ,52.98,51.05,51.4,52.05,1349,2025-09-26
360ONE,EQ,1024.2,996.8,1001.8,1022.1,943039,2025-09-26
GOLD360,EQ,112.75,110.85,111.35,111.7,7825,2025-09-26
SILVER360,EQ,136.9,135.79,135.98,135.92,14750,2025-09-26
3IINFOLTD,EQ,22.58,21.61,21.98,23.85,1237442,2025-09-26
3MINDIA,EQ,29265.0,28805.0,29150.0,28920.0,2975,2025-09-26
3PLAND,EQ,45.99,44.01,44.26,45.14,2319,2025-09-26
5PAISA,EQ,357.3,344.1,349.05,357.2,16039,2025-09-26
63MOONS,EQ,894.4,854.0,870.75,889.8,197101,2025-09-26
ABCOTS,EQ,454.45,430.0,435.65,443.7,24506,2025-09-26
ABINFRA,EQ,192.0,185.0,186.68,186.7,90824,2025-09-26
AAATECH,EQ,79.39,76.11,77.0,78.57,395140,2025-09-26
AADHARHFC,EQ,529.45,509.3,511.85,526.8,733019,2025-09-26
AARON,EQ,193.5,189.1,190.33,192.55,24267,2025-09-26
AARTECH,EQ,55.0,53.66,54.31,54.73,16943,2025-09-26
AARTIDRUGS,EQ,499.9,466.4,469.95,507.1,549764,2025-09-26
AARTIIND,EQ,380.05,371.5,374.6,380.4,501448,2025-09-26
AARTIPHARM,EQ,838.75,820.0,824.05,843.3,365052,2025-09-26
AARTISURF,EQ,474.8,458.0,464.75,472.45,4818,2025-09-26
AARVI,EQ,125.0,122.03,122.57,124.16,6842,2025-09-26
AAVAS,EQ,1620.0,1560.6,1574.8,1628.6,100256,2025-09-26
AFSL,EQ,210.98,205.0,205.27,207.75,24755,2025-09-26
ABB,EQ,5210.0,5121.0,5173.4,5200.7,348241,2025-09-26
ABBOTINDIA,EQ,30280.0,29150.0,29740.0,30195.0,19046,2025-09-26
ACC,EQ,1857.1,1816.0,1824.4,1851.6,257769,2025-09-26
ACCELYA,EQ,1496.9,1444.0,1452.4,1487.6,26094,2025-09-26
ACCURACY,EQ,7.4,7.05,7.13,7.2,98743,2025-09-26
ACEINTEG,EQ,25.7,23.5,24.44,25.15,14590,2025-09-26
ACMESOLAR,EQ,280.45,265.1,266.95,280.85,1663430,2025-09-26
ACE,EQ,1108.0,1075.5,1080.1,1114.0,254756,2025-09-26
ACUTAAS,EQ,1405.2,1350.0,1358.1,1411.1,405895,2025-09-26
ADANIENSOL,EQ,899.65,875.0,879.2,894.2,1824641,2025-09-26
ADANIENT,EQ,2605.0,2535.0,2543.7,2576.4,1037808,2025-09-26
