TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,186.8,182.01,184.77,183.06,44683,2026-02-17
21STCENMGM,EQ,38.93,37.75,37.77,38.37,2307,2026-02-17
360ONE,EQ,1131.4,1112.6,1124.6,1119.6,884322,2026-02-17
GOLD360,EQ,148.8,145.1,146.4,149.5,70826,2026-02-17
SILVER360,EQ,232.64,224.21,227.5,234.05,94653,2026-02-17
3IINFOLTD,EQ,15.2,14.85,14.99,14.94,345054,2026-02-17
3MINDIA,EQ,36335.0,35605.0,36030.0,36095.0,3357,2026-02-17
3PLAND,EQ,36.79,33.78,35.15,34.39,1773,2026-02-17
5PAISA,EQ,330.6,323.9,327.45,327.4,29494,2026-02-17
63MOONS,EQ,675.0,640.1,644.35,672.35,137120,2026-02-17
ABCOTS,EQ,446.8,413.0,419.35,430.95,60849,2026-02-17
ABINFRA,EQ,21.5,20.07,20.82,20.81,3771242,2026-02-17
A2ZINFRA,EQ,14.9,14.49,14.55,14.68,181550,2026-02-17
AADHARHFC,EQ,465.95,458.05,460.6,462.05,165412,2026-02-17
AAKASH,EQ,8.39,7.82,7.88,7.85,46193,2026-02-17
AAREYDRUGS,EQ,67.84,64.52,67.12,66.42,527709,2026-02-17
AARON,EQ,163.95,156.23,161.34,156.12,8076,2026-02-17
AARTECH,EQ,47.1,46.1,46.5,46.46,9086,2026-02-17
AARTIDRUGS,EQ,377.8,371.7,374.55,371.85,44518,2026-02-17
AARTIIND,EQ,456.95,448.65,454.95,455.25,447858,2026-02-17
AARTIPHARM,EQ,724.7,706.25,723.65,710.8,95480,2026-02-17
AARTISURF,EQ,422.6,409.5,411.8,412.7,9191,2026-02-17
AARVI,EQ,135.99,129.99,132.36,132.62,19980,2026-02-17
AAVAS,EQ,1315.6,1293.0,1302.6,1296.2,55533,2026-02-17
AFSL,EQ,204.95,201.0,201.01,201.18,37412,2026-02-17
ABB,EQ,5940.0,5806.0,5836.0,5888.0,116120,2026-02-17
ABBOTINDIA,EQ,26700.0,26210.0,26620.0,26290.0,8453,2026-02-17
ACC,EQ,1649.2,1625.7,1639.4,1632.2,148310,2026-02-17
ACCELYA,EQ,1204.9,1170.0,1199.3,1172.9,12360,2026-02-17
ACCURACY,EQ,5.15,5.0,5.08,5.06,66949,2026-02-17
ACEINTEG,EQ,19.79,18.8,19.2,19.02,2058,2026-02-17
ACMESOLAR,EQ,237.3,223.0,234.83,226.1,843545,2026-02-17
ACE,EQ,932.1,901.55,919.35,910.0,138747,2026-02-17
ACUTAAS,EQ,2084.5,2032.6,2075.9,2039.2,147333,2026-02-17
ADANIENSOL,EQ,1035.0,996.0,1030.2,1003.45,1460922,2026-02-17
ADANIENT,EQ,2252.0,2170.0,2242.9,2184.6,1931699,2026-02-17
ADANIGREEN,EQ,1018.95,979.25,1016.8,991.25,3770349,2026-02-17
ADANIPORTS,EQ,1576.5,1535.7,1566.3,1540.1,3168457,2026-02-17
ADANIPOWER,EQ,145.0,141.58,144.35,142.77,11021261,2026-02-17
ATGL,EQ,536.0,525.0,533.85,529.05,277889,2026-02-17
ADFFOODS,EQ,228.5,221.1,222.73,225.09,101303,2026-02-17
ABSLAMC,EQ,891.5,870.3,882.85,877.05,208978,2026-02-17
ABCAPITAL,EQ,350.0,342.1,348.95,345.05,5250034,2026-02-17
ABFRL,EQ,72.97,71.5,72.07,72.48,3813765,2026-02-17
ABLBL,EQ,112.3,110.11,110.49,110.96,466364,2026-02-17
BIRLAMONEY,EQ,140.0,131.67,137.18,133.04,65830,2026-02-17
ABREL,EQ,1404.0,1376.7,1387.1,1386.0,60113,2026-02-17
CPPLUS,EQ,1612.0,1551.0,1592.9,1570.6,141966,2026-02-17
AVL,EQ,514.0,497.0,499.85,510.15,104754,2026-02-17
BSLGOLDETF,EQ,134.22,131.26,132.73,135.4,535433,2026-02-17
BSLNIFTY,EQ,30.03,29.71,29.96,29.85,188638,2026-02-17
ADOR,EQ,1088.6,1045.0,1076.3,1050.9,13863,2026-02-17
ADROITINFO,EQ,10.3,9.53,9.91,10.1,8999,2026-02-17
ADVAIT,EQ,1790.0,1657.7,1746.0,1657.6,49607,2026-02-17
ADVANCE,EQ,138.99,134.4,137.81,134.75,542633,2026-02-17
ADVENZYMES,EQ,310.0,294.0,303.35,296.95,174457,2026-02-17
ADVANIHOTR,EQ,56.45,55.58,56.35,55.67,21643,2026-02-17
ADVENTHTL,EQ,221.17,209.82,213.97,211.44,135749,2026-02-17
AEGISLOG,EQ,705.0,689.15,696.85,703.2,195583,2026-02-17
AEGISVOPAK,EQ,222.65,206.4,219.57,206.94,2066229,2026-02-17
AEQUS,EQ,144.95,140.65,142.78,139.97,1043935,2026-02-17
AEROENTER,EQ,84.0,79.12,81.69,79.95,317348,2026-02-17
AEROFLEX,EQ,210.5,191.1,206.69,192.13,5765989,2026-02-17
AERONEU,EQ,73.97,68.15,72.59,68.35,49834,2026-02-17
AETHER,EQ,981.0,965.0,977.7,965.8,67997,2026-02-17
AFCONS,EQ,326.4,322.6,324.25,326.3,201610,2026-02-17
AFFLE,EQ,1595.0,1556.4,1561.2,1581.1,121513,2026-02-17
AFFORDABLE,EQ,211.0,191.73,209.04,194.07,69510,2026-02-17
AGARIND,EQ,697.5,591.65,622.85,607.05,374926,2026-02-17
AGI,EQ,615.0,595.0,599.6,599.45,157814,2026-02-17
AGIIL,EQ,258.3,236.85,241.05,247.6,1001935,2026-02-17
AGROPHOS,EQ,35.19,34.05,34.65,34.87,15084,2026-02-17
AHLADA,EQ,50.29,48.31,48.88,50.29,25448,2026-02-17
AHLUCONT,EQ,811.25,785.0,807.85,793.1,93115,2026-02-17
AIAENG,EQ,3969.0,3855.6,3945.0,3867.1,31700,2026-02-17
GOLDTECH,EQ,41.94,40.07,40.98,40.47,72399,2026-02-17
AIRAN,EQ,19.15,17.01,19.15,17.41,312026,2026-02-17
