TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,179.82,175.41,176.89,179.35,53904,2026-04-30
21STCENMGM,EQ,36.74,35.69,36.58,36.21,744,2026-04-30
360ONE,EQ,1041.35,1009.0,1034.65,1046.8,1026753,2026-04-30
GOLD360,EQ,146.35,143.5,145.8,143.6,10492,2026-04-30
SILVER360,EQ,234.43,228.89,233.53,230.61,16921,2026-04-30
3BBLACKBIO,EQ,1261.25,1166.5,1199.3,1264.7,16417,2026-04-30
3IINFOLTD,EQ,17.94,17.32,17.46,17.79,220542,2026-04-30
3MINDIA,EQ,33490.0,32770.0,33300.0,33175.0,1816,2026-04-30
3PLAND,EQ,35.75,33.99,35.02,35.49,1798,2026-04-30
5PAISA,EQ,343.56,325.25,335.49,339.77,161179,2026-04-30
63MOONS,EQ,758.25,720.05,746.65,755.0,250556,2026-04-30
ABCOTS,EQ,229.95,221.0,223.6,225.25,66619,2026-04-30
ABINFRA,EQ,16.18,15.65,15.86,15.61,404925,2026-04-30
ABMKNO,EQ,228.0,216.05,227.95,225.05,99,2026-04-30
ACSTECH,EQ,38.6,37.9,37.95,38.65,22428,2026-04-30
AKCAPIT,EQ,1688.0,1525.05,1572.75,1540.65,353,2026-04-30
AAATECH,EQ,100.57,98.6,99.46,99.46,121392,2026-04-30
AADHARHFC,EQ,491.0,481.05,488.6,488.75,122224,2026-04-30
AARNAV,EQ,23.63,23.0,23.07,23.08,18499,2026-04-30
AARON,EQ,140.45,138.0,138.38,138.77,8420,2026-04-30
AARTECH,EQ,49.6,48.22,48.64,49.42,26798,2026-04-30
AARTIDRUGS,EQ,378.8,370.0,376.3,373.35,89293,2026-04-30
AARTIIND,EQ,510.05,495.9,507.5,502.35,1493230,2026-04-30
AARTIPHARM,EQ,753.4,706.55,740.25,709.1,530126,2026-04-30
AARTISURF,EQ,413.95,400.6,407.9,412.2,3187,2026-04-30
AARVI,EQ,128.73,124.0,125.1,128.31,21613,2026-04-30
