TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,234.89,226.2,231.28,229.36,147501,2025-06-30
21STCENMGM,EQ,58.77,58.77,58.77,59.97,6347,2025-06-30
360ONE,EQ,1206.5,1178.0,1194.5,1195.7,2857456,2025-06-30
GOLD360,EQ,96.0,94.0,94.65,94.8,3823,2025-06-30
SILVER360,EQ,106.51,103.25,105.44,106.5,3502,2025-06-30
3IINFOLTD,EQ,25.6,24.96,25.02,25.23,552884,2025-06-30
3MINDIA,EQ,29000.0,28420.0,28500.0,28650.0,4282,2025-06-30
3PLAND,EQ,51.98,50.2,50.92,50.9,10160,2025-06-30
5PAISA,EQ,420.0,410.4,412.5,409.75,28709,2025-06-30
63MOONS,EQ,1014.95,969.0,1001.55,1008.45,372412,2025-06-30
AAATECH,EQ,83.59,82.0,82.88,82.53,16715,2025-06-30
AADHARHFC,EQ,460.0,446.1,454.6,444.2,921272,2025-06-30
AARON,EQ,368.7,359.5,367.45,360.4,7758,2025-06-30
AARTECH,EQ,71.29,69.0,69.42,70.91,52060,2025-06-30
AARTIDRUGS,EQ,469.9,453.15,458.15,453.2,289912,2025-06-30
AARTIIND,EQ,486.0,478.15,479.45,479.15,956977,2025-06-30
AARTIPHARM,EQ,925.0,863.0,890.35,859.55,512499,2025-06-30
AARVI,EQ,116.69,109.03,113.47,110.8,14001,2025-06-30
AAVAS,EQ,2152.9,1994.6,2092.5,1986.2,1360083,2025-06-30
ABAN,EQ,57.9,55.75,56.12,57.26,99719,2025-06-30
AFSL,EQ,251.56,244.01,248.18,247.3,52651,2025-06-30
ABB,EQ,6133.5,6060.0,6080.5,6069.5,157658,2025-06-30
ABBOTINDIA,EQ,35790.0,34140.0,35670.0,34940.0,25043,2025-06-30
ABMINTLLTD,EQ,70.95,70.95,70.95,67.58,1742,2025-06-30
ACC,EQ,1933.8,1910.1,1917.2,1920.2,320037,2025-06-30
ACCELYA,EQ,1431.9,1406.1,1416.6,1421.5,9216,2025-06-30
ACCURACY,EQ,8.91,8.63,8.65,8.75,174998,2025-06-30
ACEINTEG,EQ,28.49,27.01,27.56,27.39,28403,2025-06-30
ACMESOLAR,EQ,251.2,248.0,249.2,249.15,323935,2025-06-30
ACE,EQ,1236.0,1190.0,1218.6,1211.7,231792,2025-06-30
ACUTAAS,EQ,1169.0,1130.9,1144.4,1141.4,701799,2025-06-30
ADANIENSOL,EQ,887.45,874.7,881.75,883.7,1673237,2025-06-30
ADANIENT,EQ,2653.9,2605.9,2619.4,2646.3,694815,2025-06-30
ADANIGREEN,EQ,1034.5,1015.1,1025.6,1015.6,2020543,2025-06-30
ADANIPORTS,EQ,1453.5,1432.7,1450.2,1440.2,1586196,2025-06-30
ADANIPOWER,EQ,597.3,582.35,585.75,584.35,4546263,2025-06-30
ATGL,EQ,687.2,670.0,675.75,682.45,1452561,2025-06-30
ADFFOODS,EQ,279.5,271.0,272.27,276.17,109149,2025-06-30
ABSLAMC,EQ,815.0,763.95,799.85,763.95,1190147,2025-06-30
ABCAPITAL,EQ,278.09,268.0,276.6,269.33,10466882,2025-06-30
ABFRL,EQ,75.99,74.35,75.0,74.7,9507230,2025-06-30
BIRLAMONEY,EQ,201.32,192.9,194.13,196.97,233811,2025-06-30
ABREL,EQ,2442.0,2390.0,2435.8,2397.6,72279,2025-06-30
AVL,EQ,403.15,370.4,372.5,397.2,553507,2025-06-30
BSLGOLDETF,EQ,85.17,83.6,84.79,84.58,223747,2025-06-30
BSLNIFTY,EQ,29.8,29.2,29.48,29.56,513128,2025-06-30
ADOR,EQ,1039.3,1006.0,1020.45,1023.6,15158,2025-06-30
ADROITINFO,EQ,11.2,10.84,11.04,10.91,73052,2025-06-30
ADVENZYMES,EQ,333.5,320.5,321.5,329.75,170787,2025-06-30
ADVANIHOTR,EQ,61.0,59.6,59.89,60.8,50951,2025-06-30
AEGISLOG,EQ,796.9,774.0,775.8,781.15,926066,2025-06-30
AEGISVOPAK,EQ,253.09,243.97,245.37,254.8,3169116,2025-06-30
AEROENTER,EQ,104.6,99.01,103.63,99.43,908668,2025-06-30
AEROFLEX,EQ,217.45,208.22,212.76,209.6,5535022,2025-06-30
AETHER,EQ,773.35,760.55,761.75,765.7,97775,2025-06-30
AFCONS,EQ,445.8,434.15,437.45,442.4,708068,2025-06-30
AFFLE,EQ,2040.0,1991.0,1998.3,1984.1,388078,2025-06-30
AFFORDABLE,EQ,459.9,446.25,454.55,449.95,11419,2025-06-30
AGARIND,EQ,1002.0,975.2,996.75,985.35,22767,2025-06-30
AGI,EQ,823.5,801.6,821.95,805.45,54201,2025-06-30
AGIIL,EQ,1004.15,973.0,978.8,992.7,151810,2025-06-30
AGRITECH,EQ,158.0,154.05,156.54,156.67,12388,2025-06-30
AGROPHOS,EQ,36.97,35.9,36.06,36.14,30041,2025-06-30
AHLADA,EQ,71.37,67.0,67.43,68.82,34855,2025-06-30
AHLUCONT,EQ,1039.0,999.0,1016.0,986.75,242013,2025-06-30
AIAENG,EQ,3355.2,3302.0,3309.8,3332.1,23650,2025-06-30
GOLDTECH,EQ,73.68,67.32,73.68,66.99,172142,2025-06-30
AIRAN,EQ,32.15,29.9,31.73,29.95,809956,2025-06-30
AIROLAM,EQ,119.0,115.21,117.58,115.13,8456,2025-06-30
AJANTPHARM,EQ,2584.1,2543.2,2574.1,2520.7,131475,2025-06-30
