TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,180.0,177.0,178.45,175.6,47586,2026-04-27
21STCENMGM,EQ,36.47,35.05,36.45,35.76,13058,2026-04-27
360ONE,EQ,1046.45,1025.0,1042.05,1039.6,592351,2026-04-27
GOLD360,EQ,147.4,146.3,146.75,145.8,23144,2026-04-27
SILVER360,EQ,240.25,236.01,237.11,234.0,25123,2026-04-27
3BBLACKBIO,EQ,1362.3,1293.15,1298.85,1322.35,4597,2026-04-27
3IINFOLTD,EQ,17.8,17.53,17.73,17.64,368523,2026-04-27
3MINDIA,EQ,33895.0,32660.0,33630.0,32635.0,4834,2026-04-27
3PLAND,EQ,36.0,34.4,35.99,35.15,2206,2026-04-27
5PAISA,EQ,342.2,325.6,339.14,325.56,49937,2026-04-27
63MOONS,EQ,739.8,688.15,722.95,682.7,295376,2026-04-27
ABCOTS,EQ,299.0,248.7,248.7,310.85,1459969,2026-04-27
ABINFRA,EQ,16.1,15.1,15.91,15.58,664913,2026-04-27
ABMKNO,EQ,238.2,233.45,234.0,232.6,806,2026-04-27
ACSTECH,EQ,40.85,40.2,40.2,41.0,38349,2026-04-27
AKCAPIT,EQ,1590.0,1501.65,1558.0,1532.25,280,2026-04-27
AAATECH,EQ,99.95,98.1,98.77,98.19,15350,2026-04-27
AADHARHFC,EQ,495.85,485.0,493.75,488.1,394001,2026-04-27
AAREYDRUGS,EQ,92.38,86.35,92.04,88.33,219542,2026-04-27
AARNAV,EQ,24.8,23.0,23.34,22.99,85088,2026-04-27
AARON,EQ,142.0,138.92,140.21,140.51,9854,2026-04-27
AARTECH,EQ,51.68,47.5,48.5,50.04,65548,2026-04-27
AARTIDRUGS,EQ,385.3,366.7,381.8,366.7,226106,2026-04-27
AARTIIND,EQ,498.35,477.1,488.75,472.75,2652810,2026-04-27
AARTIPHARM,EQ,718.95,689.05,712.75,692.95,205466,2026-04-27
AARTISURF,EQ,411.95,395.0,406.5,389.4,12417,2026-04-27
AARVI,EQ,132.5,128.03,130.0,128.45,7563,2026-04-27
AAVAS,EQ,1418.6,1381.0,1384.9,1411.3,70284,2026-04-27
ABANSENT,EQ,29.95,26.3,27.55,26.25,5530,2026-04-27
AFSL,EQ,206.08,202.07,202.99,204.96,10294,2026-04-27
ABB,EQ,7475.0,7282.5,7430.5,7328.5,267337,2026-04-27
ABBOTINDIA,EQ,25560.0,25180.0,25425.0,25180.0,50411,2026-04-27
ACC,EQ,1459.6,1416.4,1439.8,1412.7,274971,2026-04-27
ACCELYA,EQ,1188.0,1162.2,1181.7,1160.3,10023,2026-04-27
ACEINTEG,EQ,20.64,19.22,20.03,20.13,13828,2026-04-27
ACMESOLAR,EQ,314.7,304.1,309.2,305.3,1116730,2026-04-27
ACE,EQ,920.0,908.0,916.45,907.25,125754,2026-04-27
ACUTAAS,EQ,2510.0,2388.4,2494.6,2395.0,438160,2026-04-27
ADANIENSOL,EQ,1453.2,1388.3,1435.8,1411.95,5533751,2026-04-27
ADANIENT,EQ,2337.0,2286.0,2321.8,2287.6,1500864,2026-04-27
ADANIGREEN,EQ,1257.35,1212.85,1229.7,1235.8,7118501,2026-04-27
ADANIPORTS,EQ,1649.9,1593.0,1628.5,1585.1,3787783,2026-04-27
ADANIPOWER,EQ,222.16,214.6,218.05,212.9,57532309,2026-04-27
ATGL,EQ,649.0,626.0,635.6,626.85,3229223,2026-04-27
ADFFOODS,EQ,280.98,260.0,267.42,260.15,1045482,2026-04-27
ABSLAMC,EQ,1089.8,1051.0,1065.4,1067.65,585177,2026-04-27
ABCAPITAL,EQ,348.95,337.95,342.55,340.6,2500081,2026-04-27
ABFRL,EQ,64.66,62.33,63.92,61.79,3578792,2026-04-27
ABLBL,EQ,106.64,105.05,105.84,105.16,349841,2026-04-27
BIRLAMONEY,EQ,146.5,142.89,145.73,142.21,49284,2026-04-27
ABREL,EQ,1485.0,1418.1,1468.8,1413.7,255014,2026-04-27
CPPLUS,EQ,2369.0,2238.3,2345.2,2273.2,558843,2026-04-27
AVL,EQ,520.0,491.0,517.4,495.8,166755,2026-04-27
BSLGOLDETF,EQ,132.77,131.89,132.11,131.61,410295,2026-04-27
BSLNIFTY,EQ,28.51,27.79,28.04,27.88,575176,2026-04-27
ADOR,EQ,1059.8,985.3,1019.35,980.85,74381,2026-04-27
ADROITINFO,EQ,10.18,9.54,9.96,9.99,41680,2026-04-27
ADVAIT,EQ,2120.0,2017.0,2108.9,2009.7,64382,2026-04-27
