TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,227.92,224.0,225.5,228.07,116453,2025-07-03
21STCENMGM,EQ,59.91,59.13,59.91,58.74,6905,2025-07-03
360ONE,EQ,1235.5,1174.9,1226.6,1177.2,931488,2025-07-03
GOLD360,EQ,96.7,96.0,96.2,96.2,3571,2025-07-03
SILVER360,EQ,107.8,105.5,107.0,105.79,8867,2025-07-03
3IINFOLTD,EQ,24.88,24.4,24.48,24.77,410309,2025-07-03
3MINDIA,EQ,28820.0,28450.0,28720.0,28410.0,4459,2025-07-03
3PLAND,EQ,51.97,50.5,50.59,51.34,6079,2025-07-03
5PAISA,EQ,420.05,413.1,417.25,414.05,26560,2025-07-03
63MOONS,EQ,1094.0,996.0,1024.0,995.0,1207444,2025-07-03
AAATECH,EQ,83.88,82.39,82.72,83.15,10896,2025-07-03
AADHARHFC,EQ,467.95,458.1,463.65,465.05,545237,2025-07-03
AARON,EQ,392.85,380.1,390.75,381.7,6611,2025-07-03
AARTECH,EQ,68.99,65.61,65.74,69.07,180515,2025-07-03
AARTIDRUGS,EQ,488.95,477.75,483.9,483.6,340528,2025-07-03
AARTIIND,EQ,486.0,478.1,479.45,484.35,582680,2025-07-03
AARTIPHARM,EQ,919.5,893.05,904.45,897.9,243837,2025-07-03
AARVI,EQ,112.78,109.0,109.56,112.3,9316,2025-07-03
AAVAS,EQ,2001.8,1934.0,1941.1,1997.7,148996,2025-07-03
ABAN,EQ,56.11,55.19,55.56,55.98,46290,2025-07-03
AFSL,EQ,247.2,241.01,244.03,245.85,37380,2025-07-03
ABB,EQ,5938.5,5862.5,5871.5,5906.0,193225,2025-07-03
ABBOTINDIA,EQ,35955.0,35100.0,35420.0,35460.0,13655,2025-07-03
ACC,EQ,1978.7,1942.0,1956.5,1939.4,479869,2025-07-03
ACCELYA,EQ,1425.6,1412.1,1419.7,1416.4,3776,2025-07-03
ACCURACY,EQ,8.6,8.43,8.44,8.48,143974,2025-07-03
ACEINTEG,EQ,28.99,26.84,26.96,26.77,8469,2025-07-03
ACMESOLAR,EQ,251.0,248.11,249.7,250.02,343252,2025-07-03
ACE,EQ,1205.6,1180.1,1183.7,1193.8,143882,2025-07-03
ACUTAAS,EQ,1115.0,1086.1,1100.7,1095.8,266906,2025-07-03
ADANIENSOL,EQ,882.15,867.55,875.25,878.8,3905266,2025-07-03
ADANIENT,EQ,2644.0,2605.1,2611.2,2630.2,502724,2025-07-03
ADANIGREEN,EQ,1023.7,1005.0,1008.5,1019.0,1234996,2025-07-03
ADANIPORTS,EQ,1451.1,1426.7,1431.1,1443.9,978007,2025-07-03
ADANIPOWER,EQ,596.2,585.0,587.9,591.4,3672802,2025-07-03
ATGL,EQ,670.0,661.0,663.9,663.2,391058,2025-07-03
ADFFOODS,EQ,267.15,263.55,266.4,263.55,64464,2025-07-03
ABSLAMC,EQ,820.9,789.0,817.3,793.15,482885,2025-07-03
ABCAPITAL,EQ,275.45,271.6,272.6,273.7,2692058,2025-07-03
ABFRL,EQ,78.29,76.38,76.56,77.89,10426657,2025-07-03
BIRLAMONEY,EQ,200.74,194.0,194.78,196.88,83023,2025-07-03
ABREL,EQ,2417.7,2359.5,2365.7,2402.2,87641,2025-07-03
AVL,EQ,368.55,359.85,362.0,361.9,126693,2025-07-03
BSLGOLDETF,EQ,88.22,85.91,85.97,86.07,34071,2025-07-03
BSLNIFTY,EQ,30.17,29.36,29.39,29.44,207049,2025-07-03
ADOR,EQ,1109.1,1054.8,1101.7,1057.2,53968,2025-07-03
ADROITINFO,EQ,11.16,10.83,10.96,11.0,29747,2025-07-03
ADVENZYMES,EQ,344.0,323.25,337.95,323.6,902873,2025-07-03
ADVANIHOTR,EQ,60.74,59.99,60.14,60.14,38648,2025-07-03
AEGISLOG,EQ,758.0,743.0,747.6,745.55,397812,2025-07-03
AEGISVOPAK,EQ,250.0,241.53,244.27,243.44,2148030,2025-07-03
AEROENTER,EQ,101.68,99.84,100.35,100.14,151784,2025-07-03
AEROFLEX,EQ,205.77,202.5,203.47,203.4,1540714,2025-07-03
AETHER,EQ,760.0,746.5,754.9,751.95,113690,2025-07-03
AFCONS,EQ,435.4,429.1,432.95,430.9,682871,2025-07-03
AFFLE,EQ,2080.0,1975.1,2044.8,1968.8,835635,2025-07-03
AFFORDABLE,EQ,504.9,465.5,501.55,472.75,48459,2025-07-03
AGARIND,EQ,967.25,950.15,960.0,955.55,14772,2025-07-03
AGI,EQ,818.0,805.0,814.75,813.9,51382,2025-07-03
AGIIL,EQ,1030.0,987.8,998.55,991.1,168987,2025-07-03
AGRITECH,EQ,158.36,156.0,156.93,158.35,4914,2025-07-03
AGROPHOS,EQ,38.0,36.89,37.46,36.54,127507,2025-07-03
AHLADA,EQ,68.0,67.11,67.79,67.48,9899,2025-07-03
AHLUCONT,EQ,988.5,969.0,982.5,978.1,21115,2025-07-03
AIAENG,EQ,3331.4,3270.0,3309.8,3254.1,92924,2025-07-03
GOLDTECH,EQ,79.5,73.06,75.9,73.03,147688,2025-07-03
AIRAN,EQ,31.57,30.75,31.01,31.03,90885,2025-07-03
AIROLAM,EQ,117.3,111.02,112.24,115.32,6428,2025-07-03
AJANTPHARM,EQ,2655.3,2550.0,2631.5,2548.9,166047,2025-07-03
AJAXENGG,EQ,649.6,628.0,641.75,627.05,311343,2025-07-03
AJMERA,EQ,909.85,888.1,891.95,900.85,28046,2025-07-03
AJOONI,EQ,5.97,5.87,5.89,5.91,270872,2025-07-03
AKASH,EQ,28.99,28.42,28.64,28.44,4887,2025-07-03
AKG,EQ,15.3,13.66,14.02,13.98,4606993,2025-07-03
AFIL,EQ,7.55,7.42,7.51,7.46,736256,2025-07-03
AKSHOPTFBR,EQ,9.19,8.93,8.96,9.02,169413,2025-07-03
AKSHARCHEM,EQ,299.25,285.0,296.0,293.25,32681,2025-07-03
AKUMS,EQ,584.4,570.5,580.45,575.55,174912,2025-07-03
AKZOINDIA,EQ,3472.4,3411.2,3417.0,3435.0,57676,2025-07-03
ALANKIT,EQ,16.43,14.96,15.88,14.94,4642663,2025-07-03
ALBERTDAVD,EQ,905.9,885.0,889.5,895.15,9490,2025-07-03
ALEMBICLTD,EQ,121.39,118.56,119.39,121.08,608205,2025-07-03
APLLTD,EQ,1012.9,980.2,1007.4,988.5,422354,2025-07-03
ALICON,EQ,908.45,889.7,892.05,900.65,4286,2025-07-03
ALIVUS,EQ,1044.0,996.0,1033.1,1011.5,144257,2025-07-03
ALKALI,EQ,103.78,97.65,99.01,100.72,17509,2025-07-03
ALKEM,EQ,4892.1,4813.6,4822.0,4874.8,191430,2025-07-03
ALKYLAMINE,EQ,2359.0,2322.7,2341.2,2346.6,59633,2025-07-03
ACLGATI,EQ,70.27,68.72,69.11,70.16,211021,2025-07-03
ALLCARGO,EQ,34.96,34.05,34.13,34.94,2133286,2025-07-03
ATL,EQ,29.0,28.25,28.39,28.78,214195,2025-07-03
ALLDIGI,EQ,930.6,908.6,921.95,924.55,4608,2025-07-03
ABDL,EQ,427.15,420.0,424.05,424.35,256686,2025-07-03
ADSL,EQ,183.98,179.75,181.83,180.79,112243,2025-07-03
ALMONDZ,EQ,25.69,23.75,23.91,24.69,155174,2025-07-03
ALOKINDS,EQ,20.69,20.05,20.23,20.57,8341230,2025-07-03
ALPA,EQ,108.3,103.0,104.51,104.58,29347,2025-07-03
ALPHAGEO,EQ,285.95,278.0,282.4,282.15,7344,2025-07-03
ARE&M,EQ,964.0,955.8,958.95,955.45,518559,2025-07-03
AMBER,EQ,7398.5,7120.0,7345.0,7224.5,490696,2025-07-03
AMBICAAGAR,EQ,29.31,28.53,28.97,28.31,10856,2025-07-03
AMBIKCO,EQ,1585.3,1568.1,1579.5,1579.2,4160,2025-07-03
AMBUJACEM,EQ,597.2,585.35,588.75,594.2,1598094,2025-07-03
