TckrSymb,SctySrs,HghPric,LwPric,ClsPric,PrvsClsgPric,TtlTradgVol,TradDt
20MICRONS,EQ,205.9,197.11,201.41,197.42,227121,2026-06-30
21STCENMGM,EQ,33.19,32.06,32.39,32.6,849,2026-06-30
360ONE,EQ,1107.0,1066.1,1074.6,1089.8,1408657,2026-06-30
GOLD360,EQ,137.55,135.2,137.2,137.6,54619,2026-06-30
MSCI360,EQ,10.04,9.95,9.97,10.0,878,2026-06-30
SILVER360,EQ,219.99,212.44,218.56,214.59,25648,2026-06-30
3BBLACKBIO,EQ,1184.9,1164.1,1168.8,1173.8,4171,2026-06-30
3IINFOLTD,EQ,17.42,17.12,17.17,17.24,151583,2026-06-30
3MINDIA,EQ,34250.0,32605.0,32900.0,32710.0,7444,2026-06-30
3PLAND,EQ,33.75,31.36,31.56,31.79,3683,2026-06-30
5PAISA,EQ,356.9,351.0,355.95,351.05,34009,2026-06-30
63MOONS,EQ,665.0,651.25,654.75,656.65,66098,2026-06-30
ABCOTS,EQ,226.98,220.5,221.08,223.01,26163,2026-06-30
ABINFRA,EQ,12.12,11.41,11.59,11.7,2960361,2026-06-30
ABMKNO,EQ,205.0,199.0,205.0,199.0,153,2026-06-30
ACSTECH,EQ,46.49,43.0,43.71,44.73,354274,2026-06-30
AKCAPIT,EQ,1810.0,1742.0,1774.1,1777.1,2960,2026-06-30
A2ZINFRA,EQ,13.93,13.31,13.43,13.75,175649,2026-06-30
AAATECH,EQ,98.1,93.99,97.76,94.19,27749,2026-06-30
AADHARHFC,EQ,521.5,513.45,515.6,518.75,249335,2026-06-30
AAKASH,EQ,8.89,8.55,8.61,8.71,162519,2026-06-30
AARNAV,EQ,25.49,24.36,25.18,24.62,213366,2026-06-30
AARON,EQ,119.97,115.1,117.32,117.38,8877,2026-06-30
AARTECH,EQ,48.79,47.47,47.66,48.03,23208,2026-06-30
AARTIDRUGS,EQ,390.85,369.0,377.9,373.45,469785,2026-06-30
AARTIIND,EQ,462.55,454.5,458.3,457.2,477975,2026-06-30
AARTIPHARM,EQ,694.45,673.0,680.05,675.3,252619,2026-06-30
AARTISURF,EQ,384.75,368.0,379.05,370.5,14745,2026-06-30
AARVI,EQ,149.9,140.27,145.43,140.32,31986,2026-06-30
AAVAS,EQ,1530.0,1483.1,1520.8,1483.8,154482,2026-06-30
AFSL,EQ,201.1,201.0,201.0,201.04,3105,2026-06-30
ABB,EQ,7100.0,6993.0,7031.0,7128.0,367996,2026-06-30
ABBOTINDIA,EQ,25560.0,25200.0,25440.0,25295.0,10622,2026-06-30
ABMINTLLTD,EQ,42.94,41.0,41.0,41.94,51,2026-06-30
ACC,EQ,1334.6,1322.0,1327.2,1333.4,257423,2026-06-30
ACCELYA,EQ,1107.2,1096.2,1098.1,1100.4,4531,2026-06-30
ACCURACY,EQ,5.49,5.3,5.31,5.4,95337,2026-06-30
ACEINTEG,EQ,24.29,20.21,22.78,21.04,57091,2026-06-30
ACMESOLAR,EQ,384.2,374.1,380.55,379.25,1925753,2026-06-30
ACE,EQ,1028.75,985.3,1024.0,985.15,498014,2026-06-30
ACUTAAS,EQ,3585.0,3442.0,3526.2,3568.2,327647,2026-06-30
ADANIENSOL,EQ,1499.2,1471.0,1491.4,1486.4,2175583,2026-06-30
ADANIENT,EQ,3054.6,2969.0,3036.0,2962.5,2099291,2026-06-30
ADANIGREEN,EQ,1508.5,1484.0,1492.2,1502.5,2679140,2026-06-30
ADANIPORTS,EQ,1816.3,1782.6,1810.2,1776.1,2230098,2026-06-30
ADANIPOWER,EQ,228.32,221.69,223.77,227.05,22697791,2026-06-30
ATGL,EQ,738.1,718.0,731.55,731.65,1994118,2026-06-30
ADFFOODS,EQ,315.0,305.0,310.7,305.05,161470,2026-06-30
ABSLAMC,EQ,1169.3,1122.9,1154.7,1170.8,342084,2026-06-30
ABCAPITAL,EQ,395.8,386.0,391.95,385.3,4754319,2026-06-30
ABFRL,EQ,59.3,57.88,58.06,58.8,2484277,2026-06-30
ABLBL,EQ,97.29,96.0,96.22,96.38,458314,2026-06-30
BIRLAMONEY,EQ,142.79,138.7,141.66,138.42,29370,2026-06-30
ABREL,EQ,1347.8,1307.0,1323.6,1315.0,127038,2026-06-30
CPPLUS,EQ,3787.0,3637.0,3647.0,3714.0,282765,2026-06-30
AVL,EQ,678.0,652.75,658.15,668.55,150763,2026-06-30
BSLGOLDETF,EQ,123.8,121.77,123.4,123.75,113767,2026-06-30
BSLNIFTY,EQ,28.15,27.89,28.04,28.04,1026768,2026-06-30
ADOR,EQ,1279.7,1243.0,1269.2,1251.2,30283,2026-06-30
ADROITINFO,EQ,9.27,8.89,9.19,8.92,16994,2026-06-30
ADVAIT,EQ,2318.3,2255.0,2299.6,2258.9,21177,2026-06-30
ADVANCE,EQ,109.99,106.21,107.6,108.96,281181,2026-06-30
ADVENZYMES,EQ,336.9,297.0,307.5,321.1,2179786,2026-06-30
ADVANIHOTR,EQ,54.21,52.99,53.19,52.82,21366,2026-06-30
ADVENTHTL,EQ,143.9,139.4,141.85,141.85,108775,2026-06-30
AEGISLOG,EQ,1195.95,1128.0,1173.95,1174.1,2085874,2026-06-30
AEGISVOPAK,EQ,235.64,232.96,234.69,232.77,241961,2026-06-30
AEQUS,EQ,246.9,232.0,234.65,239.55,4878636,2026-06-30
AEROENTER,EQ,144.69,138.88,141.25,142.3,1364075,2026-06-30
AEROFLEX,EQ,478.6,466.75,471.6,469.0,672157,2026-06-30
AERONEU,EQ,105.5,100.51,103.98,100.2,120138,2026-06-30
AETHER,EQ,1368.5,1325.1,1359.1,1342.2,278645,2026-06-30
AFCONS,EQ,318.0,310.3,312.25,315.85,541307,2026-06-30
AFFLE,EQ,1429.3,1405.1,1419.5,1399.5,112335,2026-06-30
AGARIND,EQ,545.0,523.2,534.9,533.85,33036,2026-06-30
AGI,EQ,696.0,685.85,689.3,684.8,48863,2026-06-30
AGIIL,EQ,372.35,363.5,365.15,366.25,1946944,2026-06-30
AGROPHOS,EQ,31.3,30.51,30.68,30.37,5926,2026-06-30
AHLADA,EQ,40.76,38.25,39.13,39.56,15186,2026-06-30
AHLUCONT,EQ,875.95,850.05,855.8,871.05,15057,2026-06-30
AIAENG,EQ,5180.0,4912.1,5081.4,4951.4,205842,2026-06-30
GOLDTECH,EQ,58.0,54.0,55.01,58.38,186857,2026-06-30
AIRAN,EQ,16.64,16.1,16.35,16.3,43267,2026-06-30
AIROLAM,EQ,98.0,93.0,94.52,96.03,4042,2026-06-30
AJANTPHARM,EQ,3433.9,3268.0,3422.7,3384.2,166869,2026-06-30
AJAXENGG,EQ,544.3,529.7,541.75,541.4,23830,2026-06-30
AJMERA,EQ,134.75,127.96,130.0,128.88,651356,2026-06-30
AJOONI,EQ,3.8,3.62,3.67,3.64,600977,2026-06-30
AKASH,EQ,27.0,26.24,26.37,26.89,4945,2026-06-30
AKG,EQ,10.98,10.7,10.91,10.74,2239,2026-06-30
AKI,EQ,4.85,4.66,4.7,4.69,50578,2026-06-30
AKSHAR,EQ,0.45,0.43,0.43,0.44,191169,2026-06-30
AKSHARCHEM,EQ,244.89,224.52,242.43,234.38,11640,2026-06-30
AKUMS,EQ,642.9,622.0,623.15,624.65,337173,2026-06-30
ALANKIT,EQ,8.4,8.15,8.16,8.12,76280,2026-06-30
ALBERTDAVD,EQ,708.0,697.6,699.25,697.75,1147,2026-06-30
ALEMBICLTD,EQ,92.4,90.39,91.58,90.4,206773,2026-06-30
APLLTD,EQ,832.05,784.15,822.75,786.65,919045,2026-06-30
ALGOQUANT,EQ,57.0,54.81,56.11,55.76,1022065,2026-06-30
ALICON,EQ,682.0,630.0,661.5,632.3,34579,2026-06-30
ALIVUS,EQ,1176.9,1123.9,1156.5,1119.5,254919,2026-06-30
ALKEM,EQ,5608.0,5416.5,5570.0,5416.5,340712,2026-06-30
ALKYLAMINE,EQ,1730.0,1661.3,1713.4,1677.3,58021,2026-06-30
ALLTIME,EQ,237.5,232.19,236.02,234.38,21265,2026-06-30
ALLCARGO,EQ,8.18,8.0,8.09,8.09,3029781,2026-06-30
ATL,EQ,25.0,23.71,23.83,23.89,168658,2026-06-30
ALLDIGI,EQ,805.8,792.0,798.95,801.7,2649,2026-06-30
ABDL,EQ,675.45,650.3,667.9,659.5,486920,2026-06-30
ADSL,EQ,132.0,123.5,127.63,124.45,453097,2026-06-30
ALMONDZ,EQ,13.05,12.8,12.9,12.76,79265,2026-06-30
ALOKINDS,EQ,12.8,12.6,12.71,12.62,2362608,2026-06-30
ALPA,EQ,68.9,67.26,67.55,68.02,6085,2026-06-30
ALPHAGEO,EQ,203.9,190.0,199.18,198.97,7522,2026-06-30
AMAGI,EQ,565.2,541.0,560.55,554.45,428084,2026-06-30
ARE&M,EQ,852.9,825.4,841.95,822.35,643968,2026-06-30
AMBALALSA,EQ,33.29,31.4,32.75,31.41,65680,2026-06-30
AMBER,EQ,7575.0,7406.0,7530.0,7413.0,217681,2026-06-30
AMBICAAGAR,EQ,26.4,24.15,25.33,24.89,16135,2026-06-30
AMBIKCO,EQ,1782.4,1697.3,1759.8,1702.6,24873,2026-06-30
AMBUJACEM,EQ,425.85,419.65,421.85,424.25,3012504,2026-06-30
AMDIND,EQ,46.28,43.5,44.03,44.71,14508,2026-06-30
AMNPLST,EQ,194.18,186.95,188.39,187.62,5660,2026-06-30
AMIRCHAND,EQ,140.23,127.99,139.21,127.49,2892421,2026-06-30
AMJLAND,EQ,38.3,36.4,37.47,37.24,5340,2026-06-30
AMRUTANJAN,EQ,553.95,538.1,547.95,539.85,21861,2026-06-30
ARSSBL,EQ,564.0,534.0,554.25,533.7,403177,2026-06-30
ANANDRATHI,EQ,2032.7,1957.0,1976.7,1988.7,549710,2026-06-30
ANANTRAJ,EQ,523.0,511.25,521.25,513.75,851082,2026-06-30
ACL,EQ,53.8,52.26,52.48,52.75,11417,2026-06-30
ANDHRAPAP,EQ,63.99,62.05,62.96,62.05,61622,2026-06-30
ANDHRSUGAR,EQ,82.66,77.49,78.34,77.91,688956,2026-06-30
ANGELONE,EQ,333.5,328.15,330.65,328.75,4561949,2026-06-30
APCL,EQ,109.0,103.55,107.95,107.13,6574,2026-06-30
AHCL,EQ,16.5,15.89,15.99,16.14,3489328,2026-06-30
ANMOL,EQ,11.28,11.01,11.21,11.1,25404,2026-06-30
ANTGRAPHIC,EQ,0.84,0.8,0.81,0.82,170204,2026-06-30
ANTELOPUS,EQ,820.05,790.55,794.3,808.9,52135,2026-06-30
ANTHEM,EQ,777.0,764.05,770.55,775.0,490723,2026-06-30
AWHCL,EQ,476.0,467.0,468.5,470.5,41532,2026-06-30
ANUHPHR,EQ,81.79,79.71,81.23,79.87,65274,2026-06-30
ANURAS,EQ,1282.8,1258.1,1264.4,1274.6,256213,2026-06-30
AONEGOLD,EQ,13.16,12.95,13.1,13.14,546602,2026-06-30
AONELIQUID,EQ,1066.04,1066.02,1066.03,1065.89,36004,2026-06-30
AONENIFTY,EQ,9.95,9.83,9.84,9.85,244078,2026-06-30
AONESILVER,EQ,8.57,8.23,8.49,8.33,466810,2026-06-30
AONETMMQ50,EQ,10.25,10.09,10.14,10.18,27476,2026-06-30
AONETOTAL,EQ,11.9,11.65,11.69,11.7,152705,2026-06-30
APARINDS,EQ,16125.0,15655.0,15695.0,15986.0,125242,2026-06-30
APCOTEXIND,EQ,513.0,494.6,507.9,496.45,40683,2026-06-30
APEX,EQ,408.0,391.55,404.0,395.4,158945,2026-06-30
